红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,红花,人参,五灵脂,没药,姜黄
香油,刘寄奴,伸筋草,松节,茜草,昆布
鸡血藤,土茯苓,双花,元参,乳香,甘草
桃仁,玄胡,丹皮,银藤,生石膏,虻虫
丹参,泽兰,鸡血藤,玄胡,没药,血竭
蒲公英,败酱草,冬瓜子,赤小豆,土贝母,犀黄丸
香油,章丹
丹参,红花,降香,赤芍,川芎
自然铜,鸡子,孩儿牙齿,朱砂
桃仁,红花,黑豆,玄胡,益母草,苏木
自然铜,没药,土鳖虫,熟军,血竭,乳香
桃仁,红花,白术,附子,党参,干姜
红花,泽泻,茯苓,乌药,穿山甲,牛膝
桃仁,益母草,炮姜,芥穗,炙草,川芎
没药,乳香,荔核,橘核,瓜蒌,当归
桃仁,红花,归尾,炮山甲,板蓝根,白术
桃仁,红花,白芍药,熟地黄,川芎,当归
茅根,蒲黄,丹皮,栀子,生地黄,川芎
丹参,茜草,土贝母,元参,白术,生地
酒黄芩,秦皮,丹皮,赤芍,木通,生地
茅根,鸡血藤,茜草,仙鹤草,旱莲草,三七粉
红花,黄耆,茯苓,白术1,人参1,地锦草
丹参,红花,鸡血藤,丹皮,桑椹,玉竹
桃仁,丹参,红花,田七,生地,赤芍
自然铜,没药,土鳖虫,乳香,马前子,麻黄
醋,半夏
桃仁,红花,海藻,海金砂,昆布,冬葵
泽兰,山栀,香附,郁金,川楝,枳实
丹参,五味子,沙参,茯苓,麦冬,赤芍
没药,赤芍,凌霄花,木香,当归,桂心
红花,五灵脂,生地,赤芍,黄芩,赤茯苓
炉甘石,珍珠,麝香,冰片,硼砂,牛黄
丹参,败酱,牡丹,茯苓,麦门冬,薏苡仁
归尾,草决,黄连,薄荷,荆芥,蒺藜
玄胡,槟榔,三棱,肉桂,茯苓,莪术
丹参,茜草,王不留行,茯苓,黄柏,清风藤
地龙,玄胡,没药,赤小豆,血竭,乳香
红花,归尾,刘寄奴,益母草,酒生地,赤芍
桃仁,泽兰,瓦楞子,郁金,新绛,参三七
桃仁,丹参,泽兰,红花,蒲公英,败酱草
地龙,仙灵脾,盐知母,盐黄柏,肉桂,黄芪
丹参,牡蛎,三棱,白花蛇舌草,郁金,黄芪
地龙,丹参,王不留行,橘叶,川楝,皂角刺
丹参,海藻,半夏,牡蛎,三棱,昆布
红花,三七,樟脑,麝香,地黄,薄荷脑
桃仁,地龙,红花,灵脂,没药,秦艽
红花,蒲黄,三棱,黄芪,党参,川芎
桃仁,人参,生地,鳖甲,黄芩,大黄
玄胡,乳香,香附,广郁金,白芍,枳实
桃仁,泽兰,红花,酒丹参,香附,当归尾
桃仁,黑姜,炙草,川芎,当归
红花,干葛,半夏,苏叶,细辛,香附
没药,元胡,灵脂,香附
玄胡,五灵脂,没药,蒲黄,小茴香,赤芍
五灵脂,蒲黄
茅根,三棱,半枝莲,海金砂,石苇,金钱草
桃仁,黄连,吴萸,半夏,陈皮
干葛,生甘草,山楂,僵蚕,蝉蜕,升麻
玄胡,蓬术,丹皮,北芍药,川芎,当归
熟军,元胡,藏红花,三棱,灵脂,丹皮
桃仁,红花,元胡,制南星,桂枝,威灵仙
红花,山楂,泽泻,乌药,香附,当归尾
桃仁,丹参,归尾,红花,乳香,蕺莱
桃仁,干漆,芍药,芎藭,桂心,甘草
桃仁,蒲黄,大枣,消石,大黄,甘草
桃仁,白术,三棱,陈橘皮,赤芍,鳖甲
桃仁,红花,丹皮,赤曲,楂肉,山栀
莪茂,人参,丹皮,川芎,牛膝,芍药
红花,自然铜,没药,血竭,乳香,苏木
没药,丹皮,肉桂,乳香,骨碎补,生地
地龙,丹参,鸡血藤,蜈蚣,钩藤,黄芪
桃仁,红花,路路通,丝瓜络,石菖蒲,生地
丹参,没药,血竭,乳香,公英,金银花
桃仁,红花,生地,赤芍,柴胡,牛膝
玄胡,苦楝,地黄,川芎,芍药,当归
玄胡,当归
桃仁,青龙齿,制香附,木通,枸杞子,白芍
干蟾,海藻,麦蘖,九肋鳖甲,三棱,使君子
蒲公英,没药,乳香,木瓜,大黄,栀子
红花,蓬术,透骨草,川山甲,萝卜子,三棱
麻仁,炮山甲,牡蛎,五倍子,乌梅,射干
丹参,三七,山楂,桂枝,泽泻,黄芪
茅根,过路黄,山楂,凤尾草
桃仁,丹参,自然铜,玄胡,没药,乳香
泽兰,牡蛎,山楂,白术,王不留行,佛手
虎杖,仙灵脾,半枝莲,仙鹤草,土茯苓,白花蛇舌草
桃仁,没药,金钱草,乳香,三棱,莪术
桃仁,红花,杷叶,木蝴蝶,玄参,生地
虎杖,泽兰,蒲公英,土茯苓,酒大黄,板蓝根
虎杖,土鳖虫,朱砂根,豆豉姜,碎骨木,九龙川
桃仁,地龙,土鳖虫,丹参,红花,伸筋草
苦楝皮,槐皮,雄黄
