红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
香油,没药,乳香,麝香,冰片,黄丹
桃仁,红花,当归尾,蝉衣,赤芍,白蒺藜
桃仁,归尾,玄胡,赤芍,川芎,半夏
蝙蝠,骨碎补,补骨脂,大黄,当归,桂
泽兰,丹参,金钱草,茯苓皮,泽泻,炮甲
丹参,没药,乳香,当归
丹参,没药,乳香,当归
桃仁,三棱,莪术
红花,丹皮,酒归尾,赤芍,防风,木香
刘寄奴,血竭,酒生地,苏木,赤芍,川芎
红花,蟾酥,麝香,珍珠,人参,附子
没药,白术,乳香,肉桂,附子,熟地
桃仁,红花,红花,黑豆,五灵脂,玄胡
丹参,红花,虫,桂枝,细辛,虻虫
桃仁,丹参,莪术,三棱,穿山甲,赤芍
桃仁,丹参,莪术,三棱,穿山甲,赤芍
丹参,三七,茜草,降香,赤芍
丹参,三七,益母草,香附,川芎,党参
桃仁,红花,五灵脂,没药,姜黄,麝香
香油,茜草,刘寄奴,伸筋草,松节,昆布
鸡血藤,双花,元参,土茯苓,乳香,甘草
桃仁,玄胡,丹皮,生石膏,银藤,虻虫
泽兰,丹参,鸡血藤,玄胡,没药,元参
蒲公英,赤小豆,土贝母,丹皮,犀黄丸,川军
香油,章丹
丹参,红花,降香,赤芍,川芎
自然铜,孩儿牙齿,鸡子,朱砂
桃仁,红花,黑豆,玄胡,益母草,苏木
自然铜,土鳖虫,熟军,没药,血竭,乳香
桃仁,红花,白术,附子,党参,干姜
红花,泽泻,乌药,穿山甲,茯苓,独活
桃仁,益母草,芥穗,炮姜,川芎,炙草
没药,乳香,瓜蒌,橘核,荔核,当归
桃仁,归尾,红花,炮山甲,白术,板蓝根
桃仁,红花,白芍药,熟地黄,川芎,当归
茅根,丹皮,蒲黄,川芎,栀子,生地黄
丹参,茜草,元参,土贝母,白术,生地
酒黄芩,秦皮,丹皮,生地,木通,赤芍
茅根,茜草,鸡血藤,仙鹤草,三七粉,旱莲草
红花,黄耆,地锦草,人参1,茯苓,白术1
红花,丹参,鸡血藤,丹皮,桑椹,黄精
桃仁,红花,丹参,生地,田七,赤芍
自然铜,土鳖虫,没药,乳香,马前子,麻黄
醋,半夏
桃仁,红花,海藻,海金砂,昆布,鸡内金
泽兰,川楝,郁金,山栀,香附,枳实
丹参,五味子,沙参,制半夏,茯苓,赤芍
没药,赤芍,凌霄花,木香,当归,桂心
红花,五灵脂,生地,赤芍,赤茯苓,川芎
炉甘石,麝香,珍珠,冰片,硼砂,牛黄
丹参,麦门冬,牡丹,败酱,茯苓,薏苡仁
归尾,草决,黄连,蒺藜,生地,荆芥
玄胡,槟榔,肉桂,三棱,莪术,茯苓
丹参,茜草,王不留行,茯苓,地鳖,黄柏
地龙,玄胡,赤小豆,没药,血竭,麝香
红花,归尾,刘寄奴,益母草,酒生地,赤芍
桃仁,泽兰,郁金,新绛,瓦楞子,参三七
桃仁,泽兰,红花,丹参,蒲公英,没药
地龙,仙灵脾,盐知母,盐黄柏,泽泻,莪术
丹参,牡蛎,白花蛇舌草,郁金,三棱,黄芪
丹参,地龙,橘叶,王不留行,川楝,皂角刺
丹参,海藻,昆布,牡蛎,橘叶,莪术
红花,三七,樟脑,麝香,龙血竭,薄荷脑
桃仁,地龙,红花,灵脂,没药,秦艽
红花,蒲黄,三棱,黄芪,党参,川芎
桃仁,人参,生地,大黄,鳖甲,黄芩
玄胡,乳香,广郁金,香附,枳实,柴胡
桃仁,泽兰,红花,酒丹参,当归尾,香附
桃仁,黑姜,川芎,炙草,当归
红花,干葛,细辛,苏叶,香附,半夏
元胡,没药,灵脂,香附
玄胡,五灵脂,没药,蒲黄,小茴香,官桂
五灵脂,蒲黄
茅根,半枝莲,海金砂,石苇,金钱草,郁金
桃仁,黄连,吴萸,半夏,陈皮
干葛,生甘草,山楂,僵蚕,升麻,蝉蜕
玄胡,蓬术,丹皮,北芍药,川芎,当归
元胡,熟军,藏红花,灵脂,丹皮,熟地
桃仁,红花,元胡,威灵仙,桂枝,制南星
红花,山楂,泽泻,乌药,当归尾,香附
桃仁,归尾,红花,丹参,乳香,蕺莱
桃仁,干漆,芎藭,当归,芍药,甘草
桃仁,蒲黄,大枣,消石,大黄,甘草
桃仁,白术,陈橘皮,三棱,赤芍,鳖甲
桃仁,红花,丹皮,山栀,郁金,泽兰叶
莪茂,丹皮,人参,牛膝,川芎,芍药
红花,自然铜,没药,血竭,苏木,乳香
没药,丹皮,乳香,肉桂,骨碎补,生地
丹参,地龙,鸡血藤,蜈蚣,黄芪,忍冬藤
桃仁,红花,路路通,生地,丝瓜络,石菖蒲
丹参,没药,血竭,乳香,柴胡,金银花
桃仁,红花,生地,赤芍,柴胡,川芎
玄胡,苦楝,地黄,川芎,当归,芍药
玄胡,当归
桃仁,制香附,青龙齿,桑白皮,木通,辰砂
海藻,使君子,麦蘖,干蟾,九肋鳖甲,黄连
蒲公英,没药,乳香,地鳖虫,木瓜,大黄
红花,蓬术,透骨草,萝卜子,川山甲,三棱
炮山甲,麻仁,牡蛎,乌梅,五倍子,苦参
丹参,三七,山楂,郁金,泽泻,槐花
茅根,凤尾草,山楂,过路黄
桃仁,自然铜,丹参,玄胡,没药,苏木
泽兰,山楂,佛手,白术,牡蛎,王不留行
虎杖,仙灵脾,半枝莲,仙鹤草,鹿衔草,生鸡内金
桃仁,没药,金钱草,乳香,三棱,莪术
桃仁,红花,玄参,生地,木蝴蝶,杷叶
虎杖,泽兰,蒲公英,酒大黄,板蓝根,土茯苓
虎杖,土鳖虫,香加皮,穿壁风,樟脑,碎骨木
桃仁,地龙,土鳖虫,红花,丹参,鸡血藤
苦楝皮,槐皮,雄黄
