红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,丹参,三棱,赤芍,莪术,穿山甲
桃仁,丹参,三棱,赤芍,莪术,穿山甲
丹参,茜草,三七,降香,赤芍
丹参,三七,益母草,香附,党参,川芎
桃仁,红花,五灵脂,姜黄,没药,人参
刘寄奴,香油,茜草,松节,伸筋草,紫草根
鸡血藤,双花,元参,乳香,土茯苓,甘草
桃仁,玄胡,银藤,丹皮,生石膏,水蛭
丹参,泽兰,玄胡,鸡血藤,元参,没药
蒲公英,赤小豆,川军,犀黄丸,冬瓜子,土贝母
香油,章丹
丹参,红花,降香,赤芍,川芎
自然铜,孩儿牙齿,鸡子,朱砂
桃仁,红花,黑豆,玄胡,益母草,苏木
自然铜,没药,熟军,血竭,乳香,土鳖虫
桃仁,红花,附子,白术,党参,干姜
红花,泽泻,乌药,穿山甲,茯苓,川芎
桃仁,益母草,芥穗,炮姜,炙草,川芎
没药,乳香,瓜蒌,橘核,荔核,当归
桃仁,红花,归尾,炮山甲,白术,板蓝根
桃仁,红花,白芍药,熟地黄,川芎,当归
茅根,丹皮,蒲黄,生地黄,川芎,芍药
丹参,茜草,元参,土贝母,白术,生地
秦皮,酒黄芩,丹皮,生地,木通,赤芍
茅根,茜草,鸡血藤,仙鹤草,三七粉,山栀
红花,黄耆,人参1,地锦草,白术1,赤芍
丹参,红花,鸡血藤,丹皮,玉竹,桑椹
桃仁,红花,丹参,田七,生地,赤芍
自然铜,没药,乳香,土鳖虫,马前子,麻黄
醋,半夏
桃仁,红花,海藻,海金砂,昆布,冬葵
泽兰,山栀,郁金,川楝,枳实,柴胡
丹参,五味子,制半夏,麦冬,枳实,沙参
没药,赤芍,凌霄花,木香,当归,桂心
红花,五灵脂,生地,赤芍,赤茯苓,川芎
炉甘石,珍珠,麝香,冰片,牛黄,硼砂
丹参,败酱,牡丹,麦门冬,薏苡仁,茯苓
归尾,草决,黄连,生地,蒺藜,白芍
玄胡,槟榔,肉桂,三棱,莪术,缩砂
丹参,茜草,王不留行,薏米仁,清风藤,地鳖
地龙,玄胡,没药,赤小豆,血竭,乳香
红花,刘寄奴,归尾,酒生地,益母草,赤芍
桃仁,泽兰,新绛,瓦楞子,郁金,参三七
桃仁,红花,丹参,泽兰,蒲公英,没药
地龙,仙灵脾,盐黄柏,盐知母,肉桂,泽泻
丹参,牡蛎,白花蛇舌草,郁金,三棱,香附
丹参,地龙,王不留行,橘叶,川楝,皂角刺
丹参,海藻,牡蛎,昆布,橘叶,三棱
红花,三七,樟脑,薄荷脑,麝香,龙血竭
桃仁,红花,地龙,灵脂,没药,秦艽
红花,三棱,蒲黄,黄芪,党参,川芎
桃仁,人参,生地,鳖甲,当归,大黄
玄胡,乳香,广郁金,枳实,白芍,香附
桃仁,红花,泽兰,酒丹参,当归尾,香附
桃仁,黑姜,炙草,川芎,当归
红花,干葛,半夏,苏叶,香附,川芎
没药,灵脂,元胡,香附
玄胡,五灵脂,没药,蒲黄,赤芍,官桂
五灵脂,蒲黄
茅根,半枝莲,石苇,海金砂,金钱草,三棱
桃仁,黄连,吴萸,半夏,陈皮
生甘草,干葛,山楂,升麻,僵蚕,蝉蜕
玄胡,蓬术,丹皮,北芍药,川芎,当归
熟军,灵脂,元胡,藏红花,丹皮,熟地
桃仁,红花,元胡,黄柏,制南星,威灵仙
红花,山楂,泽泻,当归尾,乌药,香附
桃仁,红花,丹参,归尾,乳香,蕺莱
桃仁,干漆,芍药,当归,芎藭,甘草
桃仁,蒲黄,大枣,消石,大黄,甘草
桃仁,白术,陈橘皮,三棱,赤芍,鳖甲
桃仁,红花,楂肉,山栀,丹皮,赤曲
莪茂,人参,丹皮,川芎,芍药,牛膝
红花,自然铜,没药,血竭,乳香,苏木
没药,丹皮,乳香,肉桂,骨碎补,黄柏
丹参,地龙,鸡血藤,络石藤,乌梢蛇,钩藤
桃仁,红花,路路通,丝瓜络,生地,赤芍
丹参,没药,血竭,乳香,公英,金银花
桃仁,红花,生地,赤芍,柴胡,川芎
玄胡,苦楝,地黄,川芎,芍药,当归
玄胡,当归
桃仁,青龙齿,制香附,木通,枸杞子,琥珀
使君子,九肋鳖甲,干蟾,海藻,麦蘖,黄连
蒲公英,没药,乳香,木瓜,栀子,地鳖虫
红花,蓬术,透骨草,川山甲,萝卜子,三棱
麻仁,炮山甲,牡蛎,乌梅,五倍子,苦参
丹参,三七,山楂,郁金,泽泻,槐花
茅根,山楂,过路黄,凤尾草
桃仁,丹参,自然铜,玄胡,没药,乳香
泽兰,白术,王不留行,佛手,山楂,牡蛎
虎杖,仙灵脾,半枝莲,仙鹤草,生鸡内金,鹿衔草
桃仁,没药,金钱草,乳香,三棱,赤芍
桃仁,红花,生地,木蝴蝶,杷叶,麦冬
虎杖,泽兰,蒲公英,酒大黄,板蓝根,土茯苓
虎杖,豆豉姜,千斤拔,过江龙,朱砂根,九龙川
桃仁,红花,丹参,地龙,鸡血藤,伸筋草
槐皮,苦楝皮,雄黄
