珍珠母,磁石,赭石,酒曲,半夏,酒曲
檀香,朱砂,天竺黄,琥珀,枳壳,天南星
朱砂,天竺黄,琥珀,赤苓,丹参,天南星
朱砂,天竺黄,珍珠,防风,琥珀,贝母
茯神,远志,菖蒲,人乳,大辰砂,真琥珀
茯神,枣仁,远志,辰砂,琥珀,当归
茯神,远志,真琥珀,人参,羚羊角,甘草
茯神,枣仁,朱砂,远志,琥珀,生地
茯神,枣仁,远志,巴戟,辰砂,防风
辰砂,琥珀,没药,乳香,麝香
茯神,金箔,远志,辰砂,黄耆,益智
朱砂,珍珠,琥珀,丹参,犀角粉,麝香
红糖,粳米,合欢花
鸡蛋,去芯莲子,芡实,山药
朱砂,铁粉,蛇黄,脑子,蝉壳,蜈蚣
茯神,金箔,朱砂,天竺黄,防风,真麝香
茯神,金箔,朱砂,远志,天竺黄,铁粉
金箔,辰砂,防风,天麻,犀角,丹参
金箔,天竺黄,铁粉,丹参,虎睛,铅霜
茯神,金箔,朱砂,远志,铁粉,犀角屑
金箔,天竺黄,辰砂,皂荚仁,生白龙脑,二
金箔,天竺黄,辰砂,皂荚仁,生白龙脑,白矾
茯神,金箔,远志,辰砂,菖蒲,皮硝
茯神,枣仁,合欢花,郁金,当归,橘饼
辰砂,明矾,天南星,半夏
茯神,枣仁,朱砂,远志,菖蒲,芍药
枣仁,远志,丹皮,生地,麦门冬,枳壳
枣仁,远志,丹皮,生地,枳壳,熟地
朱砂,琥珀,牵牛,大黄,钩藤,天麻
2钱,土鳖虫,钱,熟军,当归,自然铜
朱砂,黄芩,黄柏,减半,黄连,雄黄
谷蘖,随风子,大腹子,薏仁,石斛,五味子
川姜,天麻,白僵蚕,天南星,干蝎,川乌
茯神,远志,菖蒲,贝母,钩藤,丹参
枣仁,远志,五味子,竹茹,枳实,人参
茯神,枣仁,远志,菖蒲,柏子仁,人参
枣仁,朱砂,远志,菖蒲,柏子仁,当归
茯神,远志,厚朴,紫苏,半夏,甘草
茯神,枣仁,琥珀,菖蒲,枸杞,肉苁蓉
川姜,天麻,白僵蚕,天南星,干蝎,川乌
茯神,枣仁,远志,丹皮,生地,石斛
茯神,远志,当归,犀角,麦冬,知母
茯神,巴戟,阳起石,黑附子,干姜,肉苁蓉
肉桂心,生川连
琥珀,香附,茯苓
檀香,石灰华,高山辣根菜,红景天,洪连,榜嘎
檀香,石灰华,高山辣根菜,红景天,洪连,榜嘎
珍珠母,太子参,女贞子,地骨皮,菟丝子,五味子
远志,菖蒲,龟甲,龙骨
茯神,远志,麦门冬,桂心,地骨皮,龙齿
枣仁,远志,芍药,琥珀,菖蒲,桂枝
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,郁金,广皮,灯心100厘米
面,洗去蜜酒令尽,先将猪肚净洗,入银石器内水熬烂,再用酒调成膏,椒等洗
钟乳,巴戟,灵砂,肉蔻,阳起石,金铃子
辰砂,蝎梢,真麝香1字,蜈蚣,白僵蚕,人参
干百合,蜂蜜
茯神,枣仁,当归,赤芍,五味子,人参
茯神,金箔,枣仁,远志,辰砂,琥珀
茯神,枣仁,远志,黄耆,当归,罗参
茯神,天竺黄,防风,枳壳,贝母,钩藤
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,山药,人参,麝香
茯神,枣仁,朱砂,远志,麦门冬,龙齿
茯神,远志,菖蒲,黄芩,丹参,丹参
茯神,芡实,枸杞,肉苁蓉,紫石英,莲花须
珍珠母,枣仁,合欢皮,夏枯草,钩藤,丹参
梅花片,真豆粉,大朱砂,丹参,甘草
珍珠母,黄芩,猪脱氧胆酸,水牛角,板蓝根,胆酸
枣仁,枫香脂,牛心粉,沉香,木香,丁香
茯神,枣仁,朱砂,远志,牡蛎,益智
枣仁,知母,芎藭,茯苓,甘草
枣仁,粳米
枣仁,夜交藤,生地,丹参,龙骨,炒柏子仁
光明砂,磁石,神曲
辰砂,琥珀,当归,滴乳,没药,麝香
铁粉,使君子仁,蛇黄,天南星,茯苓
茯神,远志,辰砂,菖蒲,贝母,钩藤
远志,肉苁蓉,山萸,菟丝子,五味子,巴戟天
枣仁,干姜,当归,莲肉,山药,人参急者用30克
朱砂,琥珀,天南星
朱砂,远志,琥珀,生地,黄耆,当归
檀香,朱砂,琥珀,降香,天麻,建莲心
檀香,朱砂,琥珀,郁金,降香,天麻
茯神,枣仁,远志,辰砂,柏子仁,黄耆
檀香,枣仁,石灰华,高山辣根菜,野姜,余甘子
金箔,朱砂,琥珀,白僵蚕,天南星,真铁粉
茯神,金箔,远志,铁粉,丹参,丹参
远志,巴戟,菟丝子,苁蓉,牛膝,地黄
檀香,白芷,三,川芎,桔梗,甘草
枣仁,远志,柏子仁,麦门冬,当归,五味子
茯神,枣仁,远志,菖蒲,柏子仁,麦门冬
枣仁,朱砂,远志,菖蒲,柏子仁,当归
枣仁,山萸,五味子,破故纸60宽,山药,党参
枣仁,远志,黄芩,麦门冬,桂心,萆薢
葱,乌灵参,酒,鸡,姜,盐
朱砂,黄芩,郁金,栀子,丹参,黄连
枣仁,丹皮,柏子仁,丹参,莲子心,玄参
茯神,犀角屑,黄芩,麦门冬,龙齿,人参
辰砂,琥珀,青龙齿,枸杞,白芍,赤芍
茯神,珍珠母,合欢皮,夏枯草,钩藤,丹参
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,胆南星,脑,真珠,麝,人参
天竺黄,飞朱砂,菖蒲,煅青礞石,珠粉,贝母
远志,辰砂,牡蛎,肉苁蓉,干姜,人参
茯神,枣仁,远志,柏子仁,黄耆,紫石英
朱砂,钩藤,人参,白术,甘草,茯苓
枣仁,远志,麦门冬,黄耆,当归,胆南星
葱,白糖,香油,花椒,玉竹,味精
枣仁,合欢皮,女贞子,浮小麦,灵芝,何首乌
枣仁,白糖,粳米,夜交藤
远志,芍药,黄耆,桂心,五味子,当归
枣仁,薏仁,当归,大热地,麦冬,山药
茯神,枣仁,丹皮,柏子仁,生地,枳壳
茯神,枣仁,远志,柏子仁,黄耆,熟地
寒水石,丁子香,黄金,磁石,犀角,羚羊角
朱砂,柏子仁,肉苁蓉,紫石英,龙骨,麝香
茯神,枣仁,远志,当归,地黄,人参
