红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
红花,自然铜,没药,血竭,乳香,苏木
没药,丹皮,乳香,骨碎补,肉桂,生地
地龙,丹参,鸡血藤,蜈蚣,黄芪,络石藤
桃仁,红花,路路通,赤芍,丝瓜络,生地
丹参,没药,血竭,乳香,公英,柴胡
桃仁,红花,赤芍,生地,柴胡,桔梗
玄胡,苦楝,地黄,芍药,川芎,当归
玄胡,当归
桃仁,青龙齿,制香附,赤芍,荆芥,辰砂
使君子,海藻,麦蘖,九肋鳖甲,干蟾,黄连
蒲公英,没药,乳香,木瓜,栀子,地鳖虫
红花,蓬术,透骨草,杏仁,川山甲,三棱
麻仁,炮山甲,牡蛎,五倍子,乌梅,射干
丹参,三七,山楂,郁金,黄芪,泽泻
茅根,过路黄,凤尾草,山楂
桃仁,自然铜,丹参,玄胡,没药,苏木
泽兰,王不留行,佛手,山楂,白术,牡蛎
虎杖,仙灵脾,仙鹤草,半枝莲,白花蛇舌草,生鸡内金
桃仁,没药,金钱草,乳香,三棱,赤芍
桃仁,红花,玄参,杷叶,木蝴蝶,生地
虎杖,泽兰,蒲公英,酒大黄,土茯苓,板蓝根
虎杖,土鳖虫,猪牙皂,豆豉姜,五味藤,羊耳菊
桃仁,地龙,土鳖虫,丹参,红花,鸡血藤
苦楝皮,槐皮,雄黄
