珍珠母,酒曲,磁石,酒曲,赭石
茯神,远志,枣仁,辰砂,巴戟
辰砂,琥珀,麝香,乳香,没药
茯神,远志,金箔,辰砂,黄耆
朱砂,珍珠,琥珀,龙涎香,丹参
红糖,粳米,合欢花
鸡蛋,芡实,去芯莲子,山药
朱砂,铁粉,蛇黄,蜈蚣,乳香
茯神,天竺黄,金箔,朱砂,胆南星
茯神,天竺黄,远志,金箔,朱砂
金箔,辰砂,天麻,防风,丹参
金箔,天竺黄,铁粉,丹参,龙齿
茯神,远志,金箔,朱砂,犀角屑
金箔,天竺黄,辰砂,白矾,生白龙脑
金箔,天竺黄,辰砂,白矾,生白龙脑
茯神,远志,金箔,辰砂,菖蒲
茯神,枣仁,合欢花,郁金,白芍
辰砂,明矾,天南星,半夏
茯神,远志,枣仁,朱砂,菖蒲
枣仁,远志,熟地,丹皮,生地
枣仁,远志,熟地,丹皮,生地
朱砂,琥珀,天麻,钩藤,胆南星
钱,土鳖虫,熟军,2钱,当归
朱砂,黄芩,山栀仁,雄黄,减半
大腹子,谷蘖,随风子,薏仁,石斛
川姜,天麻,天南星,干蝎,白僵蚕
茯神,远志,菖蒲,贝母,钩藤
枣仁,远志,竹茹,地黄,枳实
茯神,远志,枣仁,菖蒲,柏子仁
枣仁,远志,朱砂,菖蒲,柏子仁
茯神,远志,厚朴,茯苓,紫苏
茯神,枣仁,菖蒲,琥珀,肉苁蓉
川姜,天麻,天南星,干蝎,白僵蚕
茯神,远志,枣仁,白芍,麦冬
茯神,远志,麦冬,犀角,当归
茯神,巴戟,阳起石,黑附子,肉苁蓉
肉桂心,生川连
琥珀,香附,茯苓
檀香,石灰华,高山辣根菜,丹参,榜嘎
檀香,石灰华,高山辣根菜,丹参,榜嘎
珍珠母,太子参,当归,地骨皮,地黄
远志,菖蒲,龟甲,龙骨
茯神,远志,麦门冬,桂心,地骨皮
枣仁,远志,菖蒲,琥珀,牡蛎
枣仁,粳米,龙眼肉
红糖,粳米,莲子粉
茯神,朱砂,琥珀,郁金,丹参
大猪肚,缝定,再用酒调成膏,醋,入银石器内水熬烂
巴戟,金铃子,钟乳,肉蔻,阳起石
辰砂,蝎梢,真麝香1字,蜈蚣,白僵蚕
干百合,蜂蜜
茯神,枣仁,当归,五味子,陈皮
茯神,远志,枣仁,金箔,辰砂
茯神,远志,枣仁,黄耆,当归
茯神,天竺黄,贝母,钩藤,胆南星
鲜玫瑰花,羊心,食盐
茯神,远志,辰砂,麝香,黄蓍
茯神,远志,枣仁,朱砂,麦门冬
茯神,远志,菖蒲,麦冬,丹参
茯神,肉苁蓉,枸杞,芡实,韭子
枣仁,珍珠母,合欢皮,钩藤,丹参
真豆粉,梅花片,大朱砂,丹参,甘草
珍珠母,水牛角,猪脱氧胆酸,板蓝根,胆酸
枣仁,枫香脂,牛心粉,木香,沉香
菖蒲,芍药,当归,地黄,乌梅肉
茯神,远志,枣仁,朱砂,牡蛎
枣仁,知母,芎藭,茯苓,甘草
枣仁,粳米
枣仁,生地,丹参,夜交藤,龙骨
光明砂,磁石,神曲
辰砂,琥珀,当归,麝香,滴乳
铁粉,蛇黄,使君子仁,天南星,茯苓
茯神,远志,辰砂,菖蒲,贝母
远志,肉苁蓉,巴戟天,牛膝,山萸
枣仁,干姜,当归,人参急者用30克,山药
朱砂,琥珀,天南星
朱砂,远志,琥珀,黄耆,生地
檀香,朱砂,琥珀,天麻,降香
檀香,朱砂,琥珀,天麻,郁金
茯神,远志,枣仁,辰砂,柏子仁
枣仁,檀香,石灰华,高山辣根菜,红花
朱砂,金箔,琥珀,天南星,白僵蚕
茯神,远志,金箔,铁粉,丹参
远志,巴戟,牛膝,杜仲,地黄
檀香,三,白芷,川芎,甘草
枣仁,远志,柏子仁,麦门冬,当归
茯神,远志,枣仁,菖蒲,柏子仁
枣仁,远志,朱砂,菖蒲,柏子仁
枣仁,山萸,党参,五味子,山药
枣仁,远志,桂心,麦门冬,黄芩
葱,酒,鸡,乌灵参,姜
朱砂,郁金,丹参,黄芩,栀子
枣仁,丹皮,柏子仁,丹参,莲子心
茯神,犀角屑,麦门冬,龙齿,黄芩
辰砂,琥珀,枸杞,青龙齿,白芍
茯神,珍珠母,合欢皮,钩藤,丹参
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,胆南星,真珠,脑,人参
天竺黄,菖蒲,贝母,胆南星,珠粉
远志,辰砂,牡蛎,干姜,肉苁蓉
茯神,远志,枣仁,柏子仁,白芍
朱砂,钩藤,白术,人参,茯苓
枣仁,远志,黄耆,麦门冬,胆南星
葱,白糖,味精,猪心,香油
枣仁,合欢皮,女贞子,灵芝,浮小麦
枣仁,白糖,粳米,夜交藤
远志,桂心,黄耆,芍药,茯苓X克
枣仁,薏仁,当归,麦冬,山药
茯神,枣仁,柏子仁,丹皮,丹参
茯神,远志,枣仁,柏子仁,熟地
寒水石,黄金,丁子香,沉香,犀角
朱砂,柏子仁,肉苁蓉,紫石英,麝香
茯神,远志,枣仁,当归,地黄
