丹参,川芎,甘草,莲子心,朱砂
没药,乳香,雄黄,黄蜡,官粉
板蓝根,糖粉,菠萝香精油,淀粉
黄蘖,寒水石,石膏,甘草
没药,铜绿,乳香,松香,白蜡
香油,没药,血竭,木鳖子,硼砂
金银花,血竭,没药,木鳖子,乳香
赤小豆,黄丹,白芷,蒲黄,半夏
芙蓉叶,赤芍,五倍子,赤小豆,白芷
冰片,没药,乳香,麝香,犀黄
寒水石,黄柏,石膏,甘草
木鳖子,无名异,黄柏,花粉,大黄
一点红,九里明,射干,甘草
乳香,黄丹,密陀僧,麝香,轻粉
大戟,甘遂,土狗,芫花,大黄
冰片,黄柏,麝香,玄明粉,煅硼砂
冰片,黄柏,麝香,玄明粉,炒硼砂
冰片,硼砂,胆矾,雄黄,麝香
冰片,硼砂,朱砂,玄明粉
冰片,鸡蛋,黄油
冰片,西丹参,珠粉,青鱼胆,熊胆
梅片,硼砂,炉甘石,琥珀,珠子
冰片,乳香,文蛤,雄黄,炙穿山甲
冬瓜皮,车前子,鸡内金,白茅根,旱莲草
冰片,没药,血竭,乳香,樟脑
冰片,香油,没药,三七,血竭
没药,三七,血竭,赤芍,乳香
马钱子,没药,血竭,乳香,自然铜
没药,三七,血竭,赤芍,乳香
没药,乳香,山甲,花粉,皂刺
银花,没药,乳香,连翘,白芷
芥菜花1味
麻黄素,葡萄糖粉,鹅不食草,辛夷花
核桃仁
核桃仁
没药,乳香,白芷,蓖麻子仁,独活
白胶香,乳香,白芷,定粉,白蔹
一十,十,木通,滑石,栀子
紫苏,砂仁,大腹皮,木瓜,陈皮
芙蓉叶,白芷,天南星,独活,紫金皮
山柰,官桂,川芎,麝香,升麻
瓜子,牡丹,桃仁,大黄,皮硝
瓜子,牡丹,桃仁,大黄,皮硝
葶苈,木通,莽草,大黄
蒲公英,银花,赤芍,乳香,木鳖子
白酒,麻子仁,大豆,乌蛇
白酒,牛蒡,杉木节,地骨皮,大麻仁
蒲公英,银花,连翘,野菊花,甘草
冰片,木鳖子,白菊花,龙胆草,熊胆
冰片,银花,炉甘石,硼砂,车前子
香油,核桃仁,蝈蝈,牛胆
月石,海浮石,胖大海,诃子
马钱子,穿山甲,胡连,刺猬皮,蜂房
秦皮,犀角屑,前胡,升麻,芎
粳米,茯苓
黄苓,炒白芍,川芎,栀子,地黄
芙蓉叶,榆面,大黄,皮硝
冰片,芙蓉叶,黄柏,泽兰叶,大黄
冰片,芙蓉叶,黄柏,大黄,番泻叶
绿豆,连翘,秦皮,泽兰,白芷
绿豆,连翘,秦皮,泽兰,白芷
赤芍,穿山甲,夏枯草,川芎,桃仁
蒲公英,赤芍,大青叶,甘草,丹皮
肿节风浸膏,薄荷,薄荷
银花,红藤,桃仁,三颗针,薏仁
高粱酒,两背针,50,食用乙醇,苏木
金银花,赤芍,赤小豆,车前子,连翘
车前子,太子参,猪苓,党参,五加皮
连翘,甘草3寸半,陈皮,青皮
抱鸡蛋壳
葶苈,防己,甘草
白酒,瓜蒌,甘草
冬瓜皮,赤小豆,西瓜皮,白茅根,玉米须
梅片,硼砂,炉甘石,熊胆,琥珀
冰片,没药,血竭,白信,乳香
冰片,西瓜霜,硼砂,贝母,射干
金银花,连翘,牛蒡,花粉,栀子
没药,乳香,栝楼,甘草,当归
蒲公英,没药,柴胡,三仙,川朴
岗梅,山芝麻,毛冬青,金钱风,牛膝
赤芍,桃仁,莪术,三棱,丹参
冰片,滑石,雄黄,朱砂面,甘草
铜绿,新针,胆矾,甘石,归尾
金银花,赤芍,龙胆草,木通,吴萸
冰片,草乌,硇砂,乳没,麝香
五倍子,葱白,小麦,白矾,朴消
银花,赤芍,牛蒡,黄柏,栀子
赤小豆,黄柏,青盐,马牙消,麒麟竭
金银花,赤芍,连翘,羌活,川芎
银花,赤芍,连翘,黄柏,薄荷
食盐,鲜黄花菜
冬瓜皮,生姜皮,白糖,茯苓皮,黄芪
清油,零陵香,黄蜡,芎,天麻
大戟,甘遂,陈曲,麦蘖,陈皮
五倍子,枯矾,白芷,黄丹,雄黄
冰片,儿茶,甘石,元连,轻粉
马钱子,穿山甲,黑附子
连翘,茵陈,贝母,木通,山栀仁
粳米,陈葫芦粉
冬瓜皮,葫芦壳,西瓜皮,枣仁
橘核,乳香,穿山甲,昆布,荔枝核
金银花,木通,薏仁,木瓜,归尾
白酒,红蓝花
酒精,75,红花
冰片,松香,白芷,贝母,潮脑
赤芍,红花,白及,当归,防风
冰片,枯矾,硼砂,鸡内金,滑石
冰片,棉胭脂,枯矾面
冰片,月石,元明粉,西瓜霜,朱砂
血竭,海藻,京墨,五灵脂,琥珀
白芷,郁金,天南星,大黄
油,木鳖子,桂心,白芷,黄丹
梅片,儿茶,血琥珀,熊胆,珍珠
没药,乳香,黑丑,琥珀,白丑
獾油,冰片面
獾油,地榆,石膏,大黄
没药,乳香,雄黄,黄米,菖蒲
冰片,香油,没药,血竭,乳香
冰片,三七,乳香,自然铜,土鳖虫
三七,乳香,土鳖虫,自然铜,当归
冰片,没药,血竭,乳香,白芷
胶布固定,6次,外盖纱布,活蚯蚓数条,贴敷患处
茯苓皮,车前子,泽兰,金钱草,黄芪
金银花,没药,乳香,连翘,白芷
姜黄,白芷,花粉,芍药
赤芍,白芷,花粉,郁金
槐角,地榆,当归,防风,枳壳
没药,乳香,苏木,栝楼,忍冬
五倍子
冰片,人指甲,西瓜霜,熊胆,雄黄
没药,乳香,赤芍,花粉,贝母
葶苈,甘遂,红芽大戟,神曲,芫花
葶苈,大戟,甘遂,灵脂,芫花
祛湿药膏,化毒散
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,雄黄,蛇床子,桃仁
鸡蛋
冬瓜,鲫鱼
野菊花,白茅根,贝母,薄荷
蒲公英,红藤,厚朴,大黄
淮地,薄荷,川乌
冰片,硼砂,火消,硇砂,雄黄
猪蹄,鲜金针菜根
干蟾皮不拘多少
川军,明雄,山甲,全蝎,朱砂
山菊花,黄柏,栀子,黄连,黄芩
叶子雌黄,麝香,郁金,槟榔,黄连
三七,金刚莲,马钱子霜,接骨木,红花
三七,金刚莲,马钱子霜,18厘米,捆仙绳
冰片,牙皂,蒲黄,枪消,僵蚕
元明粉,京红粉,轻粉
芙蓉叶,人中黄,大青叶,青黛
冰片,松香,连翘,白芷,薄荷
蟾酥,雄黄,朱砂,丁香
蒲公英,银花,赤芍,连翘,薄荷
银花,赤芍,连翘,白芷,薏仁
蒲公英,金银花,赤芍,川军,赤小豆
白菊花
花椒,生葱,广胶,陈酒糟,葱白
香油,章丹
金银花,连翘,山栀,甘草,黄连
车前子,茱萸,地黄,山药,肉桂
橘核,川军,乌药,胡芦巴,玄胡
没药,血竭,乳香,发灰,自然铜
花椒,黄丹,槐枝,大蒜头,葱白
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,木鳖子,自然铜,羊胫骨灰,川乌
小黄米面,皂角末,发灰
冰片,没药,青鱼胆,乳香,黄柏
没药,葱,乳香,木鳖子,清油
乌药,穿山甲,川芎,红花,陈皮
蒲公英,赤芍,元参,马勃,薄荷
车前子,官桂,地黄,茱萸,山药
西瓜霜,珠粉,西黄,琥珀
白果,地肤子,白茅根,桑白皮,黄芪
昆布,海藻,木通,陈皮,甘草
没药,紫苏,乳香,黄柏,薄荷
没药,乳香,黄柏,薄荷,苏叶
冰片,月石,滑石,贝母,朱砂
没药,乳香,麻黄,马钱子粉
没药,乳香,麻黄,自然铜,马前子
醋2500毫升,半夏
大独活,西秦艽,广地龙,骨碎补,威灵仙
3克,或,9克,9克,萝卜子
鸡蛋,细盐,龙衣
冰片,蝙蝠
冰片,马勃,西瓜霜,麝香,蒲黄
粳米,香子,鹿头肉,蔓荆子,高良姜
冬瓜,鲤鱼头
蛇床人,黄丹,乱发,黄蜡,蛇蜕皮
冰片,没药,血竭,硼砂,乳香
银花,红藤,桃仁,炙山甲,川楝
蒲公英,金银花,红藤,连翘,贝母
银花,赤芍,连翘,白芷,黄柏
金银花,赤芍,连翘,白芷,花粉
鲜萝卜缨
粳米,绿豆
绿豆,白糖
葶苈,贝母,人参,桑白皮,紫菀
蟾酥,乳香,硇砂,雄黄,麝香
蟾酥,没药,血竭,龙脑,轻粉
蟾酥,血竭,胆矾,京墨,麝香
蟾酥,血竭,胆矾,京墨,麝香
昆布,海石,天葵子,贝母,牡蛎
赤芍,炒桃仁,刘寄奴,生地,大黄
没药,木鳖子,乳香,蓖麻子,自然铜
葱,赤芍,紫苏,玄胡,黄柏
冬瓜皮,车前子,官桂,通草,建泽泻
蟾酥,西丹参,珠粉,飞朱砂,飞腰黄
冰片,蟾酥,雄黄,珍珠,丹参
芙蓉叶,草乌,野芋头,天南星,川乌
大麻子仁,大黄
大米,白茅根
葶苈,海藻,商陆根,蜀漆,栝楼
冰片,葶苈,没药,蟾酥,血竭
生姜皮,车前子,木通,川萆解,砂仁
蒲公英,粳米
紫草茸,白芷,川芎,地黄,藿香
银花,赤芍,连翘,牛蒡,薄荷
金银花,北豆根,青果,麦冬,桔梗
葫芦巴,紫苏,猪苓,地肤子,桃仁
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,甘草,黄连
连翘,白芷,羌活,射干,荆芥
冰片,没药,血竭,赤小豆,乳香
闹羊花
芙蓉叶,花粉,生川柏,大黄,滑石
茶叶末,生清油
赤芍,连翘,黄柏,花粉,栀子
赤芍,连翘,黄柏,花粉,栀子
金银花,薏仁,地榆,麦冬,玄参
蒲公英,金银花,野菊花,连翘,瓜蒌
蒲公英,金银花,赤芍,连翘,车前子
金银花,连翘,川芎,地黄,甘草
连翘,牛蒡,薄荷,荆芥,栀子
金银花,连翘,玄明粉,鼠粘子,薄荷
芙蓉叶,赤小豆,白芷,雄黄,黄柏
冰片,没药,血竭,乳香,儿茶
金银花,麦冬,生地,甘菊花,熟地
姜黄,白芷,黄柏,花粉,天南星
白酒,如意草
赤芍,海藻,昆布,柴胡,王不留行
连翘,元参,花粉,鼠粘子,桅子
冰片,血竭,三七,薄荷,麝香
冰片,没药,血竭,乳香,儿茶
白酒,苏木
没药,人参,栝楼,甘草,当归
续随子,红芽大戟,文蛤,山慈菇,麝香
金银花,没药,乳香,白芷,花粉
甜石榴,酸石榴,清酒,苍耳子,羌活
车前子,生枳,车前草,薏仁,荆芥
冰片,黄柏,虎杖
白芷,黄柏,郁金,轻粉,白及
紫苏,人参,官桂,五灵脂,砂仁
如意金黄散,樟冰
金银花,赤芍,牛蒡,射干,挂金灯
大腹子,木瓜,草果仁,厚朴,甘草
芙蓉叶,黄柏,泽兰叶,大黄,黄连
大黄末,黄柏末,雄黄,丹参
草乌,狼毒,天南星,半夏
粳米,商陆
大梅片,西丹参,硼砂,青鱼胆,马勃
马钱子,枳壳
连翘,白芷,黄柏,薄荷,荆芥
白菊花,北防风,黄柏,白蒺藜,石膏
芙蓉叶,五倍子,赤小豆,草乌,川乌
芙蓉叶,泽兰叶,薄荷,金桐叶,耳草叶
没药,桂心,琥珀,麝香,细辛
葶苈,猪苓,木通,滑石,辣桂
葶苈,贝母,人参,桑白皮,紫菀
没药,乳香,透骨草,白芷,羌活
连翘,大力子,莱菔,薄荷,僵蛹
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,泽泻,茯苓
赤小豆,白樟柳根,陈皮,木香
没药,乳香,黄柏,肉桂,生地
蚕蜕,猪蹄蜕,穿山甲,蛇蜕,蝉蜕
白芷,穿山甲,生地,当归,黄耆
赤芍,连翘,牛蒡,桔梗,甘草
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
蒲公英,银花,紫背天葵子,野菊花,地丁
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,玄参,甘草,大黄
芙蓉叶,紫荆皮,白芷,天南星,骨碎补
葶苈,生姜皮,车前子,猪苓,木通
芙蓉叶,五倍子,草乌,陈小粉,天南星
乳香,上冰片,白及,丹皮
姜黄,散血草,黄柏,透骨草,陈皮
通脱木,瞿麦,木通,黑牵牛,滑石
蒲公英,没药,乳香,地鳖虫,木瓜
冰片,硼砂,寒水石,熊胆,孩儿茶
蒲公英,芙蓉叶,金银花,牛蒡,花粉
连翘,蓖麻仁,夏枯草
银花,白芷,贝母,柴胡,花粉
连翘,元参,花粉,桔梗,栝楼
蚯蚓,雄黄,麻黄,羌活,川芎
金银花,没药,乳香,瓜蒌,连翘
葶苈,大戟,甘遂,雄黄,桑白皮
硼砂,乳香,15克,1,5克
癞虾蟆草,枳壳
没药,乳香,木鳖子,草乌,五灵脂
冰片,没药,赤芍,乳香,贝母
粳米,青头雄鸭,葱白
没药,乳香,樟冰,甲片,麝香
冰片,铜绿,胆矾,姜黄,樟冰
没药,乳香,赤芍,牛蒡,草乌
金银花,没药,乳香,赤芍,白芷
葶苈,海藻,桂心,通草,松萝
败酱,薏仁,黑附子
瓜蒌仁,桃仁,薏仁,白芍,丹皮
黑牵牛头末,茴香
制萸肉,石苇,黄芪,山楂,党参
乳没,乌药,黄芪,川芎,吴萸
瓜蒌,白芷,麻黄蓍,白芨,零香
血竭,白芷,麻油,白占,轻粉
苍耳子,白芷,杭菊,北芪,辛荑花
蟾酥,雄黄,朱砂,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,泽兰,羌活,蝉蜕
没药,乳香,硇砂,雄黄,麝香
五倍子,千金子霜,红大戟,雄黄,山慈姑
没药,五倍子,乳香,肥皂肉
金银花,地丁,大黄,甘草,当归
蒲公英,赤芍,白芷,黄柏,桃仁
血竭,儿茶,红花,甘草,当归
土鳖虫,穿壁风,千斤拔,鹰不扑,香樟
没药,血竭,儿茶,乳香,琥珀
