丹参,川芎,甘草,当归,莲子心
没药,乳香,雄黄,黄蜡,轻粉
板蓝根,菠萝香精油,糖粉,淀粉
黄蘖,寒水石,石膏,甘草
没药,乳香,白蜡,铜绿,松香
香油,木鳖子,没药,血竭,乳香
金银花,木鳖子,血竭,没药,乳香
黄丹,赤小豆,白芷,蒲黄,半夏
芙蓉叶,五倍子,赤小豆,赤芍,黄柏
冰片,没药,乳香,犀黄,前胡
寒水石,黄柏,石膏,甘草
木鳖子,黄柏,无名异,花粉,大黄
九里明,一点红,射干,甘草
黄丹,乳香,密陀僧,麝香,白矾
大戟,甘遂,土狗,芫花,大黄
冰片,黄柏,玄明粉,白矾,麝香
冰片,黄柏,玄明粉,炒硼砂,麝香
冰片,硼砂,胆矾,朱砂,雄黄
冰片,硼砂,玄明粉,朱砂
冰片,鸡蛋,黄油
冰片,西丹参,珠粉,熊胆,青鱼胆
硼砂,梅片,炉甘石,珠子,琥珀
冰片,乳香,文蛤,全蝎,朱砂
冬瓜皮,车前子,白茅根,鸡内金,陈葫芦
冰片,血竭,没药,乳香,樟脑
冰片,香油,血竭,没药,乳香
血竭,没药,三七,乳香,赤芍
马钱子,没药,血竭,乳香,土鳖虫
血竭,没药,三七,乳香,赤芍
没药,乳香,山甲,花粉,蜈蚣
银花,没药,乳香,连翘,刺猬皮
芥菜花1味
葡萄糖粉,麻黄素,辛夷花,鹅不食草
核桃仁
核桃仁
没药,乳香,蓖麻子仁,白芷,老葱
白胶香,乳香,白芷,定粉,白蔹
一十,十,木通,栀子,滑石
紫苏,砂仁,木瓜,大腹皮,麦门冬
芙蓉叶,白芷,天南星,紫金皮,独活
山柰,官桂,红花,麝香,川芎
瓜子,牡丹,桃仁,大黄,皮硝
瓜子,牡丹,桃仁,大黄,皮硝
葶苈,木通,大黄,莽草
蒲公英,银花,木鳖子,乳香,赤芍
白酒,麻子仁,大豆,乌蛇
白酒,牛蒡,杉木节,大麻仁,生地
蒲公英,银花,连翘,野菊花,地丁
冰片,白菊花,木鳖子,熊胆,黄柏
银花,冰片,炉甘石,车前子,熊胆
香油,核桃仁,蝈蝈,牛胆
贝母,天南星
月石,胖大海,海浮石,诃子
马钱子,穿山甲,胡连,刺猬皮,蜂房
秦皮,犀角屑,朱砂,升麻,前胡
粳米,茯苓
黄苓,炒白芍,栀子,川芎,麦门冬
芙蓉叶,榆面,大黄,皮硝
芙蓉叶,冰片,黄柏,泽兰叶,大黄
芙蓉叶,冰片,黄柏,番泻叶,大黄
绿豆,秦皮,泽兰,连翘,白芷
绿豆,秦皮,泽兰,连翘,白芷
赤芍,穿山甲,夏枯草,红花,莪术
蒲公英,赤芍,大青叶,甘草,丹皮
肿节风浸膏,薄荷,薄荷
银花,薏仁,红藤,桃仁,三颗针
两背针,50,食用乙醇,高粱酒,红花
金银花,赤芍,车前子,赤小豆,连翘
车前子,太子参,猪苓,党参,泽泻
连翘,甘草3寸半,陈皮,青皮
抱鸡蛋壳
葶苈,防己,甘草
白酒,瓜蒌,甘草
冬瓜皮,赤小豆,西瓜皮,白茅根,玉米须
梅片,硼砂,炉甘石,熊胆,琥珀
冰片,血竭,没药,乳香,白信
冰片,硼砂,西瓜霜,黄柏,贝母
金银花,连翘,牛蒡,花粉,栀子
没药,乳香,栝楼,当归,甘草
蒲公英,没药,三仙,柴胡,川朴
毛冬青,山芝麻,岗梅,金钱风,牛膝
赤芍,莪术,桃仁,三棱,丹参
冰片,滑石,雄黄,朱砂面,甘草
铜绿,胆矾,甘石,新针,归尾
金银花,赤芍,龙胆草,木通,柴胡
冰片,乳没,草乌,天南星,硇砂
五倍子,小麦,白矾,葱白,朴消
银花,赤芍,黄柏,栀子,牛蒡
赤小豆,黄柏,青盐,黄连,麒麟竭
金银花,赤芍,连翘,柴胡,川芎
银花,赤芍,连翘,黄柏,薄荷
食盐,鲜黄花菜
冬瓜皮,生姜皮,茯苓皮,白糖,黄芪
清油,零陵香,天麻,黄蜡,地黄
大戟,甘遂,麦蘖,陈曲,陈皮
五倍子,黄丹,枯矾,白芷,陈米醋
冰片,儿茶,甘石,龙骨,轻粉
马钱子,穿山甲,黑附子
连翘,茵陈,贝母,木通,山栀仁
粳米,陈葫芦粉
冬瓜皮,西瓜皮,葫芦壳,枣仁
橘核,乳香,昆布,穿山甲,荔枝核
金银花,木瓜,薏仁,木通,红花
白酒,红蓝花
酒精,75,红花
冰片,松香,白芷,贝母,蜈蚣
赤芍,红花,白及,防风,当归
冰片,硼砂,枯矾,鸡内金,鹅不食草
冰片,棉胭脂,枯矾面
冰片,元明粉,西瓜霜,月石,朱砂
血竭,海藻,京墨,五灵脂,琥珀
白芷,郁金,天南星,大黄
木鳖子,油,黄丹,垂柳枝,白芷
梅片,血琥珀,熊胆,儿茶,珍珠
没药,乳香,黑丑,琥珀,白丑
獾油,冰片面
獾油,地榆,石膏,大黄
没药,乳香,雄黄,蜈蚣,菖蒲
冰片,香油,血竭,没药,乳香
冰片,乳香,三七,土鳖虫,自然铜
乳香,三七,土鳖虫,自然铜,当归
冰片,血竭,乳香,没药,儿茶
活蚯蚓数条,用纱布蘸透此液,外盖纱布,贴敷患处,胶布固定
茯苓皮,车前子,泽兰,金钱草,炮甲
金银花,没药,乳香,穿山甲,连翘
姜黄,白芷,花粉,芍药
赤芍,白芷,郁金,花粉
槐角,地榆,当归,防风,黄芩
没药,乳香,苏木,栝楼,忍冬
五倍子
冰片,西瓜霜,熊胆,玄明粉,人指甲
没药,乳香,赤芍,贝母,木通
葶苈,甘遂,红芽大戟,芫花,豆豉
大戟,葶苈,甘遂,芫花,灵脂
化毒散,祛湿药膏
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,蛇床子,桃仁,雄黄
鸡蛋
鲫鱼,冬瓜
野菊花,贝母,白茅根,薄荷
蒲公英,红藤,大黄,厚朴
淮地,薄荷,川乌
冰片,硼砂,硇砂,火消,雄黄
猪蹄,鲜金针菜根
干蟾皮不拘多少
川军,明雄,山甲,全蝎,朱砂
山菊花,黄柏,栀子,黄连,黄芩
叶子雌黄,郁金,麝香,黄连,槟榔
三七,金刚莲,马钱子霜,接骨木,红花
三七,金刚莲,马钱子霜,见血清,捆仙绳
冰片,枪消,蒲黄,牙皂,僵蚕
京红粉,元明粉,轻粉
芙蓉叶,青黛,人中黄,大青叶
冰片,松香,连翘,白芷,薄荷
蟾酥,朱砂,雄黄,丁香
蒲公英,银花,连翘,赤芍,薄荷
银花,赤芍,连翘,白芷,花粉
蒲公英,金银花,川军,赤小豆,赤芍
白菊花
花椒,生葱,陈酒糟,广胶,葱白
香油,章丹
金银花,连翘,山栀,黄连,甘草
车前子,茱萸,肉桂,地黄,泽泻
川军,橘核,乌药,胡芦巴,金铃子
血竭,没药,乳香,发灰,土鳖虫
花椒,黄丹,槐枝,大蒜头,葱白
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,木鳖子,骨碎补,羊胫骨灰,虎骨随多少
小黄米面,皂角末,发灰
冰片,没药,乳香,黄柏,白占
没药,木鳖子,清油,乳香,葱
乌药,穿山甲,红花,川芎,陈皮
蒲公英,赤芍,瓜蒌,元参,薄荷
车前子,官桂,茱萸,泽泻,地黄
珠粉,西瓜霜,西黄,琥珀
白果,地肤子,桑白皮,白茅根,黄芪
海藻,昆布,木通,白僵蚕,黄连
没药,乳香,紫苏,黄柏,薄荷
没药,乳香,黄柏,薄荷,苏叶
冰片,贝母,月石,朱砂,龙骨
没药,乳香,麻黄,马钱子粉
没药,乳香,土鳖虫,自然铜,麻黄
醋2500毫升,半夏
大独活,广地龙,西秦艽,骨碎补,威灵仙
3克,或,9克,9克,萝卜子
鸡蛋,细盐,龙衣
冰片,蝙蝠
冰片,西瓜霜,马勃,青黛,麝香
粳米,鹿头肉,香子,蔓荆子,高良姜
冬瓜,鲤鱼头
黄丹,蛇床人,乱发,蛇蜕皮,黄蜡
冰片,血竭,硼砂,没药,乳香
银花,炙山甲,红藤,桃仁,皂角刺
蒲公英,金银花,连翘,贝母,红藤
银花,赤芍,连翘,黄柏,白芷
金银花,赤芍,连翘,黄柏,白芷
连翘,荠苨,桑白皮,桔梗,人参
鲜萝卜缨
绿豆,粳米
绿豆,白糖
葶苈,贝母,桑白皮,紫菀,人参
蟾酥,乳香,硇砂,朱砂,雄黄
蟾酥,血竭,没药,朱砂,龙脑
蟾酥,血竭,胆矾,京墨,朱砂
蟾酥,血竭,胆矾,京墨,朱砂
海石,昆布,天葵子,贝母,牡蛎
赤芍,刘寄奴,炒桃仁,生地,大黄
木鳖子,没药,乳香,黄丹,蓖麻子
赤芍,葱,紫苏,黄柏,玄胡
冬瓜皮,车前子,官桂,建泽泻,带皮苓
蟾酥,西丹参,珠粉,飞腰黄,飞朱砂
冰片,蟾酥,雄黄,珍珠,丹参
芙蓉叶,草乌,天南星,野芋头,川乌
大麻子仁,大黄
大米,白茅根
葶苈,海藻,商陆根,栝楼,蜀漆
冰片,蟾酥,葶苈,血竭,硼砂
生姜皮,车前子,川萆解,莪术,木通
蒲公英,粳米
紫草茸,白芷,半夏,川芎,藿香
银花,赤芍,连翘,薄荷,牛蒡
金银花,北豆根,青果,桔梗,麦冬
紫苏,葫芦巴,地肤子,猪苓,桃仁
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,黄连,甘草
冰片,血竭,赤小豆,没药,乳香
闹羊花
芙蓉叶,花粉,生川柏,滑石,大黄
生清油,茶叶末
赤芍,连翘,黄柏,花粉,栀子
赤芍,连翘,黄柏,花粉,栀子
金银花,薏仁,地榆,麦冬,当归
蒲公英,金银花,连翘,瓜蒌,野菊花
蒲公英,金银花,车前子,赤芍,连翘
金银花,连翘,川芎,山栀,当归
连翘,牛蒡,薄荷,栀子,桔梗
金银花,连翘,鼠粘子,薄荷,玄明粉
芙蓉叶,赤小豆,白芷,黄柏,雄黄
冰片,血竭,没药,乳香,儿茶
金银花,生地,麦冬,甘菊花,熟地
姜黄,白芷,黄柏,花粉,天南星
白酒,如意草
赤芍,海藻,昆布,柴胡,鸡血藤
连翘,元参,桅子,花粉,鼠粘子
冰片,血竭,三七,薄荷,红花
冰片,血竭,没药,乳香,儿茶
白酒,苏木
没药,栝楼,人参,当归,甘草
续随子,山慈菇,红芽大戟,文蛤,麝香
金银花,没药,乳香,白芷,贝母
酸石榴,清酒,甜石榴,苍耳子,党参
车前子,生枳,车前草,薏仁,蝉衣
冰片,黄柏,虎杖
黄柏,白芷,郁金,绿豆粉,轻粉
紫苏,人参,官桂,砂仁,五灵脂
樟冰,如意金黄散
金银花,赤芍,射干,牛蒡,炙僵蚕
大腹子,木瓜,草果仁,厚朴,干姜
芙蓉叶,黄柏,泽兰叶,大黄,黄连
大黄末,黄柏末,雄黄,丹参
草乌,狼毒,天南星,半夏
粳米,商陆
大梅片,西丹参,硼砂,血琥珀,贝母
马钱子,枳壳
连翘,黄柏,白芷,薄荷,栀子
白菊花,北防风,黄柏,骨碎补,白蒺藜
芙蓉叶,五倍子,赤小豆,草乌,川乌
芙蓉叶,薄荷,金桐叶,耳草叶,泽兰叶
没药,琥珀,麝香,桂心,细辛
葶苈,猪苓,木通,辣桂,滑石
葶苈,贝母,桑白皮,紫菀,人参
没药,乳香,透骨草,白芷,木瓜
连翘,莱菔,大力子,僵蛹,夏枯草
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,茯神,泽泻
赤小豆,白樟柳根,陈皮,木香
没药,乳香,黄柏,骨碎补,生地
猪蹄蜕,蚕蜕,穿山甲,蝉蜕,粉草
白芷,穿山甲,生地,当归,黄耆
赤芍,连翘,牛蒡,水牛角浓缩粉,青黛
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
蒲公英,银花,野菊花,地丁,紫背天葵子
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,玄参,甘草,大黄
芙蓉叶,紫荆皮,白芷,天南星,骨碎补
生姜皮,葶苈,车前子,猪苓,木通
芙蓉叶,五倍子,草乌,天南星,陈小粉
乳香,上冰片,白及,丹皮
姜黄,散血草,透骨草,黄柏,香附
通脱木,瞿麦,黑牵牛,木通,滑石
蒲公英,没药,乳香,木瓜,栀子
冰片,硼砂,寒水石,熊胆,孩儿茶
芙蓉叶,蒲公英,金银花,牛蒡,花粉
蓖麻仁,连翘,夏枯草
银花,白芷,贝母,花粉,柴胡
连翘,元参,花粉,栝楼,桔梗
蚯蚓,雄黄,麻黄,川芎,天南星
金银花,没药,乳香,瓜蒌,穿山甲
大戟,葶苈,甘遂,桑白皮,芫花
硼砂,乳香,15克,5克,雄黄
癞虾蟆草,枳壳
没药,木鳖子,乳香,草乌,五灵脂
冰片,没药,乳香,赤芍,贝母
粳米,青头雄鸭,葱白
没药,乳香,樟冰,甲片,川乌
冰片,铜绿,胆矾,姜黄,樟冰
没药,乳香,赤芍,草乌,牛蒡
金银花,没药,乳香,赤芍,贝母
葶苈,海藻,郁李核仁,松萝,黄连
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
石苇,制萸肉,黄芪,山楂,党参
乳没,乌药,黄芪,莪术,川芎
瓜蒌,零香,白芨,麻黄蓍,白芷
血竭,白芷,麻油,白占,轻粉
杭菊,辛荑花,北芪,白芷,苍耳子
蟾酥,朱砂,雄黄,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,泽兰,蝉蜕,金线重楼
没药,乳香,硇砂,雄黄,麝香
五倍子,千金子霜,红大戟,雄黄,山慈姑
没药,五倍子,乳香,肥皂肉
金银花,地丁,当归,大黄,甘草
蒲公英,赤芍,黄柏,白芷,桃仁
血竭,儿茶,红花,白芍,当归
土鳖虫,豆豉姜,碎骨木,香加皮,鹰不扑
血竭,没药,乳香,儿茶,琥珀
