丹参,川芎,甘草,薄荷,当归
没药,乳香,雄黄,轻粉,黄蜡
板蓝根,菠萝香精油,糖粉,淀粉
黄蘖,寒水石,石膏,甘草
没药,乳香,铜绿,松香,麻油
没药,血竭,香油,乳香,儿茶
金银花,没药,血竭,乳香,木鳖子
赤小豆,黄丹,白芷,蒲黄,半夏
芙蓉叶,赤芍,五倍子,赤小豆,黄柏
冰片,乳香,没药,麝香,斑蝥
黄柏,寒水石,石膏,甘草
木鳖子,黄柏,花粉,无名异,牡蛎
一点红,九里明,射干,甘草
乳香,黄丹,密陀僧,麝香,轻粉
大戟,甘遂,土狗,芫花,大黄
冰片,黄柏,麝香,玄明粉,煅硼砂
冰片,黄柏,麝香,玄明粉,明矾
冰片,硼砂,胆矾,麝香,雄黄
冰片,硼砂,玄明粉,朱砂
冰片,鸡蛋,黄油
冰片,熊胆,西丹参,珠粉,麝香
梅片,硼砂,麝香,炉甘石,琥珀
冰片,乳香,全蝎,文蛤,雄黄
冬瓜皮,车前子,白茅根,鸡内金,旱莲草
冰片,乳香,没药,血竭,樟脑
冰片,乳香,没药,血竭,香油
没药,血竭,乳香,三七,赤芍
马钱子,没药,血竭,乳香,土鳖虫
没药,血竭,乳香,三七,赤芍
没药,乳香,花粉,山甲,知母
银花,没药,乳香,连翘,天南星
芥菜花1味
葡萄糖粉,麻黄素,辛夷花,鹅不食草
核桃仁
核桃仁
没药,乳香,蓖麻子仁,白芷,木鳖子肉
乳香,白胶香,白芷,定粉,白蔹
一十,十,地黄,木通,滑石
紫苏,木瓜,麦门冬,茯苓,白术
芙蓉叶,白芷,天南星,紫金皮,独活
山柰,官桂,麝香,红花,升麻
瓜子,桃仁,牡丹,皮硝,大黄
瓜子,桃仁,牡丹,皮硝,大黄
葶苈,莽草,木通,大黄
蒲公英,银花,乳香,赤芍,木鳖子
白酒,麻子仁,大豆,乌蛇
白酒,地骨皮,牛蒡,杉木节,大麻仁
蒲公英,银花,连翘,野菊花,地丁
冰片,白菊花,木鳖子,熊胆,木贼草
冰片,银花,硼砂,地黄,连翘
香油,核桃仁,蝈蝈,牛胆
海浮石,月石,胖大海,诃子
马钱子,穿山甲,蜂房,胡连,白蒺藜
秦皮,朱砂,犀角屑,细辛,芎
粳米,茯苓
黄苓,炒白芍,地黄,麦门冬,川芎
芙蓉叶,榆面,皮硝,大黄
芙蓉叶,冰片,黄柏,泽兰叶,黄连
芙蓉叶,冰片,黄柏,番泻叶,黄连
连翘,秦皮,绿豆,白芷,泽兰
连翘,秦皮,绿豆,白芷,泽兰
赤芍,穿山甲,夏枯草,红花,桃仁
蒲公英,赤芍,大青叶,黄芩,丹皮
肿节风浸膏,薄荷,薄荷
银花,红藤,桃仁,薏仁,三颗针
食用乙醇,高粱酒,两背针,50,苏木
金银花,赤芍,连翘,赤小豆,车前子
车前子,太子参,猪苓,茯苓,党参
连翘,甘草3寸半,青皮,陈皮
抱鸡蛋壳
葶苈,防己,甘草
白酒,瓜蒌,甘草
冬瓜皮,赤小豆,白茅根,西瓜皮,玉米须
梅片,硼砂,熊胆,麝香,炉甘石
冰片,乳香,没药,血竭,白信
冰片,硼砂,西瓜霜,薄荷,黄柏
金银花,连翘,牛蒡,花粉,柴胡
没药,乳香,栝楼,当归,甘草
牛蒡,栝楼,甘草,生姜
蒲公英,没药,槟榔,当归,阿胶
岗梅,山芝麻,金钱风,毛冬青,牛膝
赤芍,桃仁,莪术,三棱,丹参
冰片,雄黄,滑石,朱砂面,甘草
铜绿,胆矾,甘石,新针,归尾
金银花,赤芍,龙胆草,木通,柴胡
冰片,草乌,硇砂,天南星,乳没
五倍子,葱白,朴消,小麦,白矾
银花,赤芍,牛蒡,黄柏,升麻
赤小豆,黄柏,青盐,马牙消,杏仁
金银花,赤芍,连翘,归尾,柴胡
银花,赤芍,连翘,花粉,黄柏
食盐,鲜黄花菜
冬瓜皮,生姜皮,白糖,茯苓皮,黄芪
清油,天麻,地黄,零陵香,黄蜡
大戟,甘遂,麦蘖,陈曲,黄耆
五倍子,枯矾,黄丹,白芷,朱砂
冰片,儿茶,甘石,轻粉,元连
马钱子,穿山甲,黑附子
连翘,茵陈,木通,贝母,藿香
粳米,陈葫芦粉
冬瓜皮,西瓜皮,葫芦壳,枣仁
乳香,橘核,昆布,穿山甲,荔枝核
金银花,木通,归尾,茯苓,皂角
白酒,红蓝花
75,酒精,红花
冰片,松香,白芷,贝母,轻粉
赤芍,白及,红花,当归,防风
冰片,枯矾,硼砂,鸡内金,北细辛
冰片,棉胭脂,枯矾面
冰片,西瓜霜,月石,元明粉,朱砂
血竭,海藻,天南星,琥珀,麝香
白芷,天南星,郁金,大黄
油,木鳖子,黄丹,桂心,朱砂
梅片,儿茶,熊胆,血琥珀,珍珠
没药,乳香,黑丑,琥珀,沉香
獾油,冰片面
獾油,地榆,石膏,大黄
没药,乳香,雄黄,菖蒲,黄米
冰片,乳香,没药,血竭,香油
冰片,乳香,三七,土鳖虫,自然铜
三七,乳香,土鳖虫,自然铜,当归
冰片,乳香,没药,血竭,儿茶
贴敷患处,6次,外盖纱布,胶布固定,活蚯蚓数条
茯苓皮,车前子,黄芪,金钱草,炮甲
金银花,没药,乳香,连翘,白芷
姜黄,花粉,白芷,芍药
赤芍,花粉,白芷,郁金
槐角,地榆,枳壳,当归,防风
没药,乳香,苏木,忍冬,栝楼
五倍子
冰片,西瓜霜,熊胆,朱砂,雄黄
没药,乳香,赤芍,花粉,木通
葶苈,灵脂,甘遂,红芽大戟,芫花
葶苈,大戟,灵脂,甘遂,芫花
化毒散,祛湿药膏
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,雄黄,川椒,蛇床子
鸡蛋
鲫鱼,冬瓜
薄荷,白茅根,野菊花,贝母
蒲公英,红藤,厚朴,大黄
淮地,薄荷,川乌
冰片,火消,硼砂,硇砂,雄黄
鲜金针菜根,猪蹄
干蟾皮不拘多少
川军,全蝎,明雄,朱砂,山甲
黄柏,山菊花,黄连,栀子,黄芩
叶子雌黄,麝香,槟榔,郁金,黄连
三七,金刚莲,马钱子霜,接骨木,红花
三七,金刚莲,马钱子霜,见血清,18厘米
冰片,牙皂,枪消,蒲黄,僵蚕
京红粉,元明粉,轻粉
芙蓉叶,人中黄,青黛,大青叶
冰片,松香,连翘,薄荷,白芷
蟾酥,朱砂,雄黄,丁香
蒲公英,银花,赤芍,连翘,花粉
银花,赤芍,连翘,花粉,白芷
蒲公英,金银花,赤芍,川军,连翘
白菊花
花椒,广胶,生葱,陈酒糟,葱白
香油,章丹
金银花,连翘,山栀,黄连,芍药
车前子,地黄,茱萸,黑附子,肉桂
川军,橘核,乌药,干姜,玄胡
没药,血竭,乳香,发灰,土鳖虫
花椒,黄丹,大蒜头,槐枝,葱白
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,木鳖子,骨碎补,羊胫骨灰,虎骨随多少
皂角末,发灰,小黄米面
冰片,乳香,没药,熊胆,黄柏
鸡内金,薄荷,黄连,升麻,栀子
没药,乳香,葱,木鳖子,白胶香
穿山甲,乌药,红花,茯苓,川芎
蒲公英,赤芍,瓜蒌,元参,马勃
车前子,官桂,地黄,茱萸,黑附子
西瓜霜,珠粉,西黄,琥珀
白果,地肤子,白茅根,黄芪,桑白皮
昆布,海藻,木通,茯苓,白僵蚕
没药,乳香,紫苏,薄荷,黄柏
黄柏,薄荷,苏叶,杏仁,青黛
没药,乳香,薄荷,黄柏,苏叶
冰片,月石,朱砂,贝母,滑石
没药,乳香,马钱子粉,麻黄
没药,乳香,土鳖虫,麻黄,马前子
醋2500毫升,半夏
大独活,广地龙,西秦艽,杜仲,骨碎补
3克,或,9克,9克,厚朴
鸡蛋,龙衣,细盐
冰片,蝙蝠
冰片,西瓜霜,马勃,麝香,蒲黄
粳米,香子,鹿头肉,高良姜,蔓荆子
冬瓜,鲤鱼头
蛇床人,黄丹,乱发,蛇蜕皮,黄蜡
冰片,乳香,没药,血竭,硼砂
银花,红藤,桃仁,炙山甲,川楝
蒲公英,金银花,连翘,红藤,贝母
银花,赤芍,连翘,花粉,柴胡
金银花,赤芍,连翘,薄荷,花粉
鲜萝卜缨
粳米,绿豆
白糖,绿豆
葶苈,人参,桑白皮,紫菀,贝母
乳香,蟾酥,朱砂,硇砂,麝香
没药,蟾酥,血竭,朱砂,轻粉
血竭,蟾酥,胆矾,麝香,朱砂
血竭,蟾酥,胆矾,麝香,朱砂
昆布,天葵子,海石,贝母,牡蛎
赤芍,炒桃仁,刘寄奴,生地,枳壳
没药,乳香,木鳖子,黄丹,草乌
葱,赤芍,紫苏,玄胡,黄柏
冬瓜皮,车前子,通草,姜川朴,官桂
蟾酥,珠粉,西丹参,麝香,飞朱砂
冰片,蟾酥,雄黄,珍珠,丹参
芙蓉叶,草乌,天南星,野芋头,川乌
大麻子仁,大黄
大米,白茅根
葶苈,海藻,商陆根,蜀漆,栝楼
冰片,乳香,蟾酥,没药,血竭
生姜皮,车前子,山楂,木通,川萆解
蒲公英,粳米
紫草茸,白芷,地黄,当归,半夏
银花,赤芍,连翘,牛蒡,薄荷
金银花,青果,北豆根,麦冬,玄参
紫苏,地肤子,葫芦巴,猪苓,茯苓
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,黄连,甘草
连翘,白芷,射干,柴胡,荆芥
冰片,乳香,没药,血竭,儿茶
闹羊花
芙蓉叶,花粉,滑石,东丹,生川柏
生清油,茶叶末
赤芍,连翘,花粉,黄柏,地黄
赤芍,连翘,花粉,黄柏,地黄
金银花,地榆,薏仁,麦冬,玄参
蒲公英,金银花,连翘,野菊花,瓜蒌
蒲公英,金银花,赤芍,连翘,车前子
金银花,连翘,地黄,山栀,当归
连翘,牛蒡,薄荷,荆芥,石膏
金银花,连翘,薄荷,玄明粉,荆芥
芙蓉叶,赤小豆,黄柏,白芷,雄黄
冰片,乳香,没药,血竭,儿茶
金银花,生地,麦冬,甘菊花,熟地
姜黄,花粉,黄柏,白芷,天南星
白酒,如意草
赤芍,昆布,海藻,鸡血藤,柴胡
连翘,花粉,元参,白术,桅子
冰片,血竭,三七,薄荷,地黄
冰片,乳香,没药,血竭,儿茶
白酒,苏木
没药,人参,栝楼,当归,甘草
续随子,红芽大戟,麝香,山慈菇,文蛤
金银花,没药,乳香,白芷,花粉
酸石榴,甜石榴,清酒,苍耳子,党参
车前子,车前草,生枳,白术,薏仁
冰片,黄柏,虎杖
黄柏,白芷,白及,郁金,绿豆粉
如意金黄散,樟冰
金银花,赤芍,牛蒡,菊花,知母
大腹子,干姜,黑附子,木瓜,草果仁
芙蓉叶,黄柏,泽兰叶,黄连,大黄
黄柏末,大黄末,雄黄,丹参
草乌,天南星,狼毒,半夏
粳米,商陆
大梅片,西丹参,硼砂,血琥珀,马勃
马钱子,枳壳
连翘,黄柏,薄荷,白芷,荆芥
白菊花,黄柏,地黄,北防风,白蒺藜
芙蓉叶,五倍子,赤小豆,草乌,白及
芙蓉叶,薄荷,耳草叶,泽兰叶,金桐叶
没药,桂心,琥珀,麝香,当归
葶苈,猪苓,辣桂,滑石,木通
葶苈,人参,桑白皮,紫菀,贝母
没药,乳香,透骨草,白芷,川椒
连翘,薄荷,莱菔,大力子,僵蛹
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,茯苓,茯神
赤小豆,白樟柳根,木香,陈皮
没药,乳香,黄柏,骨碎补,生地
穿山甲,猪蹄蜕,蚕蜕,粉草,荆芥
白芷,天南星,红花,当归,防风
穿山甲,白芷,生地,当归,黄耆
赤芍,连翘,牛蒡,水牛角浓缩粉,地黄
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
蒲公英,银花,野菊花,紫背天葵子,地丁
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,玄参,大黄,甘草
芙蓉叶,紫荆皮,白芷,天南星,橙橘叶
葶苈,生姜皮,车前子,猪苓,地骨皮
芙蓉叶,五倍子,草乌,天南星,陈小粉
乳香,上冰片,白及,丹皮
透骨草,黄柏,姜黄,散血草,香附
通脱木,黑牵牛,瞿麦,木通,茯苓
蒲公英,没药,乳香,木瓜,地鳖虫
冰片,硼砂,熊胆,寒水石,孩儿茶
芙蓉叶,蒲公英,金银花,花粉,牛蒡
连翘,蓖麻仁,夏枯草
银花,柴胡,花粉,贝母,白芷
连翘,花粉,元参,茯苓,山栀
蚯蚓,细辛,麻黄,天南星,雄黄
金银花,没药,乳香,瓜蒌,连翘
葶苈,大戟,雄黄,甘遂,茯苓
乳香,硼砂,朱砂,麝香,雄黄
癞虾蟆草,枳壳
没药,乳香,木鳖子,草乌,地龙
冰片,乳香,没药,赤芍,花粉
粳米,青头雄鸭,葱白
没药,乳香,樟冰,甲片,牙皂
冰片,铜绿,胆矾,姜黄,樟冰
没药,乳香,赤芍,牛蒡,草乌
金银花,没药,乳香,赤芍,白芷
葶苈,桂心,海藻,郁李核仁,松萝
败酱,黑附子,薏仁
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
石苇,制萸肉,山楂,茯苓,黄芪
乳没,乌药,蒲黄,黄芪,吴萸
瓜蒌,白芷,零香,麝香,麻黄蓍
血竭,麻油,白芷,轻粉,白占
辛荑花,苍耳子,杭菊,白芷,北芪
蟾酥,朱砂,雄黄,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,细辛,泽兰,羌活
没药,乳香,硇砂,雄黄,麝香
五倍子,山慈姑,麝香,雄黄,朱砂
没药,乳香,五倍子,肥皂肉
金银花,地丁,黄耆,芍药,甘草
蒲公英,赤芍,白芷,黄柏,茯苓
血竭,儿茶,茯苓,红花,木香
薄荷,土鳖虫,九龙川,猪牙皂,香樟
乳香,血竭,没药,儿茶,轻粉
