珍珠母,磁石,半夏,酒曲,赭石,酒曲
珍珠母,枣仁,合欢皮,钩藤,丹参,夏枯草
梅花片,大朱砂,真豆粉,丹参,甘草
珍珠母,板蓝根,猪脱氧胆酸,胆酸,水牛角,金银花
枣仁,沉香,枫香脂,牛心粉,木香,肉豆蔻
菖蒲,地黄,乌梅肉,人参,当归,芍药
茯神,朱砂,枣仁,远志,牡蛎,人参
枣仁,知母,茯苓,甘草,芎藭
枣仁,粳米
枣仁,夜交藤,丹参,炒柏子仁,龙骨,生地
光明砂,磁石,神曲
琥珀,辰砂,滴乳,麝香,当归,没药
铁粉,使君子仁,天南星,蛇黄,茯苓
茯神,远志,辰砂,菖蒲,麦冬,钩藤
远志,肉苁蓉,白酒,地黄,巴戟天,菟丝子
枣仁,山药,人参急者用30克,白术,干姜,当归
朱砂,琥珀,天南星
朱砂,远志,琥珀,胆南星,白芍,五味子
朱砂,檀香,琥珀,诃子,天麻,麝香
朱砂,檀香,琥珀,诃子,郁金,丹参
茯神,枣仁,远志,辰砂,紫石英,龙齿
檀香,枣仁,石灰华,诃子,诃子,高山辣根菜
朱砂,金箔,琥珀,天南星,白附子,半夏
茯神,金箔,远志,铁粉,丹参,丹参
远志,巴戟,地黄,菟丝子,牛膝,杜仲
檀香,三,白芷,甘草,桔梗,川芎
枣仁,远志,麦门冬,丹参,地黄,柏子仁
茯神,枣仁,远志,菖蒲,麦门冬,丹参
朱砂,枣仁,远志,菖蒲,麦冬,党参
枣仁,党参,山药,五味子,破故纸60宽,山萸
枣仁,远志,麦门冬,半夏,人参,桂心
葱,鸡,酒,乌灵参,盐,姜
朱砂,郁金,丹参,栀子,黄芩,黄连
枣仁,丹参,丹皮,柏子仁,莲子心,玄参
茯神,麦门冬,龙齿,人参,犀角屑,甘草
琥珀,辰砂,枸杞,党参,白芍,青龙齿
茯神,珍珠母,合欢皮,钩藤,丹参,夏枯草
红糖,小米,龙眼肉
小米,鸡蛋
枣仁,小米,蜂蜜
朱砂,脑,半夏,胆南星,真珠,人参
天竺黄,菖蒲,珠粉,胡连,煅青礞石,西丹参
远志,辰砂,肉苁蓉,牡蛎,干姜,人参
茯神,枣仁,远志,紫石英,柏子仁,白芍
朱砂,钩藤,白术,人参,茯苓,甘草
枣仁,远志,麦门冬,地黄,胆南星,黄耆
葱,白糖,香油,玉竹,花椒,味精
枣仁,合欢皮,灵芝,何首乌,浮小麦,女贞子
枣仁,白糖,粳米,夜交藤
远志,茯苓X克,地黄,五味子,黄耆,白术
枣仁,麦冬,薏仁,建莲肉,山药,大茴
茯神,枣仁,丹参,柏子仁,丹皮,枳壳
茯神,枣仁,远志,紫石英,龙齿,阿胶
寒水石,丁子香,磁石,犀角,黄金,沉香
朱砂,紫石英,肉苁蓉,麝香,柏子仁,龙骨
茯神,枣仁,远志,地黄,羚羊角,人参
