丹参,川芎,甘草,薄荷,当归,朱砂
没药,乳香,白蜡,铅粉,密陀僧,轻粉
冰片,乳香,白蜡,樟脑,官粉,轻粉
冰片,樟脑,轻粉,红粉,石膏
冰片,炉甘石,熊胆,硇砂,麝香,珍珠
阿飞勇,可铁刺,白锡粉,李子树胶
紫苏,木瓜,槟榔,大腹皮,陈皮,羌活
没药,乳香,雄黄,轻粉,孩儿茶,黄蜡
板蓝根,菠萝香精油,糖粉,淀粉
黄蘖,寒水石,石膏,甘草
没药,乳香,铜绿,白蜡,松香,麻油
血竭,没药,香油,乳香,硼砂,儿茶
金银花,没药,血竭,乳香,赤芍,儿茶
赤小豆,黄丹,白芷,蒲黄,半夏
芙蓉叶,五倍子,赤芍,赤小豆,黄柏,贝母
冰片,没药,乳香,麝香,犀黄,斑蝥
寒水石,黄柏,石膏,甘草
木鳖子,花粉,无名异,黄柏,大黄,黄芩
一点红,九里明,射干,甘草
乳香,黄丹,密陀僧,麝香,轻粉,白垩
大戟,甘遂,土狗,芫花,大黄
冰片,玄明粉,黄柏,麝香,鹿角霜,煅硼砂
冰片,玄明粉,黄柏,麝香,炒硼砂,鹿角霜
冰片,硼砂,雄黄,麝香,苦瓜霜,制僵蚕
冰片,硼砂,玄明粉,朱砂
冰片,鸡蛋,黄油
冰片,西丹参,熊胆,青鱼胆,珠粉,麝香
硼砂,琥珀,梅片,炉甘石,麝香,珠子
冰片,乳香,雄黄,文蛤,炙穿山甲,蜈蚣
冬瓜皮,车前子,鸡内金,白茅根,陈葫芦,旱莲草
冰片,血竭,没药,乳香,樟脑,东丹
冰片,血竭,没药,三七,香油,乳香
血竭,没药,乳香,三七,赤芍,土鳖虫
血竭,没药,马钱子,乳香,土鳖虫,自然铜
血竭,没药,三七,乳香,赤芍,土鳖虫
没药,乳香,花粉,山甲,皂刺,蜈蚣
银花,没药,乳香,连翘,白芷,天南星
芥菜花1味
葡萄糖粉,麻黄素,辛夷花,鹅不食草
核桃仁
核桃仁
没药,乳香,蓖麻子仁,白芷,大黄,老葱
乳香,白胶香,白芷,定粉,白蔹
十,一十,木通,大黄,栀子,滑石
紫苏,木瓜,槟榔,大腹皮,泽泻,砂仁
芙蓉叶,白芷,天南星,紫金皮,独活
山柰,官桂,麝香,红花,白芍,防风
瓜子,牡丹,桃仁,大黄,皮硝
瓜子,牡丹,桃仁,大黄,皮硝
葶苈,木通,大黄,莽草
银花,蒲公英,乳香,赤芍,木鳖子,花粉
白酒,麻子仁,乌蛇,大豆
白酒,牛蒡,杉木节,大麻仁,生地,丹参
银花,蒲公英,连翘,野菊花,黑山栀,草河车
冰片,白菊花,木鳖子,熊胆,青葙子,黄柏
冰片,银花,硼砂,熊胆,车前子,连翘
香油,核桃仁,蝈蝈,牛胆
月石,海浮石,胖大海,诃子
马钱子,胡连,穿山甲,蜂房,刺猬皮,槐花
秦皮,犀角屑,朱砂,丹参,前胡,甘草
粳米,茯苓
黄苓,炒白芍,栀子,泽泻,甘草,厚朴
芙蓉叶,大黄,榆面,皮硝
冰片,芙蓉叶,泽兰叶,黄柏,大黄,黄连
冰片,芙蓉叶,黄柏,大黄,番泻叶,黄连
绿豆,秦皮,连翘,白芷,蔓荆子,夏枯草
绿豆,秦皮,连翘,白芷,蔓荆子,夏枯草
赤芍,穿山甲,夏枯草,红花,莪术,桃仁
蒲公英,赤芍,大青叶,甘草,丹皮,黄芩
肿节风浸膏,薄荷,薄荷
银花,红藤,薏仁,桃仁,大黄,三颗针
两背针,高粱酒,50,食用乙醇,苏木,红花
金银花,赤芍,车前子,赤小豆,连翘,云南白药1瓶
车前子,猪苓,太子参,党参,五加皮,泽泻
甘草3寸半,连翘,青皮,陈皮
抱鸡蛋壳
葶苈,防己,甘草
白酒,瓜蒌,甘草
冬瓜皮,赤小豆,玉米须,西瓜皮,白茅根
硼砂,熊胆,梅片,琥珀,炉甘石,麝香
冰片,血竭,没药,乳香,麝香,白信
冰片,硼砂,西瓜霜,薄荷,黄柏,贝母
金银花,花粉,连翘,牛蒡,栀子,皂刺
没药,乳香,栝楼,甘草,当归
牛蒡,栝楼,生姜,甘草
蒲公英,没药,川朴,三仙,槟榔,川连
毛冬青,山芝麻,岗梅,金钱风,牛膝
赤芍,莪术,桃仁,三棱,丹参
冰片,雄黄,朱砂面,滑石,甘草
铜绿,甘石,归尾,新针,胆矾,乌梅
金银花,赤芍,木通,吴萸,龙胆草,皂刺
冰片,乳没,硇砂,草乌,麝香,天南星
五倍子,小麦,白矾,葱白,朴消
银花,赤芍,牛蒡,黄柏,大黄,栀子
赤小豆,黄柏,青盐,大黄,马牙消,麒麟竭
金银花,赤芍,连翘,桔梗,归尾,葛根
银花,赤芍,连翘,薄荷,花粉,黄柏
食盐,鲜黄花菜
冬瓜皮,白糖,茯苓皮,生姜皮,黄芪,枣仁
清油,零陵香,黄蜡,天麻,地黄,防风
大戟,甘遂,陈曲,麦蘖,陈皮,陈皮
五倍子,黄丹,雄黄,白芷,轻粉,明矾
冰片,儿茶,甘石,轻粉,元连,红粉
马钱子,穿山甲,黑附子
连翘,贝母,木通,大黄,茵陈,僵蚕
粳米,陈葫芦粉
冬瓜皮,西瓜皮,葫芦壳,枣仁
橘核,乳香,荔枝核,昆布,穿山甲,莪术
金银花,木瓜,木通,红花,薏仁,大黄
白酒,红蓝花
75,酒精,红花
冰片,松香,贝母,白芷,轻粉,银朱
赤芍,红花,白及,防风,当归
冰片,硼砂,鸡内金,麝香,壁钱,鹅不食草
冰片,枯矾面,棉胭脂
冰片,西瓜霜,元明粉,月石,石膏,朱砂
血竭,琥珀,麝香,天南星,五灵脂,海带
白芷,天南星,郁金,大黄
油,木鳖子,黄丹,白芷,琥珀,木通
熊胆,儿茶,梅片,血琥珀,珍珠,丹参
没药,乳香,黑丑,琥珀,白丑,槟榔
獾油,冰片面
獾油,地榆,大黄,石膏
没药,乳香,雄黄,黄米,蜈蚣,菖蒲
冰片,血竭,没药,香油,乳香,黄丹
冰片,三七,乳香,土鳖虫,自然铜,当归
三七,乳香,土鳖虫,自然铜,当归
冰片,血竭,没药,乳香,儿茶,土鳖虫
用纱布蘸透此液,胶布固定,6次,贴敷患处,活蚯蚓数条,外盖纱布
茯苓皮,车前子,炮甲,金钱草,泽兰,黄芪
金银花,没药,乳香,连翘,花粉,穿山甲
姜黄,花粉,白芷,芍药
赤芍,花粉,白芷,郁金
槐角,地榆,枳壳,防风,当归,黄芩
没药,乳香,苏木,忍冬,栝楼,甘草
五倍子
冰片,西瓜霜,熊胆,玄明粉,人指甲,雄黄
没药,乳香,赤芍,花粉,贝母,木通
葶苈,甘遂,红芽大戟,灵脂,芫花,大黄
葶苈,大戟,甘遂,灵脂,芫花,大黄
化毒散,祛湿药膏
没药,乳香,草乌,浮石,巴豆
五倍子,雄黄,桃仁,乌梅,蛇床子,枯矾
鸡蛋
鲫鱼,冬瓜
薄荷,野菊花,贝母,白茅根
蒲公英,红藤,大黄,厚朴
黄柏,郁金,大黄,龙脑,黄连,甘草
薄荷,淮地,川乌
冰片,硼砂,硇砂,雄黄,火消,僵蚕
猪蹄,鲜金针菜根
干蟾皮不拘多少
川军,山甲,明雄,蜈蚣,僵蚕,全蝎
山菊花,黄柏,栀子,黄连,黄芩
叶子雌黄,麝香,郁金,大黄,槟榔,黄连
三七,金刚莲,马钱子霜,红花,接骨木,五加皮
三七,金刚莲,马钱子霜,捆仙绳,18厘米,见血清
冰片,牙皂,枪消,蒲黄,僵蚕
京红粉,元明粉,轻粉
芙蓉叶,人中黄,大青叶,青黛
冰片,连翘,薄荷,松香,白芷,天南星
蟾酥,雄黄,朱砂,丁香
银花,蒲公英,赤芍,花粉,薄荷,连翘
银花,赤芍,花粉,连翘,白芷,薏仁
金银花,蒲公英,赤芍,川军,赤小豆,连翘
白菊花
花椒,广胶,陈酒糟,生葱,葱白,艾叶
香油,章丹
金银花,连翘,山栀,黄连,甘草,丹皮
车前子,肉桂,茱萸,山药,泽泻,丹皮
橘核,川军,乌药,金铃子,玄胡,胡芦巴
血竭,没药,乳香,土鳖虫,发灰,自然铜
花椒,黄丹,大蒜头,槐枝,葱白,生姜
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,自然铜,木鳖子,川乌,羊胫骨灰,虎骨随多少
发灰,皂角末,小黄米面
冰片,没药,乳香,熊胆,青鱼胆,黄柏
薄荷,鸡内金,栀子,黄连,升麻
没药,乳香,葱,木鳖子,白胶香,清油
乌药,穿山甲,红花,泽泻,独活,陈皮
蒲公英,赤芍,瓜蒌,马勃,薄荷,蜂房
车前子,官桂,茱萸,山药,泽泻,丹皮
西瓜霜,琥珀,珠粉,西黄
地肤子,白果,白茅根,黄芪,桑白皮,肉桂
昆布,海藻,木通,白僵蚕,苦参,黄连
没药,乳香,紫苏,黄柏,薄荷,轻粉
薄荷,黄柏,苏叶,青黛,杏仁,甘草
没药,乳香,黄柏,薄荷,苏叶,轻粉
冰片,月石,贝母,滑石,朱砂,龙骨
没药,乳香,马钱子粉,麻黄
没药,乳香,土鳖虫,自然铜,马前子,麻黄
醋2500毫升,半夏
西秦艽,广地龙,大独活,威灵仙,海桐皮,骨碎补
或,9克,9克,3克,萝卜子,厚朴
鸡蛋,细盐,龙衣
冰片,蝙蝠
冰片,西瓜霜,马勃,麝香,蒲黄,僵蚕
粳米,香子,鹿头肉,蔓荆子,高良姜
冬瓜,鲤鱼头
蛇床人,黄丹,蛇蜕皮,乱发,黄蜡,玄参
冰片,血竭,没药,乳香,硼砂,儿茶
银花,红藤,桃仁,炙山甲,皂角刺,丹皮
金银花,蒲公英,连翘,红藤,夏枯草,贝母
银花,赤芍,薄荷,连翘,花粉,黄柏
金银花,赤芍,连翘,花粉,黄柏,白芷
连翘,荠苨,桑白皮,桔梗,玄参,人参
鲜萝卜缨
粳米,绿豆
绿豆,白糖
葶苈,贝母,桑白皮,紫菀,人参,杏仁
蟾酥,乳香,硇砂,雄黄,麝香,轻粉
血竭,蟾酥,没药,轻粉,金脚信,朱砂
血竭,蟾酥,麝香,胆矾,京墨,朱砂
血竭,蟾酥,麝香,胆矾,京墨,朱砂
昆布,贝母,天葵子,海石,牡蛎
赤芍,刘寄奴,炒桃仁,大黄,生地,枳壳
没药,乳香,自然铜,木鳖子,黄丹,草乌
赤芍,葱,紫苏,玄胡,黄柏,莪术
黄柏,雄黄,栀子,大黄,黄连,甘草
冬瓜皮,车前子,带皮苓,制茅术,官桂,姜川朴
蟾酥,西丹参,珠粉,麝香,飞朱砂,飞腰黄
冰片,蟾酥,雄黄,珍珠,丹参,丁香
芙蓉叶,草乌,天南星,川乌,野芋头
大麻子仁,大黄
大米,白茅根
葶苈,商陆根,蜀漆,泽泻,海藻,栝楼
冰片,血竭,没药,蟾酥,葶苈,乳香
车前子,生姜皮,木通,莪术,山楂,三棱
粳米,蒲公英
紫草茸,白芷,藿香,甘草,何首乌,地黄
银花,赤芍,薄荷,连翘,牛蒡,莲子芯
金银花,北豆根,青果,桔梗,玄参,麦冬
地肤子,紫苏,葫芦巴,猪苓,桃仁,槟榔
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,黄连,甘草,黄芩
连翘,白芷,射干,桔梗,荆芥,防风
冰片,血竭,没药,乳香,儿茶,赤小豆
闹羊花
芙蓉叶,花粉,大黄,东丹,生川柏,滑石
生清油,茶叶末
赤芍,连翘,花粉,黄柏,桔梗,栀子
赤芍,连翘,花粉,黄柏,桔梗,栀子
金银花,地榆,薏仁,玄参,麦冬,甘草
金银花,蒲公英,瓜蒌,野菊花,连翘,生地
金银花,蒲公英,赤芍,车前子,连翘,冬瓜子
金银花,连翘,山栀,黄连,甘草,地黄
薄荷,连翘,牛蒡,栀子,桔梗,玄参
金银花,玄明粉,连翘,薄荷,大黄,桔梗
芙蓉叶,赤小豆,白芷,黄柏,雄黄,大黄
冰片,血竭,没药,乳香,儿茶,麝香
金银花,麦冬,生地,甘菊花,熟地
姜黄,花粉,白芷,黄柏,天南星,大黄
白酒,如意草
赤芍,昆布,王不留行,鸡血藤,海藻,丹参
连翘,花粉,元参,桅子,桔梗,鼠粘子
冰片,血竭,三七,薄荷,麝香,红花
冰片,血竭,没药,乳香,儿茶,自然铜
贝母,乌药,人参,枣仁,陈皮,甘草
白酒,苏木
没药,栝楼,人参,当归,甘草
续随子,文蛤,红芽大戟,山慈菇,麝香
金银花,没药,乳香,花粉,白芷,贝母
苍耳子,清酒,酸石榴,甜石榴,党参,丹参
车前子,生枳,车前草,薏仁,菊花,蝉衣
冰片,黄柏,虎杖
白芷,黄柏,轻粉,郁金,大黄,绿豆粉
紫苏,官桂,五灵脂,莪术,人参,砂仁
樟冰,如意金黄散
金银花,赤芍,牛蒡,射干,桔梗,菊花
大腹子,木瓜,草果仁,甘草,厚朴,黑附子
芙蓉叶,泽兰叶,黄柏,大黄,黄连,黄芩
黄柏末,大黄末,雄黄,丹参
草乌,天南星,狼毒,半夏
粳米,商陆
大梅片,硼砂,贝母,西丹参,马勃,青鱼胆
马钱子,枳壳
薄荷,连翘,白芷,黄柏,大黄,桔梗
白菊花,黄柏,北防风,石膏,骨碎补,白蒺藜
芙蓉叶,五倍子,赤小豆,草乌,川乌,白及
芙蓉叶,薄荷,泽兰叶,大黄,金桐叶,耳草叶
没药,琥珀,麝香,细辛,当归,芍药
葶苈,辣桂,猪苓,木通,滑石,泽泻
葶苈,贝母,桑白皮,紫菀,人参,杏仁
没药,乳香,透骨草,白芷,木瓜,红花
连翘,薄荷,夏枯草,大力子,僵蛹,莱菔
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,泽泻,茯神,茯苓
赤小豆,白樟柳根,陈皮,木香
没药,乳香,黄柏,大黄,肉桂,白芥子
猪蹄蜕,蚕蜕,穿山甲,川乌,蝉蜕,蛇蜕
白芷,红花,天南星,防风,当归
赤芍,连翘,牛蒡,桔梗,玄参,水牛角浓缩粉
茯苓皮,生姜皮,桑白皮,大腹皮,陈皮
银花,蒲公英,野菊花,紫背天葵子,地丁
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,大黄,玄参,甘草
芙蓉叶,白芷,紫荆皮,天南星,肉桂,橙橘叶
葶苈,生姜皮,车前子,猪苓,木通,海金沙
芙蓉叶,五倍子,草乌,天南星,陈小粉,半夏
乳香,上冰片,白及,丹皮
姜黄,透骨草,散血草,黄柏,大黄,陈皮
通脱木,木通,黑牵牛,瞿麦,滑石,陈皮
没药,蒲公英,乳香,木瓜,地鳖虫,大黄
冰片,硼砂,熊胆,寒水石,孩儿茶,黄连
芙蓉叶,金银花,蒲公英,花粉,牛蒡,甘草
连翘,蓖麻仁,夏枯草
银花,花粉,白芷,贝母,僵蚕,青皮
连翘,花粉,元参,大黄,桔梗,僵蚕
蚯蚓,雄黄,天南星,川乌,麻黄,荆芥
金银花,没药,乳香,瓜蒌,连翘,穿山甲
葶苈,大戟,甘遂,雄黄,桑白皮,芫花
硼砂,乳香,雄黄,麝香,1,5克
癞虾蟆草,枳壳
没药,乳香,木鳖子,草乌,麝香,五灵脂
冰片,没药,乳香,赤芍,花粉,贝母
粳米,青头雄鸭,葱白
没药,乳香,樟冰,甲片,麝香,川乌
冰片,铜绿,姜黄,樟冰,甲片,麝香
没药,乳香,赤芍,牛蒡,草乌,白芷
金银花,没药,乳香,赤芍,花粉,白芷
葶苈,松萝,郁李核仁,大黄,石韦,通草
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
石苇,制萸肉,黄芪,山楂,党参,山药
乌药,乳没,黄芪,吴萸,莪术,肉桂
瓜蒌,白芷,麻黄蓍,麻油,麝香,黄蜡
血竭,白芷,麻油,轻粉,白占,紫草
白芷,苍耳子,杭菊,辛荑花,北芪,木通
蟾酥,雄黄,朱砂,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,泽兰,蝉蜕,金线重楼,僵蚕
没药,乳香,硇砂,雄黄,麝香,朱砂1
五倍子,雄黄,麝香,红大戟,千金子霜,山慈姑
没药,五倍子,乳香,肥皂肉
贝母,猪苓,桑白皮,大腹皮,紫菀,槟榔
金银花,大黄,地丁,甘草,黄耆,当归
蒲公英,赤芍,黄柏,白芷,桃仁,丹皮
血竭,儿茶,红花,莲肉,丹皮,甘草
土鳖虫,薄荷,樟脑,莪术,朱砂根,猪牙皂
血竭,没药,乳香,儿茶,琥珀,象皮
