丹参,川芎,甘草,莲子心,薄荷,当归
没药,乳香,白蜡,密陀僧,黄蜡,铅粉
冰片,乳香,白蜡,樟脑,轻粉,官粉
冰片,樟脑,红粉,石膏,轻粉
冰片,熊胆,炉甘石,硇砂,麝香,珍珠
可铁刺,李子树胶,阿飞勇,白锡粉
紫苏,木瓜,羌活,大腹皮,香附,槟榔
没药,乳香,雄黄,黄蜡,官粉,轻粉
板蓝根,菠萝香精油,糖粉,淀粉
寒水石,黄蘖,石膏,甘草
没药,乳香,铜绿,白蜡,松香,麻油
没药,血竭,香油,木鳖子,乳香,硼砂
金银花,没药,血竭,木鳖子,赤芍,乳香
赤小豆,黄丹,白芷,蒲黄,半夏
芙蓉叶,五倍子,赤芍,赤小豆,白芷,黄柏
冰片,没药,乳香,麝香,斑蝥,前胡
寒水石,黄柏,石膏,甘草
木鳖子,花粉,黄柏,无名异,大黄,黄芩
一点红,九里明,射干,甘草
乳香,黄丹,密陀僧,麝香,白矾,轻粉
大戟,甘遂,土狗,芫花,大黄
冰片,玄明粉,黄柏,麝香,煅硼砂,白矾
冰片,玄明粉,黄柏,麝香,炒硼砂,黄连
冰片,硼砂,胆矾,人中黄,雄黄,麝香
冰片,硼砂,玄明粉,朱砂
冰片,鸡蛋,黄油
冰片,熊胆,珠粉,西丹参,青鱼胆,麝香
硼砂,梅片,炉甘石,珠子,麝香,琥珀
冰片,乳香,文蛤,全蝎,雄黄,蜈蚣
冬瓜皮,车前子,陈葫芦,旱莲草,白茅根,鸡内金
冰片,没药,血竭,乳香,樟脑,茶油清
冰片,没药,血竭,香油,三七,乳香
没药,血竭,三七,赤芍,乳香,土鳖虫
没药,马钱子,血竭,乳香,土鳖虫,自然铜
没药,血竭,三七,乳香,赤芍,土鳖虫
没药,乳香,山甲,花粉,皂刺,蜈蚣
没药,银花,乳香,连翘,白芷,血余
芥菜花1味
麻黄素,葡萄糖粉,辛夷花,鹅不食草
核桃仁
核桃仁
没药,乳香,蓖麻子仁,白芷,老葱,木鳖子肉
乳香,白胶香,白芷,定粉,白蔹
十,一十,栀子,木通,滑石,大黄
紫苏,木瓜,砂仁,大腹皮,槟榔,麦门冬
芙蓉叶,白芷,天南星,独活,紫金皮
山柰,官桂,麝香,红花,升麻,白芍
瓜子,牡丹,大黄,桃仁,皮硝
瓜子,牡丹,大黄,桃仁,皮硝
葶苈,木通,大黄,莽草
蒲公英,银花,赤芍,木鳖子,乳香,白芷
白酒,麻子仁,大豆,乌蛇
白酒,杉木节,牛蒡,牛膝,大麻仁,独活
蒲公英,银花,野菊花,连翘,地丁,草河车
冰片,熊胆,白菊花,木鳖子,黄柏,青葙子
冰片,银花,熊胆,硼砂,车前子,苍耳子
香油,核桃仁,蝈蝈,牛胆
月石,胖大海,海浮石,诃子
马钱子,蜂房,胡连,穿山甲,刺猬皮,荆芥
秦皮,前胡,犀角屑,升麻,细辛,朱砂
粳米,茯苓
黄苓,炒白芍,栀子,麦门冬,地黄,川芎
芙蓉叶,榆面,大黄,皮硝
冰片,芙蓉叶,泽兰叶,黄柏,大黄,黄连
冰片,芙蓉叶,黄柏,大黄,番泻叶,黄连
绿豆,连翘,秦皮,白芷,泽兰,夏枯草
绿豆,连翘,秦皮,白芷,泽兰,夏枯草
赤芍,穿山甲,夏枯草,红花,莪术,三棱
蒲公英,赤芍,大青叶,黄芩,甘草,丹皮
肿节风浸膏,薄荷,薄荷
银花,红藤,薏仁,三颗针,大黄,桃仁
两背针,食用乙醇,高粱酒,50,苏木,红花
金银花,赤芍,赤小豆,车前子,鸡血藤,连翘
车前子,太子参,猪苓,党参,五加皮,茯苓
连翘,甘草3寸半,青皮,陈皮
抱鸡蛋壳
葶苈,防己,甘草
白酒,瓜蒌,甘草
冬瓜皮,赤小豆,西瓜皮,玉米须,白茅根
硼砂,熊胆,梅片,炉甘石,麝香,琥珀
冰片,没药,血竭,乳香,白信,五灵脂
冰片,硼砂,西瓜霜,山豆根,薄荷,黄柏
金银花,连翘,牛蒡,皂刺,栀子,花粉
没药,乳香,栝楼,甘草,当归
蒲公英,没药,柴胡,川朴,三仙,川连
山芝麻,金钱风,毛冬青,岗梅,牛膝
赤芍,莪术,三棱,桃仁,丹参
冰片,雄黄,滑石,朱砂面,甘草
铜绿,胆矾,新针,甘石,归尾,乌梅
金银花,赤芍,皂刺,龙胆草,木通,柴胡
冰片,乳没,草乌,硇砂,天南星,肉桂
五倍子,白矾,小麦,葱白,朴消
银花,赤芍,牛蒡,黄柏,栀子,大黄
赤小豆,青盐,黄柏,麒麟竭,大黄,马牙消
金银花,赤芍,连翘,桔梗,羌活,柴胡
银花,赤芍,连翘,薄荷,花粉,黄柏
食盐,鲜黄花菜
冬瓜皮,生姜皮,白糖,茯苓皮,黄芪,枣仁
清油,零陵香,黄蜡,天麻,防风,地黄
大戟,甘遂,陈曲,麦蘖,陈皮,陈皮
五倍子,枯矾,白凤仙花,黄丹,白芷,陈米醋
冰片,儿茶,甘石,红粉,龙骨,轻粉
马钱子,穿山甲,黑附子
连翘,贝母,茵陈,木通,山栀仁,大黄
粳米,陈葫芦粉
冬瓜皮,西瓜皮,葫芦壳,枣仁
乳香,橘核,昆布,荔枝核,穿山甲,肉桂
金银花,木瓜,薏仁,皂角,红花,木通
白酒,红蓝花
75,酒精,红花
冰片,白芷,松香,贝母,潮脑,蜈蚣
赤芍,红花,白及,防风,当归
冰片,硼砂,枯矾,鸡内金,青黛,麝香
冰片,棉胭脂,枯矾面
冰片,月石,西瓜霜,元明粉,石膏,朱砂
血竭,京墨,海藻,天南星,五灵脂,麝香
白芷,天南星,郁金,大黄
油,木鳖子,白芷,黄丹,垂柳枝,琥珀
儿茶,熊胆,梅片,血琥珀,珍珠,丹参
没药,乳香,黑丑,琥珀,白丑,沉香
獾油,冰片面
獾油,地榆,石膏,大黄
没药,乳香,雄黄,蜈蚣,菖蒲,黄米
冰片,没药,血竭,香油,乳香,红粉
冰片,三七,乳香,土鳖虫,自然铜,当归
三七,乳香,自然铜,土鳖虫,当归
冰片,没药,血竭,儿茶,乳香,土鳖虫
胶布固定,贴敷患处,用纱布蘸透此液,外盖纱布,活蚯蚓数条,6次
车前子,茯苓皮,金钱草,炮甲,黄芪,泽兰
金银花,没药,乳香,穿山甲,连翘,白芷
姜黄,花粉,白芷,芍药
赤芍,白芷,花粉,郁金
槐角,地榆,黄芩,防风,枳壳,当归
没药,乳香,苏木,栝楼,忍冬,甘草
五倍子
冰片,熊胆,玄明粉,人指甲,西瓜霜,雄黄
没药,乳香,赤芍,花粉,贝母,红花
葶苈,灵脂,红芽大戟,甘遂,石榴,豆豉
葶苈,大戟,灵脂,甘遂,淡豆豉,江子霜
化毒散,祛湿药膏
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,雄黄,蛇床子,川椒,桃仁
鸡蛋
鲫鱼,冬瓜
白茅根,野菊花,薄荷,贝母
蒲公英,红藤,大黄,厚朴
淮地,薄荷,川乌
冰片,硼砂,雄黄,硇砂,火消,僵蚕
鲜金针菜根,猪蹄
干蟾皮不拘多少
川军,明雄,山甲,全蝎,蜈蚣,朱砂
山菊花,黄柏,栀子,黄连,黄芩
叶子雌黄,麝香,郁金,大黄,黄连,槟榔
三七,金刚莲,马钱子霜,接骨木,红花,五加皮
三七,金刚莲,马钱子霜,捆仙绳,18厘米,见血清
冰片,枪消,牙皂,蒲黄,僵蚕
京红粉,元明粉,轻粉
芙蓉叶,大青叶,人中黄,青黛
冰片,连翘,白芷,薄荷,松香,天南星
蟾酥,雄黄,朱砂,丁香
蒲公英,银花,赤芍,连翘,花粉,薄荷
银花,赤芍,连翘,白芷,薏仁,花粉
蒲公英,金银花,川军,赤芍,赤小豆,连翘
白菊花
花椒,陈酒糟,生葱,广胶,葱白,艾叶
香油,章丹
金银花,连翘,黄连,山栀,黄芩,甘草
车前子,肉桂,牛膝,山药,茱萸,地黄
川军,玄胡,橘核,胡芦巴,金铃子,乌药
没药,血竭,乳香,土鳖虫,自然铜,发灰
花椒,大蒜头,槐枝,黄丹,生姜,葱白
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,木鳖子,自然铜,川乌,羊胫骨灰,虎骨随多少
发灰,小黄米面,皂角末
冰片,没药,乳香,熊胆,黄柏,青鱼胆
鸡内金,薄荷,栀子,黄连,升麻
没药,木鳖子,乳香,葱,白胶香,清油
乌药,穿山甲,红花,牛膝,独活,川芎
蒲公英,赤芍,瓜蒌,马勃,元参,蜂房
车前子,官桂,牛膝,山药,茱萸,地黄
西瓜霜,珠粉,西黄,琥珀
白茅根,白果,地肤子,黄芪,肉桂,桑白皮
昆布,木通,海藻,黄连,白僵蚕,苦参
没药,乳香,紫苏,薄荷,黄柏,红粉
黄柏,薄荷,青黛,苏叶,防风,苍术
没药,乳香,薄荷,黄柏,红粉,苏叶
冰片,月石,贝母,滑石,龙骨,朱砂
没药,乳香,马钱子粉,麻黄
没药,乳香,土鳖虫,自然铜,马前子,麻黄
醋2500毫升,半夏
大独活,广地龙,西秦艽,牛膝,骨碎补,海桐皮
3克,或,9克,9克,萝卜子,厚朴
鸡蛋,龙衣,细盐
冰片,蝙蝠
冰片,马勃,西瓜霜,青黛,麝香,蒲黄
粳米,鹿头肉,香子,蔓荆子,高良姜
冬瓜,鲤鱼头
蛇床人,黄丹,乱发,黄蜡,蛇蜕皮,玄参
冰片,没药,血竭,熊胆,儿茶,乳香
银花,红藤,炙山甲,川楝,桃仁,皂角刺
金银花,蒲公英,红藤,连翘,贝母,夏枯草
银花,赤芍,地丁,连翘,白芷,花粉
金银花,赤芍,地丁,连翘,白芷,花粉
连翘,荠苨,桑白皮,前胡,桔梗,人参
鲜萝卜缨
粳米,绿豆
白糖,绿豆
葶苈,贝母,紫菀,桑白皮,人参,五味子
蟾酥,乳香,雄黄,硇砂,麝香,蜈蚣
蟾酥,没药,血竭,龙脑,金脚信,轻粉
蟾酥,血竭,京墨,胆矾,麝香,朱砂
蟾酥,血竭,京墨,胆矾,麝香,朱砂
昆布,海石,天葵子,贝母,牡蛎
赤芍,刘寄奴,炒桃仁,大黄,生地,枳壳
没药,木鳖子,乳香,自然铜,草乌,蓖麻子
赤芍,紫苏,葱,玄胡,黄柏,千里马
黄柏,栀子,雄黄,大黄,黄连,黄芩
冬瓜皮,车前子,官桂,急性子,建泽泻,制茅术
蟾酥,西丹参,珠粉,飞朱砂,飞腰黄,麝香
冰片,蟾酥,雄黄,珍珠,丹参,丁香
芙蓉叶,草乌,野芋头,天南星,川乌
大麻子仁,大黄
白茅根,大米
葶苈,商陆根,海藻,蜀漆,栝楼,牡蛎
冰片,没药,蟾酥,血竭,葶苈,熊胆
生姜皮,车前子,川萆解,莪术,木通,砂仁
蒲公英,粳米
紫草茸,白芷,藿香,何首乌,地黄,川芎
银花,赤芍,连翘,薄荷,牛蒡,羌活
金银花,北豆根,青果,桔梗,麦冬,白芍
紫苏,葫芦巴,地肤子,猪苓,茴香,桃仁
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,黄连,黄芩,甘草
连翘,射干,白芷,荆芥,桔梗,羌活
冰片,没药,血竭,儿茶,乳香,赤小豆
闹羊花
芙蓉叶,花粉,生川柏,大黄,滑石,东丹
生清油,茶叶末
赤芍,连翘,花粉,黄柏,栀子,桔梗
赤芍,连翘,花粉,黄柏,栀子,桔梗
金银花,薏仁,地榆,麦冬,玄参,黄芩
金银花,蒲公英,瓜蒌,野菊花,连翘,生地
蒲公英,金银花,赤芍,车前子,地丁,连翘
金银花,连翘,黄连,山栀,地黄,川芎
连翘,牛蒡,薄荷,栀子,桔梗,前胡
金银花,玄明粉,鼠粘子,连翘,薄荷,栀子
芙蓉叶,赤小豆,白芷,黄柏,雄黄,大黄
冰片,没药,血竭,儿茶,乳香,麝香
金银花,麦冬,生地,熟地,甘菊花
姜黄,花粉,白芷,黄柏,天南星,大黄
白酒,如意草
赤芍,昆布,海藻,鸡血藤,王不留行,青皮
连翘,花粉,元参,鼠粘子,桅子,桔梗
冰片,血竭,三七,樟脑,薄荷,麝香
冰片,没药,血竭,儿茶,乳香,自然铜
乌药,贝母,人参,香附,远志,枣仁
白酒,苏木
没药,栝楼,人参,甘草,当归
续随子,文蛤,红芽大戟,山慈菇,麝香
金银花,没药,乳香,白芷,花粉,贝母
甜石榴,清酒,酸石榴,苍耳子,党参,羌活
车前子,生枳,车前草,薏仁,荆芥,蝉衣
冰片,黄柏,虎杖
白芷,黄柏,郁金,绿豆粉,大黄,轻粉
紫苏,五灵脂,官桂,莪术,砂仁,人参
樟冰,如意金黄散
金银花,赤芍,山豆根,牛蒡,射干,桔梗
大腹子,木瓜,草果仁,干姜,木香,黑附子
芙蓉叶,泽兰叶,黄柏,大黄,黄连,黄芩
黄柏末,大黄末,雄黄,丹参
草乌,天南星,狼毒,半夏
粳米,商陆
大梅片,硼砂,马勃,西丹参,人指甲,血琥珀
马钱子,枳壳
连翘,薄荷,黄柏,白芷,栀子,荆芥
白菊花,北防风,黄柏,石膏,骨碎补,白蒺藜
芙蓉叶,五倍子,赤小豆,草乌,川乌,白及
芙蓉叶,泽兰叶,薄荷,金桐叶,耳草叶,牛膝
没药,麝香,琥珀,桂心,细辛,当归
葶苈,辣桂,猪苓,木通,滑石,木香
葶苈,贝母,紫菀,桑白皮,人参,五味子
没药,乳香,透骨草,木瓜,白芷,红花
连翘,薄荷,莱菔,夏枯草,僵蛹,大力子
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,茯苓,茯神,泽泻
赤小豆,白樟柳根,陈皮,木香
没药,乳香,黄柏,肉桂,大黄,骨碎补
猪蹄蜕,穿山甲,蚕蜕,川乌,荆芥,粉草
白芷,天南星,红花,防风,当归
白芷,穿山甲,生地,当归,黄耆
赤芍,连翘,牛蒡,水牛角浓缩粉,青黛,桔梗
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
蒲公英,银花,野菊花,地丁,紫背天葵子
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,大黄,玄参,甘草
芙蓉叶,紫荆皮,白芷,橙橘叶,肉桂,天南星
葶苈,生姜皮,车前子,猪苓,木通,海金沙
芙蓉叶,五倍子,草乌,天南星,陈小粉,半夏
乳香,上冰片,白及,丹皮
姜黄,透骨草,散血草,黄柏,大黄,香附
通脱木,黑牵牛,木通,滑石,瞿麦,陈皮
蒲公英,没药,乳香,木瓜,栀子,大黄
冰片,硼砂,熊胆,寒水石,赤石脂,黄连
芙蓉叶,蒲公英,金银花,花粉,牛蒡,甘草
连翘,蓖麻仁,夏枯草
银花,白芷,贝母,花粉,青皮,柴胡
连翘,花粉,元参,桔梗,栝楼,大黄
蚯蚓,天南星,雄黄,川乌,荆芥,羌活
金银花,没药,乳香,瓜蒌,穿山甲,连翘
葶苈,大戟,甘遂,商陆,雄黄,桑白皮
乳香,硼砂,雄黄,麝香,1,5克
癞虾蟆草,枳壳
没药,木鳖子,乳香,草乌,五灵脂,麝香
冰片,没药,赤芍,乳香,花粉,贝母
粳米,青头雄鸭,葱白
没药,乳香,樟冰,甲片,肉桂,麝香
冰片,胆矾,铜绿,樟冰,姜黄,甲片
没药,乳香,赤芍,草乌,白芷,牛蒡
金银花,没药,赤芍,乳香,白芷,山豆根
葶苈,松萝,海藻,郁李核仁,大黄,通草
败酱,薏仁,黑附子
瓜蒌仁,薏仁,白芍,桃仁,丹皮
黑牵牛头末,茴香
制萸肉,石苇,黄芪,党参,山楂,山药
乳没,乌药,黄芪,肉桂,莪术,三棱
瓜蒌,麻油,白芷,零香,麻黄蓍,白芨
血竭,白芷,麻油,白占,轻粉,紫草
白芷,苍耳子,杭菊,北芪,辛荑花,木通
蟾酥,雄黄,朱砂,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,金线重楼,泽兰,羌活,蝉蜕
没药,乳香,雄黄,硇砂,麝香,朱砂1
五倍子,千金子霜,红大戟,雄黄,山慈姑,麝香
没药,五倍子,乳香,肥皂肉
猪苓,贝母,桑白皮,紫菀,大腹皮,麻黄
金银花,地丁,大黄,甘草,当归,芍药
蒲公英,赤芍,白芷,黄柏,桃仁,茯苓
血竭,儿茶,红花,白芍,莲肉,丁香
土鳖虫,樟脑,薄荷,虎杖,千斤拔,朱砂根
没药,血竭,乳香,儿茶,琥珀,龙骨
