五灵脂,牛膝,木鳖子,巴戟,菟丝子,虎骨
乌头,黑附子
牛膝,菟丝子,枸杞,肉苁蓉,五味子,黄耆
麦冬,龟版,天冬,地黄,地黄,知母
牛膝,菟丝子,枸杞,五味子,破故纸,虎胫骨
磁石,硇砂
牛膝,何首乌
牛膝,萆薢,生地,地骨皮,枣仁,当归
牛膝,肉苁蓉,木瓜,没药,虎胫骨,黑附子
牛膝,萆薢,木瓜,薏仁,杜仲,地黄
牛膝,木瓜,黑附子,川芎,羌活
枸杞,覆盆子,杜仲,远志,柏子仁,胡桃仁
牛膝,萆薢,苍术,黄耆,杜仲,地黄
菟丝子,覆盆子,金樱子,地黄,淫羊藿,何首乌
黑豆13,2,2,金樱子13,7,地黄21
枸杞,地黄,山药,菊花
枸杞
菟丝子,覆盆子,肉苁蓉,枸杞,石斛,五味子
黄雌鸡,粳米,杏仁,地黄
牛膝,萆薢,枸杞,麦冬,木瓜,苍术
解盐,蒲公英,香附
牛膝,苍术,虎胫骨,归梢,败龟板,防己
糯米,曲,虎胫骨
牛膝,萆薢,虎骨,枸杞,木瓜,薏仁
牛膝,萆薢,虎骨,肉苁蓉,石斛,远志
牛膝,萆薢,薏仁,仙灵脾,地黄,虎胫骨
牛膝,萆薢,虎骨,枸杞,木瓜,薏仁
牛膝,石斛,杜仲,虎胫骨,续断,狗脊
威灵仙,萆薢,地龙,川椒,茴香,赤小豆
萆薢,川椒,地龙,茴香,川乌,川楝
牛膝,石斛,茴香,槟榔,海桐皮,楝实
牛膝,菟丝子,枸杞,龟版,破故纸,杜仲
威灵仙,苍术,草乌,没药,一十,狗脊
威灵仙,苍术,草乌,没药,狗脊,香附
五灵脂,木鳖子,白胶香,草乌,好墨,川乌
牛膝,菖蒲,何首乌,天南星
牛膝,何首乌
牛膝,何首乌
牛膝,菖蒲,何首乌,天南星
牛膝,地黄,何首乌,芍药
牛膝,黑豆,何首乌,枣仁
鸡血藤
川椒,苍术,地龙,石斛,赤小豆,茴香
三七,金刚莲,马钱子霜,见血清,18厘米,捆仙绳
巴戟,广荗,牵牛头末,沉香,槟榔,当归
枸杞,地黄,菊花
五灵脂,山桂皮,骨碎补,石南藤,草乌,地黄
五灵脂,黑牵牛,破故纸,茴香,草,棠球子
巴戟,川椒,茴香,山药,川楝
牛膝,巴戟,菟丝子,川椒,肉苁蓉,鹿茸
牛膝,白胶香,杏仁,没药,白芷,沥青
黄榔刺树根,小雄鸡,糯米饭1盏
牛膝,虎骨,骨碎补,独活,草乌,杜仲
菟丝子,肉苁蓉,萆薢,木瓜,巴戟天,杜仲
牛膝,菟丝子,鹿茸,五味子,地黄,苁蓉
牛膝,菟丝子,枸杞,拣参,肉苁蓉,五味子
枸杞,苍术,茴香,仙茅,地黄,地黄
牛膝,菟丝子,枸杞,木瓜,龟版,独活
牛膝,地黄,知母,锁阳,龟甲,豹骨
川椒,栝楼,知母,桂心,泽泻,黑附子
巴戟,蛇床子,肉苁蓉,鹿茸,茴香,远志
牛膝,鸡血藤,肉苁蓉,骨碎补,淫羊藿,地黄
川柏皮,苍术
萆薢,地龙,鹿茸,茴香,杜仲,青盐
牛膝,鹿角
牛膝,肉苁蓉,木瓜,鹿茸,五味子,杜仲
牛膝,菟丝子,鹿茸,磁石,石斛,五味子
鹿茸,黄耆,侧柏叶,地黄,续断,厚朴
牛膝,鹿茸,石斛,巴戟天,杜仲,远志
牛膝,鹿茸,破故纸,桂,地黄,苁蓉
蛇床子,覆盆子,巴戟,菟丝子,萆薢,肉苁蓉
牛膝,萆薢,杜仲,续断,胡桃肉,故纸
菟丝子,晚蚕沙半,雄雀儿,远志,桂心,天雄
牛膝,覆盆子,蛇床子,菟丝子,萆薢,枸杞
破故纸,黑豆,骨碎补,青盐,白蒺藜,白蒺藜
牛膝,木鳖子,骨碎补,草乌,狗脊,川乌
牛膝,萆薢,木瓜,苍术,石斛,薏仁
牛膝,巴戟,萆薢,木瓜,茴香,青盐
牛膝,肉苁蓉,川椒,巴戟天,青盐
威灵仙,老鹳草,寄生,独活,草乌,续断
牛膝,覆盆子,枸杞,川椒,肉苁蓉,锁阳
威灵仙,五灵脂,茴香,草乌,川楝,牵牛子
威灵仙,五灵脂,萆薢,茴香,草乌,川楝
牛膝,菟丝子,破故纸,金樱子,地黄,何首乌
牛膝,木瓜,没药,地黄,黑附子,全蝎
牛膝,菟丝子,枸杞,肉苁蓉,巴戟天,杜仲
牛膝,木瓜,虎骨,苁蓉,黑附子,天麻
牛膝,萆薢,枸杞,虎胫骨,当归,干茄根
牛膝,覆盆子,菟丝子,肉苁蓉,薏仁,石斛
牛膝,五加皮,续断,黑附子,白术,清酒
青蒿子,天仙藤,苍术,茴香,厚朴,白芷
白酒,菟丝子,覆盆子,五味子,枸妃子,车前子
覆盆子,蛇床子,川椒,卷柏,地黄,远志
牛膝,白酒,菟丝子,破故纸,沉香,仙灵脾
白酒,仙灵脾
薏仁
羊骨左右,生姜葱白,细盐,粳米
牛膝,蛇床子,巴戟,木鳖子,菟丝子,鹿茸
牛膝,菟丝子,杜仲,何首乌,女贞子,桑叶
牛膝,覆盆子,菟丝子,枸杞,巴戟天,何首乌
白酒,没石子,莲子蕊,地黄,地黄,五加皮
