丹参,川芎,甘草,当归,莲子心,薄荷
没药,乳香,密陀僧,白蜡,铅粉,黄蜡
冰片,乳香,樟脑,白蜡,轻粉,官粉
冰片,樟脑,轻粉,红粉,石膏
冰片,熊胆,硇砂,麝香,炉甘石,珍珠
阿飞勇,可铁刺,李子树胶,白锡粉
紫苏,木瓜,大腹皮,羌活,槟榔,陈皮
没药,乳香,雄黄,黄蜡,轻粉,孩儿茶
板蓝根,菠萝香精油,糖粉,淀粉
黄蘖,寒水石,石膏,甘草
没药,乳香,铜绿,松香,白蜡,麻油
没药,血竭,木鳖子,香油,儿茶,硼砂
金银花,血竭,没药,木鳖子,儿茶,赤芍
赤小豆,黄丹,白芷,蒲黄,半夏
芙蓉叶,五倍子,赤小豆,赤芍,白芷,黄柏
冰片,没药,乳香,麝香,前胡,斑蝥
黄柏,寒水石,石膏,甘草
木鳖子,花粉,黄柏,无名异,大黄,黄芩
一点红,九里明,射干,甘草
乳香,黄丹,麝香,密陀僧,轻粉,白矾
大戟,甘遂,土狗,芫花,大黄
冰片,玄明粉,黄柏,麝香,黄连,煅硼砂
冰片,玄明粉,黄柏,麝香,黄连,炒硼砂
冰片,硼砂,胆矾,麝香,雄黄,人中黄
冰片,硼砂,玄明粉,朱砂
冰片,鸡蛋,黄油
冰片,西丹参,珠粉,熊胆,青鱼胆,麝香
梅片,硼砂,珠子,麝香,炉甘石,琥珀
冰片,乳香,文蛤,雄黄,蜈蚣,全蝎
冬瓜皮,车前子,陈葫芦,旱莲草,鸡内金,白茅根
冰片,没药,血竭,乳香,樟脑,茶油清
冰片,没药,血竭,香油,三七,乳香
血竭,没药,土鳖虫,三七,赤芍,乳香
没药,马钱子,血竭,土鳖虫,乳香,自然铜
血竭,没药,土鳖虫,三七,赤芍,乳香
没药,乳香,花粉,山甲,蜈蚣,皂刺
银花,没药,连翘,乳香,白芷,血余
芥菜花1味
葡萄糖粉,麻黄素,鹅不食草,辛夷花
核桃仁
核桃仁
没药,蓖麻子仁,乳香,白芷,木鳖子肉,老葱
乳香,白芷,白胶香,定粉,白蔹
一十,十,栀子,木通,滑石,大黄
紫苏,木瓜,砂仁,大腹皮,槟榔,陈皮
芙蓉叶,白芷,天南星,紫金皮,独活
山柰,官桂,麝香,红花,防风,升麻
瓜子,牡丹,桃仁,大黄,皮硝
瓜子,牡丹,桃仁,大黄,皮硝
葶苈,木通,大黄,莽草
银花,蒲公英,木鳖子,赤芍,乳香,花粉
白酒,麻子仁,大豆,乌蛇
白酒,牛蒡,杉木节,大麻仁,防风,地骨皮
银花,蒲公英,连翘,野菊花,地丁,半枝莲
冰片,木鳖子,熊胆,白菊花,黄柏,麝香
冰片,银花,熊胆,硼砂,连翘,车前子
香油,核桃仁,蝈蝈,牛胆
月石,海浮石,胖大海,诃子
马钱子,胡连,穿山甲,蜂房,荆芥,刺猬皮
秦皮,犀角屑,前胡,朱砂,芎,升麻
粳米,茯苓
炒白芍,黄苓,栀子,厚朴,地黄,麦门冬
芙蓉叶,榆面,大黄,皮硝
芙蓉叶,冰片,黄柏,泽兰叶,黄连,大黄
芙蓉叶,冰片,黄柏,黄连,番泻叶,大黄
绿豆,秦皮,连翘,白芷,夏枯草,泽兰
绿豆,秦皮,连翘,白芷,夏枯草,泽兰
赤芍,穿山甲,夏枯草,莪术,桃仁,红花
蒲公英,赤芍,大青叶,甘草,丹皮,黄芩
肿节风浸膏,薄荷,薄荷
银花,红藤,薏仁,桃仁,三颗针,大黄
高粱酒,50,苏木,食用乙醇,两背针,红花
金银花,赤芍,赤小豆,车前子,连翘,鸡血藤
车前子,太子参,猪苓,党参,五加皮,泽泻
甘草3寸半,连翘,青皮,陈皮
抱鸡蛋壳
葶苈,防己,甘草
白酒,瓜蒌,甘草
冬瓜皮,赤小豆,西瓜皮,白茅根,玉米须
梅片,硼砂,熊胆,麝香,炉甘石,琥珀
冰片,没药,血竭,乳香,白信,麝香
冰片,西瓜霜,硼砂,山豆根,黄柏,贝母
金银花,连翘,牛蒡,花粉,栀子,皂刺
没药,乳香,栝楼,甘草,当归
牛蒡,栝楼,生姜,甘草
蒲公英,没药,柴胡,三仙,川朴,川连
金钱风,岗梅,山芝麻,毛冬青,牛膝
赤芍,桃仁,莪术,三棱,丹参
冰片,雄黄,滑石,朱砂面,甘草
铜绿,甘石,新针,胆矾,归尾,乌梅
金银花,赤芍,木通,龙胆草,皂刺,柴胡
冰片,乳没,草乌,硇砂,天南星,麝香
五倍子,小麦,白矾,葱白,朴消
银花,赤芍,牛蒡,黄柏,栀子,黄连
赤小豆,黄柏,青盐,麒麟竭,黄连,大黄
金银花,赤芍,连翘,桔梗,羌活,归尾
银花,赤芍,连翘,花粉,黄柏,薄荷
食盐,鲜黄花菜
冬瓜皮,茯苓皮,生姜皮,白糖,黄芪,枣仁
清油,零陵香,黄蜡,天麻,芎,防风
大戟,甘遂,陈曲,麦蘖,陈皮,陈皮
五倍子,枯矾,黄丹,白芷,雄黄,蛇床子
冰片,儿茶,甘石,轻粉,红粉,元连
马钱子,穿山甲,黑附子
连翘,贝母,茵陈,木通,山栀仁,大黄
粳米,陈葫芦粉
冬瓜皮,西瓜皮,葫芦壳,枣仁
橘核,昆布,乳香,荔枝核,穿山甲,肉桂
金银花,木瓜,薏仁,木通,皂角,红花
白酒,红蓝花
75,酒精,红花
冰片,白芷,贝母,松香,蜈蚣,轻粉
赤芍,红花,白及,防风,当归
冰片,硼砂,枯矾,鸡内金,麝香,滑石
冰片,棉胭脂,枯矾面
冰片,西瓜霜,月石,元明粉,朱砂,石膏
血竭,海藻,京墨,天南星,麝香,五灵脂
白芷,天南星,郁金,大黄
木鳖子,黄丹,白芷,油,垂柳枝,木通
梅片,儿茶,血琥珀,熊胆,珍珠,丹参
没药,乳香,黑丑,琥珀,白丑,沉香
獾油,冰片面
獾油,地榆,大黄,石膏
没药,乳香,雄黄,蜈蚣,黄米,菖蒲
冰片,没药,血竭,香油,乳香,黄丹
冰片,三七,土鳖虫,乳香,自然铜,当归
三七,土鳖虫,乳香,自然铜,当归
冰片,没药,血竭,土鳖虫,儿茶,乳香
胶布固定,外盖纱布,用纱布蘸透此液,6次,活蚯蚓数条,贴敷患处
茯苓皮,车前子,金钱草,炮甲,黄芪,泽兰
金银花,没药,乳香,连翘,花粉,穿山甲
白芷,花粉,姜黄,芍药
赤芍,花粉,白芷,郁金
槐角,地榆,防风,黄芩,枳壳,当归
没药,乳香,苏木,栝楼,忍冬,甘草
五倍子
冰片,西瓜霜,玄明粉,熊胆,人指甲,雄黄
没药,赤芍,乳香,花粉,贝母,木通
葶苈,灵脂,红芽大戟,甘遂,豆豉,石榴
葶苈,大戟,灵脂,甘遂,淡豆豉,江子霜
祛湿药膏,化毒散
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,雄黄,蛇床子,桃仁,川椒
鸡蛋
鲫鱼,冬瓜
野菊花,贝母,薄荷,白茅根
蒲公英,红藤,厚朴,大黄
淮地,薄荷,川乌
冰片,硼砂,硇砂,雄黄,火消,僵蚕
鲜金针菜根,猪蹄
干蟾皮不拘多少
川军,明雄,山甲,蜈蚣,全蝎,朱砂
山菊花,黄柏,栀子,黄连,黄芩
叶子雌黄,麝香,郁金,黄连,大黄,槟榔
三七,金刚莲,马钱子霜,接骨木,红花,陈皮
三七,金刚莲,马钱子霜,见血清,捆仙绳,18厘米
冰片,牙皂,枪消,蒲黄,僵蚕
元明粉,京红粉,轻粉
芙蓉叶,大青叶,青黛,人中黄
冰片,连翘,白芷,松香,天南星,薄荷
蟾酥,雄黄,朱砂,丁香
银花,蒲公英,赤芍,连翘,花粉,薄荷
银花,连翘,赤芍,花粉,白芷,薏仁
金银花,蒲公英,川军,赤芍,赤小豆,连翘
白菊花
花椒,陈酒糟,广胶,生葱,葱白,艾叶
香油,章丹
金银花,连翘,山栀,黄连,黄芩,甘草
车前子,肉桂,茱萸,地黄,山药,泽泻
川军,橘核,胡芦巴,金铃子,乌药,玄胡
血竭,没药,土鳖虫,乳香,自然铜,发灰
花椒,黄丹,槐枝,大蒜头,葱白,生姜
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,木鳖子,自然铜,川乌,骨碎补,羊胫骨灰
小黄米面,发灰,皂角末
冰片,没药,乳香,熊胆,黄柏,青鱼胆
没药,木鳖子,葱,乳香,清油,白胶香
乌药,穿山甲,红花,独活,陈皮,泽泻
蒲公英,赤芍,瓜蒌,蜂房,马勃,元参
车前子,官桂,茱萸,地黄,山药,泽泻
西瓜霜,珠粉,西黄,琥珀
白果,地肤子,白茅根,桑白皮,肉桂,黄芪
昆布,海藻,木通,白僵蚕,黄连,陈皮
没药,乳香,紫苏,黄柏,薄荷,红粉
没药,乳香,黄柏,薄荷,红粉,轻粉
冰片,月石,贝母,滑石,朱砂,龙骨
没药,乳香,马钱子粉,麻黄
没药,土鳖虫,乳香,自然铜,马前子,麻黄
醋2500毫升,半夏
西秦艽,广地龙,大独活,骨碎补,海桐皮,威灵仙
3克,或,9克,9克,萝卜子,厚朴
鸡蛋,细盐,龙衣
冰片,蝙蝠
冰片,西瓜霜,马勃,麝香,青黛,蒲黄
粳米,鹿头肉,香子,蔓荆子,高良姜
冬瓜,鲤鱼头
蛇床人,黄丹,蛇蜕皮,乱发,黄蜡,玄参
冰片,没药,血竭,儿茶,乳香,熊胆
银花,红藤,桃仁,炙山甲,川楝,皂角刺
金银花,蒲公英,红藤,连翘,贝母,夏枯草
银花,连翘,赤芍,花粉,黄柏,白芷
金银花,赤芍,连翘,花粉,黄柏,白芷
连翘,荠苨,桑白皮,桔梗,前胡,人参
鲜萝卜缨
粳米,绿豆
白糖,绿豆
葶苈,贝母,桑白皮,紫菀,人参,五味子
蟾酥,乳香,硇砂,麝香,雄黄,蜈蚣
血竭,没药,蟾酥,轻粉,朱砂,龙脑
血竭,蟾酥,胆矾,京墨,麝香,朱砂
血竭,蟾酥,胆矾,京墨,麝香,朱砂
昆布,贝母,海石,天葵子,牡蛎
赤芍,炒桃仁,刘寄奴,大黄,生地,枳壳
没药,木鳖子,乳香,自然铜,黄丹,蓖麻子
葱,赤芍,玄胡,紫苏,黄柏,千里马
冬瓜皮,车前子,制茅术,急性子,姜川朴,官桂
蟾酥,西丹参,珠粉,飞朱砂,飞腰黄,麝香
冰片,蟾酥,雄黄,珍珠,丹参,丁香
芙蓉叶,草乌,天南星,川乌,野芋头
大麻子仁,大黄
大米,白茅根
葶苈,商陆根,海藻,栝楼,蜀漆,牡蛎
冰片,没药,血竭,葶苈,蟾酥,乳香
生姜皮,车前子,川萆解,木通,砂仁,莪术
粳米,蒲公英
白芷,紫草茸,藿香,半夏,地黄,川芎
银花,赤芍,连翘,牛蒡,薄荷,莲子芯
金银花,青果,北豆根,桔梗,玄参,麦冬
紫苏,葫芦巴,地肤子,猪苓,桃仁,茴香
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,黄连,黄芩,甘草
连翘,白芷,射干,荆芥,桔梗,羌活
冰片,没药,血竭,儿茶,赤小豆,乳香
闹羊花
芙蓉叶,花粉,滑石,生川柏,东丹,大黄
生清油,茶叶末
连翘,赤芍,花粉,黄柏,栀子,桔梗
连翘,赤芍,花粉,黄柏,栀子,桔梗
金银花,薏仁,地榆,玄参,麦冬,黄芩
金银花,蒲公英,瓜蒌,连翘,野菊花,生地
金银花,蒲公英,赤芍,车前子,连翘,地丁
金银花,连翘,山栀,黄连,川芎,地黄
牛蒡,连翘,薄荷,栀子,荆芥,桔梗
金银花,玄明粉,连翘,薄荷,栀子,鼠粘子
芙蓉叶,赤小豆,白芷,黄柏,雄黄,白及
冰片,没药,血竭,儿茶,乳香,麝香
金银花,麦冬,生地,甘菊花,熟地
白芷,花粉,姜黄,黄柏,天南星,大黄
白酒,如意草
赤芍,昆布,海藻,鸡血藤,柴胡,青皮
连翘,花粉,元参,桅子,鼠粘子,桔梗
冰片,血竭,三七,薄荷,樟脑,麝香
冰片,没药,血竭,儿茶,乳香,自然铜
白酒,苏木
没药,栝楼,人参,甘草,当归
续随子,红芽大戟,山慈菇,文蛤,麝香
金银花,没药,乳香,花粉,白芷,贝母
清酒,甜石榴,酸石榴,苍耳子,羌活,党参
车前子,薏仁,生枳,车前草,荆芥,蝉衣
冰片,黄柏,虎杖
白芷,黄柏,郁金,轻粉,白及,绿豆粉
紫苏,官桂,五灵脂,砂仁,莪术,人参
樟冰,如意金黄散
金银花,赤芍,山豆根,牛蒡,射干,桔梗
大腹子,木瓜,草果仁,厚朴,木香,甘草
芙蓉叶,黄柏,泽兰叶,黄连,大黄,黄芩
大黄末,黄柏末,雄黄,丹参
草乌,天南星,狼毒,半夏
粳米,商陆
大梅片,硼砂,西丹参,血琥珀,青鱼胆,马勃
马钱子,枳壳
连翘,白芷,黄柏,薄荷,栀子,荆芥
白菊花,北防风,黄柏,骨碎补,石膏,白蒺藜
芙蓉叶,五倍子,赤小豆,草乌,川乌,白及
芙蓉叶,薄荷,泽兰叶,金桐叶,耳草叶,大黄
没药,麝香,琥珀,桂心,细辛,当归
葶苈,辣桂,猪苓,木通,滑石,泽泻
葶苈,贝母,桑白皮,紫菀,人参,五味子
没药,乳香,白芷,木瓜,透骨草,红花
连翘,薄荷,大力子,莱菔,僵蛹,夏枯草
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,茯神,泽泻,茯苓
赤小豆,白樟柳根,陈皮,木香
没药,乳香,黄柏,肉桂,骨碎补,白及
猪蹄蜕,蚕蜕,穿山甲,川乌,蝉蜕,荆芥
白芷,天南星,红花,防风,当归
白芷,穿山甲,生地,当归,黄耆
赤芍,牛蒡,连翘,水牛角浓缩粉,青黛,桔梗
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
银花,蒲公英,野菊花,地丁,紫背天葵子
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,玄参,大黄,甘草
芙蓉叶,紫荆皮,白芷,天南星,肉桂,橙橘叶
葶苈,生姜皮,车前子,猪苓,木通,海金沙
芙蓉叶,五倍子,草乌,天南星,陈小粉,半夏
乳香,上冰片,白及,丹皮
透骨草,姜黄,散血草,黄柏,大黄,陈皮
通脱木,黑牵牛,木通,滑石,瞿麦,茯神
蒲公英,没药,乳香,木瓜,栀子,地鳖虫
冰片,硼砂,熊胆,寒水石,黄连,孩儿茶
芙蓉叶,金银花,蒲公英,牛蒡,花粉,当归
连翘,蓖麻仁,夏枯草
银花,白芷,花粉,贝母,柴胡,青皮
连翘,花粉,元参,栝楼,桔梗,山栀
蚯蚓,天南星,雄黄,川乌,荆芥,羌活
金银花,没药,乳香,连翘,瓜蒌,穿山甲
葶苈,大戟,商陆,甘遂,桑白皮,雄黄
乳香,硼砂,麝香,雄黄,1,5克
癞虾蟆草,枳壳
没药,木鳖子,乳香,草乌,麝香,五灵脂
冰片,没药,赤芍,乳香,花粉,贝母
粳米,青头雄鸭,葱白
没药,乳香,樟冰,甲片,麝香,川乌
冰片,铜绿,樟冰,姜黄,甲片,胆矾
没药,牛蒡,赤芍,乳香,草乌,白芷
金银花,没药,赤芍,乳香,山豆根,花粉
葶苈,松萝,郁李核仁,海藻,通草,桂心
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
制萸肉,石苇,黄芪,山楂,党参,丹参
乳没,乌药,肉桂,黄芪,莪术,吴萸
瓜蒌,白芷,零香,麻黄蓍,白芨,麝香
血竭,白芷,麻油,轻粉,白占,紫草
白芷,苍耳子,辛荑花,北芪,杭菊,木通
蟾酥,雄黄,朱砂,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,泽兰,蝉蜕,羌活,黄连
没药,乳香,硇砂,麝香,雄黄,朱砂1
五倍子,山慈姑,麝香,雄黄,红大戟,千金子霜
没药,五倍子,乳香,肥皂肉
贝母,猪苓,大腹皮,桑白皮,紫菀,麻黄
金银花,地丁,大黄,甘草,芍药,黄耆
蒲公英,赤芍,白芷,黄柏,桃仁,丹皮
血竭,儿茶,红花,莲肉,丁香,木香
土鳖虫,薄荷,虎杖,樟脑,过江龙,莪术
血竭,没药,儿茶,乳香,琥珀,轻粉
