丹参,川芎,甘草,莲子心,当归,薄荷
乳香,没药,白蜡,密陀僧,黄蜡,铅粉
冰片,乳香,白蜡,樟脑,轻粉,官粉
冰片,樟脑,红粉,石膏,轻粉
冰片,熊胆,炉甘石,硇砂,麝香,珍珠
白锡粉,阿飞勇,可铁刺,李子树胶
紫苏,木瓜,大腹皮,羌活,槟榔,陈皮
乳香,没药,黄蜡,雄黄,轻粉,孩儿茶
板蓝根,菠萝香精油,糖粉,淀粉
寒水石,黄蘖,石膏,甘草
没药,乳香,白蜡,铜绿,松香,麻油
血竭,香油,没药,乳香,木鳖子,儿茶
金银花,血竭,没药,乳香,木鳖子,儿茶
赤小豆,黄丹,白芷,蒲黄,半夏
芙蓉叶,五倍子,赤小豆,赤芍,白芷,黄柏
冰片,乳香,没药,麝香,斑蝥,犀黄
寒水石,黄柏,石膏,甘草
木鳖子,花粉,黄柏,无名异,大黄,黄芩
一点红,九里明,射干,甘草
乳香,黄丹,密陀僧,麝香,轻粉,白矾
大戟,甘遂,土狗,芫花,大黄
冰片,玄明粉,黄柏,麝香,鹿角霜,煅硼砂
冰片,玄明粉,黄柏,麝香,鹿角霜,炒硼砂
冰片,硼砂,胆矾,人中黄,麝香,雄黄
冰片,硼砂,玄明粉,朱砂
冰片,鸡蛋,黄油
冰片,西丹参,珠粉,熊胆,青鱼胆,麝香
硼砂,梅片,炉甘石,珠子,麝香,琥珀
冰片,乳香,文蛤,雄黄,朱砂,全蝎
冬瓜皮,车前子,旱莲草,陈葫芦,白茅根,鸡内金
冰片,血竭,没药,乳香,樟脑,东丹
冰片,血竭,香油,没药,乳香,三七
血竭,没药,乳香,三七,土鳖虫,自然铜
血竭,马钱子,没药,乳香,土鳖虫,自然铜
血竭,没药,乳香,三七,土鳖虫,赤芍
乳香,没药,花粉,山甲,皂刺,蜈蚣
银花,没药,乳香,连翘,血余,白芷
芥菜花1味
葡萄糖粉,麻黄素,辛夷花,鹅不食草
乳香,没药,蓖麻子仁,白芷,老葱,木鳖子肉
乳香,白胶香,白芷,定粉,白蔹
十,一十,木通,栀子,滑石,大黄
紫苏,木瓜,大腹皮,砂仁,槟榔,泽泻
芙蓉叶,白芷,天南星,独活,紫金皮
山柰,官桂,红花,麝香,升麻,白芍
瓜子,牡丹,桃仁,大黄,皮硝
瓜子,牡丹,桃仁,大黄,皮硝
葶苈,木通,大黄,莽草
蒲公英,银花,木鳖子,乳香,赤芍,花粉
白酒,麻子仁,大豆,乌蛇
白酒,杉木节,牛蒡,牛膝,大麻仁,生地
蒲公英,银花,野菊花,连翘,地丁,黑山栀
冰片,木鳖子,白菊花,熊胆,黄柏,龙胆草
冰片,银花,熊胆,车前子,硼砂,苍耳子
香油,核桃仁,蝈蝈,牛胆
胖大海,月石,海浮石,诃子
马钱子,胡连,蜂房,刺猬皮,穿山甲,荆芥
秦皮,朱砂,前胡,犀角屑,升麻,芎
粳米,茯苓
黄苓,炒白芍,栀子,泽泻,川芎,麦门冬
芙蓉叶,榆面,大黄,皮硝
芙蓉叶,冰片,泽兰叶,黄柏,大黄,黄连
芙蓉叶,冰片,黄柏,大黄,番泻叶,黄连
绿豆,秦皮,连翘,夏枯草,白芷,蝉蜕
绿豆,秦皮,连翘,夏枯草,白芷,蝉蜕
赤芍,夏枯草,穿山甲,莪术,红花,桃仁
蒲公英,赤芍,大青叶,黄芩,甘草,丹皮
肿节风浸膏,薄荷,薄荷
银花,红藤,薏仁,桃仁,三颗针,大黄
50,两背针,红花,苏木,食用乙醇,高粱酒
金银花,赤芍,车前子,赤小豆,连翘,鸡血藤
车前子,太子参,猪苓,党参,泽泻,五加皮
连翘,甘草3寸半,青皮,陈皮
抱鸡蛋壳
葶苈,防己,甘草
白酒,瓜蒌,甘草
冬瓜皮,赤小豆,西瓜皮,白茅根,玉米须
熊胆,硼砂,梅片,炉甘石,麝香,琥珀
冰片,血竭,没药,乳香,白信,莪术
冰片,西瓜霜,硼砂,山豆根,黄柏,薄荷
金银花,花粉,连翘,牛蒡,栀子,栝楼
乳香,没药,栝楼,甘草,当归
蒲公英,没药,枳壳,柴胡,川朴,三仙
山芝麻,金钱风,毛冬青,岗梅,牛膝
赤芍,莪术,桃仁,三棱,丹参
冰片,滑石,雄黄,朱砂面,甘草
铜绿,胆矾,新针,甘石,归尾,苦参
金银花,赤芍,木通,龙胆草,皂刺,柴胡
冰片,草乌,乳没,硇砂,天南星,麝香
五倍子,白矾,小麦,葱白,朴消
银花,赤芍,黄柏,牛蒡,栀子,升麻
赤小豆,黄柏,青盐,麒麟竭,大黄,黄连
金银花,赤芍,连翘,桔梗,归尾,升麻
银花,赤芍,花粉,连翘,黄柏,薄荷
食盐,鲜黄花菜
冬瓜皮,生姜皮,茯苓皮,白糖,黄芪,枣仁
清油,零陵香,黄蜡,天麻,芎,防风
大戟,甘遂,麦蘖,陈曲,陈皮,陈皮
五倍子,黄丹,枯矾,白芷,白凤仙花,陈米醋
冰片,儿茶,甘石,红粉,龙骨,轻粉
马钱子,穿山甲,黑附子
连翘,贝母,茵陈,木通,大黄,山栀仁
粳米,陈葫芦粉
冬瓜皮,西瓜皮,葫芦壳,枣仁
乳香,橘核,荔枝核,昆布,穿山甲,莪术
金银花,木瓜,皂角,薏仁,木通,红花
白酒,红蓝花
酒精,75,红花
冰片,松香,白芷,贝母,轻粉,蜈蚣
赤芍,红花,白及,防风,当归
冰片,硼砂,枯矾,鸡内金,麝香,滑石
冰片,枯矾面,棉胭脂
冰片,西瓜霜,元明粉,月石,朱砂,石膏
血竭,海藻,京墨,天南星,五灵脂,麝香
白芷,天南星,郁金,大黄
木鳖子,油,黄丹,垂柳枝,白芷,木通
儿茶,熊胆,梅片,血琥珀,珍珠,丹参
乳香,没药,黑丑,琥珀,白丑,槟榔
獾油,冰片面
獾油,地榆,石膏,大黄
乳香,没药,雄黄,黄米,蜈蚣,菖蒲
冰片,血竭,香油,没药,乳香,黄丹
冰片,乳香,三七,土鳖虫,自然铜,当归
乳香,三七,土鳖虫,自然铜,当归
冰片,血竭,没药,乳香,土鳖虫,自然铜
外盖纱布,用纱布蘸透此液,活蚯蚓数条,贴敷患处,6次,胶布固定
茯苓皮,车前子,黄芪,炮甲,金钱草,泽兰
金银花,没药,乳香,花粉,连翘,白芷
姜黄,花粉,白芷,芍药
赤芍,花粉,白芷,郁金
槐角,地榆,枳壳,防风,黄芩,当归
乳香,没药,苏木,栝楼,忍冬,甘草
五倍子
冰片,西瓜霜,玄明粉,熊胆,人指甲,雄黄
乳香,没药,花粉,赤芍,贝母,木通
葶苈,红芽大戟,甘遂,灵脂,豆豉,石榴
葶苈,大戟,甘遂,灵脂,芫花,江子霜
化毒散,祛湿药膏
乳香,没药,草乌,浮石,巴豆
五倍子,枯矾,雄黄,桃仁,蛇床子,川椒
鸡蛋
鲫鱼,冬瓜
野菊花,白茅根,贝母,薄荷
蒲公英,红藤,大黄,厚朴
淮地,薄荷,川乌
冰片,硼砂,硇砂,雄黄,火消,僵蚕
鲜金针菜根,猪蹄
干蟾皮不拘多少
川军,山甲,明雄,朱砂,全蝎,蜈蚣
山菊花,黄柏,栀子,黄连,黄芩
叶子雌黄,郁金,麝香,大黄,黄连,槟榔
三七,金刚莲,马钱子霜,接骨木,红花,陈皮
三七,金刚莲,马钱子霜,18厘米,见血清,捆仙绳
冰片,枪消,蒲黄,牙皂,僵蚕
京红粉,元明粉,轻粉
芙蓉叶,大青叶,人中黄,青黛
冰片,连翘,松香,白芷,薄荷,天南星
蟾酥,雄黄,朱砂,丁香
蒲公英,银花,赤芍,花粉,连翘,薄荷
银花,赤芍,花粉,连翘,白芷,薏仁
蒲公英,金银花,川军,赤芍,赤小豆,连翘
白菊花
花椒,广胶,生葱,陈酒糟,葱白,艾叶
香油,章丹
金银花,连翘,黄连,山栀,黄芩,甘草
车前子,肉桂,牛膝,泽泻,茱萸,地黄
橘核,川军,胡芦巴,金铃子,乌药,玄胡
血竭,没药,乳香,土鳖虫,自然铜,发灰
花椒,黄丹,大蒜头,槐枝,葱白,生姜
马钱子,草乌,枳壳
乳香,没药,苏木,好麻
没药,木鳖子,自然铜,骨碎补,川乌,虎骨随多少
发灰,小黄米面,皂角末
冰片,乳香,没药,熊胆,黄柏,青鱼胆
没药,乳香,葱,木鳖子,白胶香,清油
乌药,穿山甲,红花,牛膝,泽泻,独活
蒲公英,瓜蒌,赤芍,马勃,元参,蜂房
车前子,官桂,牛膝,泽泻,茱萸,地黄
西瓜霜,珠粉,琥珀,西黄
白茅根,白果,地肤子,黄芪,桑白皮,肉桂
昆布,木通,海藻,黄连,半夏,苦参
乳香,没药,紫苏,黄柏,薄荷,红粉
黄柏,薄荷,苏叶,青黛,苍术,防风
乳香,没药,黄柏,薄荷,红粉,轻粉
冰片,月石,贝母,滑石,朱砂,龙骨
乳香,没药,马钱子粉,麻黄
乳香,没药,土鳖虫,自然铜,麻黄,马前子
醋2500毫升,半夏
西秦艽,广地龙,大独活,骨碎补,牛膝,威灵仙
3克,或,9克,9克,萝卜子,枳壳
鸡蛋,龙衣,细盐
冰片,蝙蝠
冰片,西瓜霜,马勃,麝香,青黛,蒲黄
粳米,香子,鹿头肉,蔓荆子,高良姜
冬瓜,鲤鱼头
蛇床人,黄丹,黄蜡,乱发,蛇蜕皮,玄参
冰片,血竭,没药,乳香,儿茶,山豆根
银花,红藤,炙山甲,桃仁,川楝,皂角刺
蒲公英,金银花,红藤,连翘,夏枯草,贝母
银花,赤芍,花粉,连翘,白芷,黄柏
金银花,花粉,赤芍,连翘,白芷,黄柏
连翘,荠苨,桔梗,桑白皮,前胡,人参
鲜萝卜缨
粳米,绿豆
白糖,绿豆
葶苈,贝母,紫菀,桑白皮,人参,五味子
蟾酥,乳香,硇砂,麝香,雄黄,金顶砒
血竭,蟾酥,没药,轻粉,朱砂,龙脑
血竭,蟾酥,胆矾,京墨,麝香,朱砂
血竭,蟾酥,胆矾,京墨,麝香,朱砂
贝母,昆布,天葵子,海石,牡蛎
赤芍,炒桃仁,刘寄奴,大黄,生地,枳壳
乳香,没药,木鳖子,自然铜,黄丹,草乌
葱,赤芍,紫苏,玄胡,黄柏,千里马
冬瓜皮,车前子,急性子,建泽泻,姜川朴,带皮苓
蟾酥,西丹参,珠粉,飞腰黄,飞朱砂,麝香
冰片,蟾酥,雄黄,珍珠,丹参,丁香
芙蓉叶,草乌,天南星,野芋头,川乌
大麻子仁,大黄
大米,白茅根
葶苈,商陆根,海藻,栝楼,蜀漆,泽泻
冰片,血竭,葶苈,蟾酥,没药,乳香
生姜皮,车前子,川萆解,莪术,木通,砂仁
蒲公英,粳米
紫草茸,白芷,续断,半夏,藿香,川芎
银花,赤芍,连翘,薄荷,牛蒡,莲子芯
金银花,青果,北豆根,桔梗,麦冬,白芍
紫苏,葫芦巴,猪苓,地肤子,桃仁,茴香
冰片,白糖,大蚯蚓
连翘,赤芍,黄柏,黄连,黄芩,甘草
连翘,白芷,射干,桔梗,荆芥,羌活
冰片,血竭,没药,乳香,儿茶,赤小豆
闹羊花
芙蓉叶,花粉,东丹,滑石,生川柏,大黄
茶叶末,生清油
连翘,花粉,赤芍,黄柏,栀子,桔梗
连翘,花粉,赤芍,黄柏,栀子,桔梗
金银花,薏仁,地榆,麦冬,黄芩,玄参
蒲公英,金银花,瓜蒌,野菊花,连翘,生地
蒲公英,金银花,车前子,赤芍,连翘,地丁
金银花,连翘,黄连,山栀,川芎,地黄
连翘,牛蒡,薄荷,栀子,桔梗,荆芥
金银花,玄明粉,鼠粘子,连翘,薄荷,栀子
芙蓉叶,赤小豆,白芷,黄柏,雄黄,白及
冰片,血竭,没药,乳香,儿茶,红花
金银花,麦冬,生地,甘菊花,熟地
姜黄,花粉,白芷,黄柏,天南星,大黄
白酒,如意草
赤芍,昆布,海藻,鸡血藤,王不留行,柴胡
连翘,花粉,鼠粘子,元参,桅子,桔梗
冰片,血竭,三七,樟脑,薄荷,麝香
冰片,血竭,没药,乳香,自然铜,儿茶
乌药,贝母,远志,人参,茯神,枣仁
白酒,苏木
没药,栝楼,人参,甘草,当归
文蛤,续随子,红芽大戟,山慈菇,麝香
金银花,没药,乳香,花粉,白芷,贝母
苍耳子,酸石榴,甜石榴,清酒,党参,羌活
车前子,车前草,生枳,薏仁,荆芥,蝉衣
冰片,黄柏,虎杖
白芷,黄柏,郁金,轻粉,绿豆粉,大黄
紫苏,官桂,五灵脂,莪术,砂仁,人参
樟冰,如意金黄散
金银花,赤芍,山豆根,牛蒡,射干,桔梗
大腹子,木瓜,草果仁,厚朴,木香,甘草
芙蓉叶,黄柏,泽兰叶,大黄,黄连,黄芩
大黄末,黄柏末,雄黄,丹参
草乌,天南星,狼毒,半夏
粳米,商陆
大梅片,硼砂,青鱼胆,西丹参,马勃,血琥珀
马钱子,枳壳
连翘,白芷,黄柏,薄荷,栀子,桔梗
白菊花,北防风,黄柏,骨碎补,石膏,白蒺藜
芙蓉叶,五倍子,赤小豆,草乌,白及,川乌
芙蓉叶,泽兰叶,薄荷,牛膝,耳草叶,金桐叶
没药,琥珀,麝香,桂心,细辛,当归
葶苈,辣桂,猪苓,木通,滑石,泽泻
葶苈,贝母,紫菀,桑白皮,人参,五味子
乳香,没药,透骨草,白芷,木瓜,骨碎补
连翘,夏枯草,大力子,僵蛹,莱菔,薄荷
粳米,桃花瓣
乳香,没药,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,泽泻,茯神,茯苓
赤小豆,白樟柳根,陈皮,木香
乳香,没药,黄柏,骨碎补,肉桂,白及
穿山甲,猪蹄蜕,蚕蜕,蝉蜕,荆芥,川乌
白芷,红花,天南星,防风,当归
白芷,穿山甲,生地,当归,黄耆
赤芍,连翘,牛蒡,水牛角浓缩粉,桔梗,青黛
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
蒲公英,银花,野菊花,地丁,紫背天葵子
乳香,没药,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,大黄,玄参,甘草
芙蓉叶,紫荆皮,白芷,天南星,骨碎补,肉桂
葶苈,生姜皮,车前子,猪苓,木通,枳壳
芙蓉叶,五倍子,草乌,天南星,陈小粉,半夏
乳香,上冰片,白及,丹皮
姜黄,透骨草,黄柏,散血草,大黄,陈皮
通脱木,黑牵牛,木通,滑石,瞿麦,半夏
蒲公英,乳香,没药,木瓜,栀子,大黄
冰片,硼砂,寒水石,熊胆,黄连,孩儿茶
芙蓉叶,蒲公英,金银花,花粉,牛蒡,甘草
连翘,夏枯草,蓖麻仁
银花,花粉,白芷,贝母,柴胡,青皮
连翘,花粉,元参,桔梗,栝楼,大黄
蚯蚓,天南星,雄黄,荆芥,川乌,羌活
金银花,乳香,没药,瓜蒌,连翘,穿山甲
葶苈,大戟,甘遂,商陆,桑白皮,巴戟
乳香,硼砂,15克,5克,麝香,雄黄
癞虾蟆草,枳壳
乳香,没药,木鳖子,草乌,五灵脂,麝香
冰片,乳香,没药,赤芍,花粉,贝母
粳米,青头雄鸭,葱白
乳香,没药,樟冰,甲片,麝香,腰黄
冰片,铜绿,胆矾,姜黄,樟冰,甲片
乳香,没药,赤芍,草乌,白芷,牛蒡
金银花,没药,乳香,花粉,赤芍,山豆根
葶苈,松萝,海藻,郁李核仁,通草,大黄
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
石苇,制萸肉,黄芪,党参,山楂,山药
乌药,黄芪,乳没,莪术,肉桂,蒲黄
瓜蒌,零香,麻黄蓍,白芨,白芷,麻油
血竭,白芷,麻油,轻粉,白占,紫草
白芷,苍耳子,辛荑花,北芪,杭菊,木通
蟾酥,雄黄,朱砂,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,金线重楼,泽兰,蝉蜕,羌活
乳香,没药,硇砂,麝香,雄黄,白矾
五倍子,千金子霜,麝香,雄黄,红大戟,朱砂
乳香,没药,五倍子,肥皂肉
贝母,猪苓,大腹皮,紫菀,桑白皮,麻黄
金银花,地丁,大黄,甘草,当归,芍药
蒲公英,赤芍,白芷,黄柏,桃仁,茯苓
血竭,儿茶,红花,白芍,莲肉,木香
樟脑,土鳖虫,薄荷,虎杖,莪术,过江龙
血竭,没药,乳香,儿茶,珍珠,琥珀
