红花,三七,山楂,川芎,葛根
红花,三七,山楂,川芎,葛根
香油,刘寄奴,茜草,松节,伸筋草,透骨草
鸡血藤,双花,元参,土茯苓,乳香,甘草
桃仁,玄胡,丹皮,虻虫,赤芍,水蛭
丹参,泽兰,鸡血藤,玄胡,没药,元参
蒲公英,败酱草,丹皮,土贝母,赤小豆,犀黄丸
香油,章丹
丹参,红花,赤芍,川芎,降香
自然铜,鸡子,孩儿牙齿,朱砂
桃仁,红花,黑豆,玄胡,益母草,苏木
自然铜,土鳖虫,没药,熟军,乳香,硼砂
桃仁,红花,党参,附子,白术,甘草
红花,川芎,穿山甲,茯苓,牛膝,独活
桃仁,益母草,川芎,炮姜,当归,芥穗
没药,瓜蒌,橘核,乳香,荔核,当归
桃仁,归尾,红花,炮山甲,板蓝根,赤芍
桃仁,红花,川芎,白芍药,熟地黄,当归
茅根,丹皮,蒲黄,川芎,芍药,栀子
丹参,茜草,土贝母,元参,赤芍,白芍
酒黄芩,秦皮,丹皮,赤芍,木通,生地
茅根,鸡血藤,茜草,丹皮,仙鹤草,山栀
红花,赤芍,川芎,黄耆,茯苓,当归
丹参,红花,鸡血藤,丹皮,熟地,玉竹
桃仁,丹参,红花,赤芍,川芎,生地
自然铜,土鳖虫,没药,乳香,马前子,麻黄
醋,半夏
桃仁,红花,海藻,海金砂,昆布,枳实
泽兰,郁金,枳实,山栀,香附,川楝
丹参,赤芍,川芎,枳实,沙参,麦冬
凌霄花,没药,赤芍,当归,桂心,木香
红花,五灵脂,赤芍,川芎,生地,当归
炉甘石,珍珠,冰片,硼砂,牛黄,麝香
丹参,牡丹,败酱,茯苓,芍药,麦门冬
归尾,草决,蒺藜,白芍,川芎,荆芥
玄胡,肉桂,苍术,槟榔,三棱,莪术
丹参,茜草,王不留行,黄柏,薏米仁,清风藤
地龙,玄胡,没药,赤小豆,冰片,乳香
归尾,红花,刘寄奴,益母草,酒生地,赤芍
桃仁,泽兰,参三七,郁金,赤芍,青皮
桃仁,丹参,泽兰,红花,蒲公英,王不留行
地龙,仙灵脾,盐知母,肉桂,盐黄柏,木通
丹参,白花蛇舌草,牡蛎,白芍,郁金,三棱
丹参,地龙,王不留行,橘叶,皂角刺,川楝
丹参,海藻,瓜蒌,牡蛎,橘核,昆布
红花,三七,樟脑,冰片,独活,麝香
桃仁,地龙,红花,灵脂,没药,川芎
红花,蒲黄,川芎,三棱,黄芪,党参
桃仁,生地,人参,当归,大黄,甘草
玄胡,广郁金,白芍,枳实,乳香,香附
桃仁,泽兰,红花,当归尾,牛膝,香附
桃仁,川芎,当归,黑姜,炙草
红花,干葛,川芎,升麻,香附,半夏
灵脂,元胡,没药,香附
玄胡,五灵脂,没药,蒲黄,赤芍,川芎
五灵脂,蒲黄
茅根,半枝莲,金钱草,海金砂,石苇,木通
桃仁,吴萸,半夏,黄连,陈皮
干葛,生甘草,山楂,升麻,当归,僵蚕
玄胡,丹皮,蓬术,北芍药,川芎,当归
灵脂,元胡,丹皮,熟军,藏红花,赤芍
桃仁,红花,元胡,川芎,苍术,黄柏
红花,山楂,当归尾,香附,青皮,乌药
桃仁,丹参,红花,归尾,乳香,牛膝
桃仁,芍药,当归,干漆,甘草,芎藭
桃仁,蒲黄,大枣,消石,大黄,甘草
桃仁,赤芍,三棱,当归,白术,陈橘皮
桃仁,红花,丹皮,赤芍,山栀,郁金
莪茂,丹皮,川芎,人参,芍药,牛膝
红花,自然铜,没药,苏木,乳香,丁香
没药,丹皮,骨碎补,芥子,肉桂,五加皮
丹参,地龙,鸡血藤,地鳖虫,蜈蚣,黄芪
桃仁,红花,川芎,赤芍,生地,牛膝
丹参,没药,瓜蒌,乳香,金银花,青皮
桃仁,红花,川芎,赤芍,生地,牛膝
玄胡,苦楝,川芎,芍药,当归,地黄
玄胡,当归
桃仁,赤芍,白芍,荆芥,木通,党参
海藻,麦蘖,九肋鳖甲,使君子,干蟾,夜明砂
蒲公英,没药,地鳖虫,乳香,木瓜,栀子
红花,川山甲,透骨草,蓬术,杏仁,三棱
炮山甲,麻仁,五倍子,乌梅,牡蛎,苦参
丹参,三七,山楂,冰片,川芎,郁金
茅根,山楂,过路黄,凤尾草
桃仁,丹参,玄胡,自然铜,没药,地鳖虫
泽兰,山楂,王不留行,牡蛎,佛手,苍术
虎杖,仙灵脾,半枝莲,仙鹤草,白花蛇舌草,生鸡内金
桃仁,没药,金钱草,赤芍,乳香,三棱
桃仁,红花,玄参,生地,麦冬,熟地
虎杖,泽兰,蒲公英,板蓝根,酒大黄,土茯苓
虎杖,土鳖虫,樟脑,香樟,穿壁风,鹰不扑
桃仁,丹参,地龙,红花,鸡血藤,土鳖虫
苦楝皮,槐皮,雄黄
