红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,木通,荆芥,赤芍,青龙齿,制香附
海藻,麦蘖,干蟾,使君子,九肋鳖甲,夜明砂
没药,蒲公英,乳香,地鳖虫,栀子,大黄
红花,透骨草,川山甲,木鳖仁,独头蒜,杏仁
炮山甲,麻仁,五倍子,乌梅,牡蛎,苦参
丹参,三七,山楂,冰片,郁金,黄芪
茅根,山楂,过路黄,凤尾草
桃仁,丹参,自然铜,玄胡,没药,骨碎补
泽兰,山楂,王不留行,牡蛎,佛手,白芍
虎杖,仙灵脾,半枝莲,仙鹤草,白花蛇舌草,鹿衔草
桃仁,金钱草,没药,莪术,赤芍,乳香
桃仁,红花,麦冬,熟地,玄参,生地
虎杖,泽兰,蒲公英,土茯苓,酒大黄,板蓝根
虎杖,土鳖虫,樟脑,羊耳菊,五味藤,香樟
桃仁,丹参,地龙,红花,鸡血藤,土鳖虫
苦楝皮,槐皮,雄黄
