丹参,川芎,甘草,当归,莲子心,薄荷
乳香,没药,白蜡,密陀僧,轻粉,铅粉
冰片,乳香,白蜡,樟脑,轻粉,官粉
冰片,樟脑,轻粉,红粉,石膏
冰片,熊胆,硇砂,炉甘石,麝香,珍珠
白锡粉,可铁刺,阿飞勇,李子树胶
紫苏,木瓜,大腹皮,羌活,槟榔,陈皮
乳香,没药,轻粉,雄黄,孩儿茶,黄蜡
板蓝根,菠萝香精油,糖粉,淀粉
黄蘖,寒水石,石膏,甘草
乳香,没药,铜绿,白蜡,松香,麻油
血竭,没药,香油,木鳖子,乳香,硼砂
金银花,血竭,没药,木鳖子,乳香,儿茶
赤小豆,黄丹,白芷,蒲黄,半夏
芙蓉叶,五倍子,赤小豆,赤芍,黄柏,贝母
冰片,没药,乳香,麝香,斑蝥,前胡
寒水石,黄柏,石膏,甘草
木鳖子,无名异,花粉,黄柏,大黄,黄芩
九里明,一点红,射干,甘草
乳香,黄丹,密陀僧,轻粉,麝香,白矾
大戟,甘遂,土狗,芫花,大黄
冰片,玄明粉,黄柏,麝香,白矾,煅硼砂
冰片,玄明粉,黄柏,麝香,炒硼砂,黄连
冰片,硼砂,胆矾,雄黄,麝香,朱砂
冰片,硼砂,玄明粉,朱砂
冰片,鸡蛋,黄油
冰片,西丹参,熊胆,珠粉,青鱼胆,麝香
硼砂,梅片,珠子,麝香,炉甘石,琥珀
冰片,乳香,文蛤,雄黄,全蝎,朱砂
冬瓜皮,车前子,陈葫芦,白茅根,鸡内金,旱莲草
冰片,血竭,没药,乳香,樟脑,东丹
冰片,血竭,没药,香油,乳香,三七
血竭,乳香,没药,三七,自然铜,土鳖虫
马钱子,血竭,乳香,没药,自然铜,土鳖虫
血竭,乳香,没药,三七,土鳖虫,赤芍
乳香,没药,花粉,山甲,皂刺,蜈蚣
银花,没药,乳香,连翘,刺猬皮,血余
芥菜花1味
葡萄糖粉,麻黄素,辛夷花,鹅不食草
乳香,没药,蓖麻子仁,白芷,大黄,木鳖子肉
乳香,白胶香,白芷,定粉,白蔹
十,一十,木通,栀子,滑石,大黄
紫苏,木瓜,大腹皮,砂仁,槟榔,麦门冬
芙蓉叶,白芷,天南星,紫金皮,独活
山柰,官桂,麝香,红花,防风,川芎
瓜子,牡丹,桃仁,大黄,皮硝
瓜子,牡丹,桃仁,大黄,皮硝
葶苈,木通,大黄,莽草
蒲公英,银花,木鳖子,乳香,赤芍,花粉
白酒,麻子仁,大豆,乌蛇
白酒,杉木节,大麻仁,牛蒡,牛膝,防风
蒲公英,银花,野菊花,连翘,地丁,草河车
冰片,木鳖子,熊胆,白菊花,黄柏,麝香
冰片,银花,熊胆,硼砂,车前子,连翘
香油,核桃仁,蝈蝈,牛胆
月石,海浮石,胖大海,诃子
马钱子,胡连,穿山甲,蜂房,刺猬皮,荆芥
秦皮,前胡,朱砂,犀角屑,防风,升麻
粳米,茯苓
黄苓,炒白芍,栀子,川芎,麦门冬,地黄
芙蓉叶,榆面,大黄,皮硝
芙蓉叶,冰片,黄柏,泽兰叶,大黄,黄芩
冰片,芙蓉叶,黄柏,大黄,番泻叶,黄连
绿豆,秦皮,连翘,夏枯草,白芷,泽兰
绿豆,秦皮,连翘,夏枯草,白芷,泽兰
赤芍,穿山甲,夏枯草,莪术,红花,桃仁
蒲公英,赤芍,大青叶,黄芩,丹皮,甘草
肿节风浸膏,薄荷,薄荷
银花,红藤,薏仁,三颗针,桃仁,大黄
两背针,食用乙醇,50,高粱酒,红花,苏木
金银花,赤小豆,车前子,赤芍,连翘,鸡血藤
车前子,太子参,猪苓,党参,五加皮,泽泻
甘草3寸半,连翘,青皮,陈皮
抱鸡蛋壳
葶苈,防己,甘草
白酒,瓜蒌,甘草
冬瓜皮,赤小豆,西瓜皮,玉米须,白茅根
硼砂,梅片,熊胆,炉甘石,麝香,琥珀
冰片,血竭,没药,乳香,白信,五灵脂
冰片,硼砂,西瓜霜,山豆根,黄柏,贝母
金银花,连翘,花粉,栀子,牛蒡,皂刺
乳香,没药,栝楼,甘草,当归
蒲公英,没药,三仙,川朴,柴胡,黄芩
金钱风,岗梅,毛冬青,山芝麻,牛膝
赤芍,莪术,桃仁,三棱,丹参
冰片,雄黄,滑石,朱砂面,甘草
铜绿,胆矾,甘石,新针,归尾,乌梅
金银花,赤芍,木通,皂刺,龙胆草,吴萸
冰片,乳没,草乌,硇砂,天南星,麝香
五倍子,白矾,小麦,葱白,朴消
银花,赤芍,黄柏,栀子,牛蒡,大黄
赤小豆,黄柏,青盐,大黄,麒麟竭,马牙消
金银花,赤芍,连翘,桔梗,羌活,防风
银花,赤芍,薄荷,连翘,花粉,黄柏
鲜黄花菜,食盐
生姜皮,冬瓜皮,白糖,茯苓皮,黄芪,枣仁
清油,零陵香,黄蜡,防风,天麻,芎
大戟,甘遂,麦蘖,陈曲,陈皮,陈皮
五倍子,黄丹,白芷,枯矾,轻粉,雄黄
冰片,儿茶,甘石,红粉,轻粉,元连
马钱子,穿山甲,黑附子
连翘,贝母,茵陈,木通,大黄,山栀仁
粳米,陈葫芦粉
冬瓜皮,西瓜皮,葫芦壳,枣仁
乳香,橘核,荔枝核,昆布,穿山甲,莪术
金银花,皂角,木瓜,薏仁,木通,红花
白酒,红蓝花
75,酒精,红花
冰片,贝母,白芷,松香,轻粉,潮脑
赤芍,红花,白及,防风,当归
冰片,硼砂,鸡内金,枯矾,青黛,麝香
冰片,棉胭脂,枯矾面
冰片,西瓜霜,月石,元明粉,朱砂,乌贼骨
血竭,京墨,海藻,五灵脂,天南星,麝香
白芷,天南星,郁金,大黄
木鳖子,油,黄丹,垂柳枝,白芷,木通
儿茶,梅片,熊胆,血琥珀,珍珠,丹参
乳香,没药,黑丑,琥珀,白丑,槟榔
獾油,冰片面
獾油,地榆,大黄,石膏
乳香,没药,雄黄,菖蒲,黄米,蜈蚣
冰片,血竭,没药,香油,乳香,黄丹
冰片,三七,乳香,土鳖虫,自然铜,当归
三七,乳香,土鳖虫,自然铜,当归
冰片,血竭,没药,乳香,自然铜,土鳖虫
活蚯蚓数条,6次,胶布固定,用纱布蘸透此液,外盖纱布,贴敷患处
车前子,茯苓皮,炮甲,金钱草,泽兰,黄芪
金银花,没药,乳香,连翘,穿山甲,花粉
姜黄,花粉,白芷,芍药
赤芍,白芷,花粉,郁金
槐角,地榆,黄芩,防风,枳壳,当归
乳香,没药,苏木,栝楼,忍冬,甘草
五倍子
冰片,西瓜霜,熊胆,玄明粉,人指甲,雄黄
乳香,没药,赤芍,花粉,贝母,木通
葶苈,灵脂,红芽大戟,甘遂,石榴,豆豉
葶苈,大戟,灵脂,甘遂,淡豆豉,石榴皮
化毒散,祛湿药膏
乳香,没药,草乌,浮石,巴豆
五倍子,枯矾,雄黄,桃仁,蛇床子,川椒
鸡蛋
冬瓜,鲫鱼
野菊花,贝母,薄荷,白茅根
蒲公英,红藤,大黄,厚朴
淮地,薄荷,川乌
冰片,硼砂,硇砂,雄黄,火消,僵蚕
猪蹄,鲜金针菜根
干蟾皮不拘多少
川军,山甲,明雄,全蝎,朱砂,蜈蚣
山菊花,黄柏,栀子,黄芩,黄连
叶子雌黄,麝香,郁金,大黄,黄连,槟榔
三七,马钱子霜,金刚莲,接骨木,红花,五加皮
三七,马钱子霜,金刚莲,18厘米,捆仙绳,见血清
冰片,枪消,牙皂,蒲黄,僵蚕
元明粉,京红粉,轻粉
芙蓉叶,青黛,大青叶,人中黄
冰片,连翘,白芷,松香,薄荷,天南星
蟾酥,雄黄,朱砂,丁香
蒲公英,银花,赤芍,连翘,花粉,薄荷
银花,赤芍,连翘,花粉,白芷,薏仁
蒲公英,金银花,川军,赤小豆,赤芍,连翘
白菊花
花椒,陈酒糟,广胶,生葱,葱白,艾叶
香油,章丹
金银花,连翘,山栀,黄芩,黄连,丹皮
车前子,肉桂,山药,牛膝,地黄,泽泻
川军,橘核,胡芦巴,金铃子,乌药,玄胡
血竭,乳香,没药,自然铜,土鳖虫,发灰
花椒,大蒜头,槐枝,黄丹,葱白,生姜
马钱子,草乌,枳壳
乳香,没药,苏木,好麻
没药,木鳖子,自然铜,川乌,骨碎补,虎骨随多少
发灰,皂角末,小黄米面
冰片,没药,乳香,熊胆,青鱼胆,黄柏
乳香,没药,木鳖子,葱,白胶香,清油
乌药,穿山甲,红花,牛膝,川芎,独活
蒲公英,瓜蒌,元参,赤芍,马勃,蜂房
车前子,官桂,牛膝,山药,泽泻,地黄
西瓜霜,珠粉,西黄,琥珀
白果,白茅根,地肤子,黄芪,桑白皮,肉桂
昆布,木通,海藻,黄连,白僵蚕,苦参
乳香,没药,紫苏,黄柏,薄荷,红粉
黄柏,薄荷,青黛,苏叶,防风,杏仁
乳香,没药,黄柏,薄荷,红粉,轻粉
冰片,月石,贝母,滑石,朱砂,龙骨
乳香,没药,马钱子粉,麻黄
乳香,没药,自然铜,土鳖虫,马前子,麻黄
醋2500毫升,半夏
大独活,广地龙,西秦艽,骨碎补,牛膝,威灵仙
3克,9克,9克,或,萝卜子,枳壳
鸡蛋,细盐,龙衣
冰片,蝙蝠
冰片,西瓜霜,马勃,青黛,麝香,蒲黄
粳米,香子,鹿头肉,蔓荆子,高良姜
冬瓜,鲤鱼头
蛇床人,黄丹,乱发,蛇蜕皮,黄蜡,露蜂房
冰片,血竭,没药,乳香,熊胆,硼砂
银花,红藤,炙山甲,桃仁,川楝,丹皮
蒲公英,金银花,红藤,连翘,夏枯草,贝母
银花,赤芍,薄荷,连翘,花粉,黄柏
金银花,赤芍,连翘,花粉,黄柏,白芷
连翘,荠苨,桑白皮,桔梗,前胡,黄芩
鲜萝卜缨
粳米,绿豆
绿豆,白糖
葶苈,贝母,桑白皮,紫菀,人参,杏仁
蟾酥,乳香,硇砂,轻粉,雄黄,麝香
蟾酥,血竭,没药,轻粉,龙脑,金脚信
蟾酥,血竭,京墨,胆矾,麝香,朱砂
蟾酥,血竭,京墨,胆矾,麝香,朱砂
贝母,天葵子,昆布,海石,牡蛎
赤芍,炒桃仁,大黄,刘寄奴,生地,枳壳
没药,乳香,木鳖子,自然铜,黄丹,草乌
葱,赤芍,紫苏,黄柏,玄胡,莪术
冬瓜皮,车前子,急性子,制茅术,带皮苓,蝼蛄虫
蟾酥,西丹参,珠粉,飞朱砂,飞腰黄,麝香
冰片,蟾酥,雄黄,珍珠,丹参,丁香
芙蓉叶,草乌,天南星,野芋头,川乌
大麻子仁,大黄
大米,白茅根
葶苈,商陆根,海藻,栝楼,蜀漆,牡蛎
冰片,蟾酥,血竭,葶苈,没药,乳香
生姜皮,川萆解,车前子,莪术,大腹皮,木通
蒲公英,粳米
紫草茸,白芷,川芎,藿香,何首乌,地黄
银花,赤芍,薄荷,连翘,牛蒡,莲子芯
金银花,北豆根,青果,桔梗,黄芩,麦冬
紫苏,葫芦巴,猪苓,地肤子,桃仁,茴香
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,黄芩,黄连,甘草
连翘,白芷,射干,桔梗,羌活,荆芥
冰片,血竭,没药,乳香,儿茶,赤小豆
闹羊花
芙蓉叶,花粉,东丹,生川柏,滑石,大黄
茶叶末,生清油
赤芍,连翘,黄柏,花粉,栀子,桔梗
赤芍,连翘,黄柏,花粉,栀子,桔梗
金银花,薏仁,地榆,黄芩,麦冬,玄参
蒲公英,金银花,瓜蒌,野菊花,连翘,黄芩
蒲公英,金银花,车前子,赤芍,连翘,地丁
金银花,连翘,山栀,川芎,黄连,芍药
连翘,薄荷,牛蒡,栀子,桔梗,前胡
金银花,玄明粉,鼠粘子,连翘,薄荷,栀子
芙蓉叶,赤小豆,黄柏,白芷,雄黄,白及
冰片,血竭,没药,乳香,儿茶,麝香
金银花,麦冬,生地,甘菊花,熟地
姜黄,花粉,黄柏,白芷,天南星,大黄
白酒,如意草
赤芍,昆布,海藻,鸡血藤,王不留行,柴胡
连翘,元参,鼠粘子,花粉,桅子,桔梗
冰片,血竭,三七,樟脑,薄荷,麝香
冰片,血竭,没药,乳香,自然铜,儿茶
乌药,贝母,人参,远志,陈皮,枣仁
白酒,苏木
没药,栝楼,人参,甘草,当归
续随子,文蛤,红芽大戟,山慈菇,麝香
金银花,没药,乳香,花粉,贝母,白芷
清酒,酸石榴,甜石榴,苍耳子,羌活,党参
车前子,生枳,车前草,薏仁,蝉衣,荆芥
冰片,黄柏,虎杖
白芷,黄柏,轻粉,绿豆粉,郁金,白及
紫苏,官桂,五灵脂,莪术,砂仁,川芎
樟冰,如意金黄散
金银花,赤芍,山豆根,射干,牛蒡,桔梗
大腹子,木瓜,草果仁,茯苓,甘草,干姜
芙蓉叶,黄柏,泽兰叶,大黄,黄芩,黄连
大黄末,黄柏末,雄黄,丹参
草乌,天南星,狼毒,半夏
粳米,商陆
大梅片,硼砂,西丹参,青鱼胆,马勃,人指甲
马钱子,枳壳
连翘,薄荷,白芷,黄柏,栀子,桔梗
白菊花,北防风,黄柏,骨碎补,白蒺藜,地黄
芙蓉叶,五倍子,赤小豆,草乌,白及,川乌
芙蓉叶,泽兰叶,薄荷,金桐叶,耳草叶,大黄
没药,麝香,琥珀,桂心,细辛,芍药
葶苈,辣桂,猪苓,木通,滑石,泽泻
葶苈,贝母,桑白皮,紫菀,人参,杏仁
乳香,没药,透骨草,白芷,木瓜,红花
连翘,薄荷,僵蛹,莱菔,大力子,夏枯草
粳米,桃花瓣
乳香,没药,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,泽泻,茯神,茯苓
赤小豆,白樟柳根,陈皮,木香
乳香,没药,黄柏,肉桂,白及,大黄
蚕蜕,猪蹄蜕,穿山甲,川乌,蝉蜕,荆芥
赤芍,连翘,水牛角浓缩粉,牛蒡,青黛,桔梗
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
蒲公英,银花,野菊花,地丁,紫背天葵子
乳香,没药,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,大黄,玄参,甘草
芙蓉叶,紫荆皮,白芷,天南星,肉桂,橙橘叶
葶苈,生姜皮,车前子,猪苓,木通,海金沙
芙蓉叶,五倍子,草乌,天南星,陈小粉,半夏
乳香,上冰片,白及,丹皮
姜黄,透骨草,散血草,黄柏,大黄,甘草
通脱木,黑牵牛,木通,瞿麦,滑石,陈皮
蒲公英,没药,乳香,木瓜,栀子,大黄
冰片,硼砂,熊胆,寒水石,孩儿茶,黄连
芙蓉叶,蒲公英,金银花,花粉,牛蒡,甘草
连翘,蓖麻仁,夏枯草
银花,白芷,贝母,花粉,柴胡,僵蚕
连翘,元参,花粉,栝楼,桔梗,大黄
蚯蚓,天南星,雄黄,川乌,羌活,荆芥
金银花,没药,乳香,瓜蒌,连翘,穿山甲
葶苈,大戟,甘遂,商陆,巴戟,雄黄
乳香,硼砂,雄黄,麝香,15克,1
癞虾蟆草,枳壳
乳香,没药,木鳖子,草乌,五灵脂,麝香
冰片,没药,乳香,赤芍,花粉,贝母
粳米,青头雄鸭,葱白
乳香,没药,樟冰,轻粉,甲片,麝香
冰片,姜黄,铜绿,樟冰,天南星,胆矾
乳香,没药,赤芍,草乌,白芷,牛蒡
金银花,没药,乳香,赤芍,花粉,贝母
葶苈,郁李核仁,海藻,松萝,大黄,通草
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
制萸肉,石苇,黄芪,山楂,党参,山药
乌药,乳没,黄芪,莪术,肉桂,吴萸
白芷,瓜蒌,麻黄蓍,白芨,麝香,零香
血竭,白芷,轻粉,麻油,白占,紫草
白芷,苍耳子,辛荑花,北芪,杭菊,木通
蟾酥,雄黄,朱砂,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,泽兰,蝉蜕,羌活,防风
乳香,没药,硇砂,雄黄,麝香,白矾
五倍子,红大戟,千金子霜,雄黄,麝香,山慈姑
没药,五倍子,乳香,肥皂肉
贝母,猪苓,大腹皮,桑白皮,紫菀,麻黄
金银花,地丁,大黄,芍药,甘草,当归
蒲公英,赤芍,黄柏,白芷,桃仁,丹皮
血竭,儿茶,红花,白芍,莲肉,丹皮
土鳖虫,樟脑,薄荷,虎杖,鹰不扑,九龙川
血竭,乳香,没药,儿茶,轻粉,琥珀
