丹参,川芎,甘草,当归,莲子心,薄荷
没药,乳香,白蜡,密陀僧,轻粉,铅粉
冰片,乳香,白蜡,樟脑,轻粉,官粉
冰片,樟脑,红粉,轻粉,石膏
冰片,熊胆,炉甘石,硇砂,麝香,珍珠
可铁刺,阿飞勇,白锡粉,李子树胶
紫苏,木瓜,大腹皮,羌活,槟榔,陈皮
没药,乳香,轻粉,雄黄,黄蜡,孩儿茶
板蓝根,糖粉,菠萝香精油,淀粉
寒水石,黄蘖,石膏,甘草
没药,乳香,白蜡,铜绿,麻油,松香
血竭,没药,香油,木鳖子,乳香,硼砂
血竭,没药,金银花,乳香,木鳖子,赤芍
赤小豆,黄丹,白芷,蒲黄,半夏
芙蓉叶,五倍子,赤芍,赤小豆,黄柏,白芷
冰片,没药,乳香,麝香,斑蝥,犀黄
寒水石,黄柏,石膏,甘草
木鳖子,黄柏,花粉,大黄,无名异,黄芩
九里明,一点红,射干,甘草
乳香,黄丹,密陀僧,麝香,轻粉,白矾
大戟,甘遂,土狗,芫花,大黄
冰片,玄明粉,黄柏,麝香,鹿角霜,煅硼砂
冰片,玄明粉,黄柏,麝香,鹿角霜,炒硼砂
冰片,硼砂,胆矾,人中黄,麝香,雄黄
冰片,硼砂,玄明粉,朱砂
冰片,鸡蛋,黄油
冰片,熊胆,西丹参,珠粉,青鱼胆,麝香
炉甘石,硼砂,梅片,珠子,麝香,琥珀
冰片,乳香,文蛤,蜈蚣,雄黄,全蝎
冬瓜皮,车前子,陈葫芦,鸡内金,旱莲草,白茅根
冰片,血竭,没药,乳香,樟脑,金不换
冰片,血竭,没药,香油,乳香,三七
血竭,没药,土鳖虫,乳香,三七,赤芍
血竭,没药,马钱子,乳香,土鳖虫,自然铜
血竭,没药,土鳖虫,乳香,三七,赤芍
没药,乳香,皂刺,花粉,山甲,蜈蚣
银花,没药,乳香,刺猬皮,连翘,大麻仁
芥菜花1味
葡萄糖粉,麻黄素,辛夷花,鹅不食草
核桃仁
核桃仁
没药,乳香,蓖麻子仁,白芷,大黄,老葱
乳香,白胶香,白芷,定粉,白蔹
一十,十,栀子,木通,滑石,大黄
紫苏,木瓜,砂仁,大腹皮,泽泻,麦门冬
芙蓉叶,白芷,天南星,紫金皮,独活
山柰,官桂,麝香,红花,白芍,防风
瓜子,牡丹,大黄,桃仁,皮硝
瓜子,牡丹,大黄,桃仁,皮硝
葶苈,木通,大黄,莽草
银花,蒲公英,木鳖子,乳香,赤芍,花粉
白酒,麻子仁,大豆,乌蛇
白酒,牛蒡,大麻仁,杉木节,防风,牛膝
银花,蒲公英,野菊花,连翘,地丁,半枝莲
冰片,熊胆,木鳖子,白菊花,黄柏,麝香
银花,冰片,熊胆,硼砂,炉甘石,车前子
香油,核桃仁,蝈蝈,牛胆
贝母,天南星
月石,胖大海,海浮石,诃子
马钱子,胡连,刺猬皮,穿山甲,蜂房,荆芥
秦皮,前胡,犀角屑,朱砂,防风,细辛
粳米,茯苓
黄苓,炒白芍,栀子,泽泻,麦门冬,白术
芙蓉叶,榆面,大黄,皮硝
芙蓉叶,冰片,黄柏,泽兰叶,大黄,黄连
芙蓉叶,冰片,黄柏,大黄,番泻叶,黄连
秦皮,绿豆,连翘,夏枯草,白芷,泽兰
秦皮,绿豆,连翘,夏枯草,白芷,泽兰
赤芍,夏枯草,穿山甲,红花,莪术,桃仁
蒲公英,赤芍,大青叶,丹皮,黄芩,甘草
肿节风浸膏,薄荷,薄荷
银花,红藤,薏仁,三颗针,桃仁,大黄
高粱酒,两背针,50,食用乙醇,苏木,红花
金银花,赤小豆,赤芍,车前子,连翘,鸡血藤
车前子,太子参,猪苓,党参,泽泻,五加皮
连翘,甘草3寸半,青皮,陈皮
抱鸡蛋壳
葶苈,防己,甘草
白酒,瓜蒌,甘草
冬瓜皮,赤小豆,西瓜皮,白茅根,玉米须
熊胆,硼砂,炉甘石,梅片,麝香,琥珀
冰片,血竭,没药,乳香,白信,五灵脂
冰片,西瓜霜,硼砂,黄柏,贝母,山豆根
金银花,皂刺,连翘,花粉,牛蒡,栀子
没药,乳香,栝楼,当归,甘草
蒲公英,没药,三仙,白芍,柴胡,川朴
岗梅,山芝麻,金钱风,毛冬青,牛膝
赤芍,桃仁,莪术,三棱,丹参
冰片,雄黄,滑石,朱砂面,甘草
铜绿,新针,胆矾,甘石,归尾,苦参
金银花,赤芍,皂刺,木通,龙胆草,吴萸
冰片,乳没,草乌,天南星,硇砂,麝香
五倍子,小麦,葱白,白矾,朴消
银花,赤芍,黄柏,牛蒡,栀子,大黄
赤小豆,黄柏,青盐,大黄,麒麟竭,黄连
金银花,赤芍,连翘,归尾,桔梗,防风
银花,赤芍,连翘,花粉,黄柏,薄荷
食盐,鲜黄花菜
冬瓜皮,生姜皮,白糖,茯苓皮,黄芪,枣仁
清油,零陵香,黄蜡,天麻,防风,芎
大戟,甘遂,麦蘖,陈曲,陈皮,陈皮
五倍子,枯矾,黄丹,白芷,轻粉,雄黄
冰片,儿茶,甘石,红粉,轻粉,元连
马钱子,穿山甲,黑附子
连翘,贝母,茵陈,木通,大黄,山栀仁
粳米,陈葫芦粉
冬瓜皮,西瓜皮,葫芦壳,枣仁
乳香,橘核,荔枝核,昆布,穿山甲,莪术
金银花,木瓜,薏仁,皂角,木通,红花
白酒,红蓝花
酒精,75,红花
冰片,白芷,贝母,松香,轻粉,蜈蚣
赤芍,红花,白及,防风,当归
冰片,硼砂,鸡内金,枯矾,麝香,滑石
冰片,棉胭脂,枯矾面
冰片,西瓜霜,月石,元明粉,朱砂,石膏
血竭,京墨,海藻,五灵脂,天南星,麝香
白芷,天南星,郁金,大黄
木鳖子,油,黄丹,白芷,垂柳枝,木通
熊胆,梅片,儿茶,血琥珀,珍珠,丹参
没药,乳香,黑丑,琥珀,白丑,沉香
獾油,冰片面
獾油,地榆,大黄,石膏
没药,乳香,蜈蚣,雄黄,菖蒲,黄米
冰片,血竭,没药,香油,乳香,黄丹
冰片,三七,乳香,土鳖虫,自然铜,当归
三七,乳香,土鳖虫,自然铜,当归
冰片,血竭,没药,土鳖虫,乳香,自然铜
6次,外盖纱布,活蚯蚓数条,贴敷患处,用纱布蘸透此液,胶布固定
车前子,茯苓皮,炮甲,金钱草,黄芪,泽兰
没药,金银花,乳香,连翘,花粉,穿山甲
姜黄,白芷,花粉,芍药
赤芍,白芷,花粉,郁金
槐角,地榆,防风,枳壳,黄芩,当归
没药,乳香,苏木,栝楼,忍冬,甘草
五倍子
冰片,熊胆,西瓜霜,玄明粉,人指甲,雄黄
没药,乳香,赤芍,花粉,贝母,木通
葶苈,红芽大戟,甘遂,灵脂,豆豉,石榴
葶苈,大戟,甘遂,灵脂,芫花,江子霜
祛湿药膏,化毒散
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,蛇床子,雄黄,桃仁,乌梅
鸡蛋
鲫鱼,冬瓜
野菊花,贝母,白茅根,薄荷
蒲公英,红藤,大黄,厚朴
淮地,薄荷,川乌
冰片,硼砂,硇砂,雄黄,火消,僵蚕
鲜金针菜根,猪蹄
干蟾皮不拘多少
川军,明雄,山甲,蜈蚣,全蝎,朱砂
山菊花,黄柏,栀子,黄连,黄芩
叶子雌黄,麝香,郁金,大黄,黄连,槟榔
三七,马钱子霜,金刚莲,接骨木,红花,五加皮
三七,马钱子霜,金刚莲,见血清,捆仙绳,18厘米
冰片,枪消,牙皂,蒲黄,僵蚕
元明粉,京红粉,轻粉
芙蓉叶,人中黄,大青叶,青黛
冰片,连翘,白芷,松香,薄荷,天南星
蟾酥,雄黄,朱砂,丁香
银花,蒲公英,赤芍,连翘,花粉,薄荷
银花,赤芍,连翘,白芷,花粉,薏仁
金银花,蒲公英,川军,赤小豆,赤芍,连翘
白菊花
花椒,生葱,陈酒糟,广胶,葱白,艾叶
香油,章丹
金银花,连翘,黄连,山栀,丹皮,黄芩
车前子,肉桂,泽泻,山药,茱萸,牛膝
川军,橘核,玄胡,乌药,金铃子,胡芦巴
血竭,没药,乳香,土鳖虫,自然铜,发灰
花椒,大蒜头,黄丹,槐枝,葱白,生姜
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,木鳖子,自然铜,川乌,虎骨随多少,羊胫骨灰
发灰,皂角末,小黄米面
冰片,没药,乳香,熊胆,黄柏,青鱼胆
鸡内金,栀子,薄荷,黄连,升麻
没药,乳香,葱,木鳖子,清油,白胶香
乌药,穿山甲,红花,泽泻,牛膝,独活
蒲公英,赤芍,元参,瓜蒌,马勃,蜂房
车前子,官桂,泽泻,牛膝,山药,茱萸
西瓜霜,珠粉,西黄,琥珀
白茅根,地肤子,白果,黄芪,白僵蚕,桑白皮
昆布,海藻,木通,白僵蚕,黄连,苦参
没药,乳香,紫苏,黄柏,红粉,薄荷
没药,乳香,黄柏,红粉,薄荷,轻粉
冰片,月石,贝母,滑石,朱砂,龙骨
没药,乳香,马钱子粉,麻黄
没药,乳香,土鳖虫,自然铜,马前子,麻黄
醋2500毫升,半夏
西秦艽,广地龙,大独活,海桐皮,威灵仙,牛膝
3克,或,9克,9克,萝卜子,枳壳
鸡蛋,龙衣,细盐
冰片,蝙蝠
冰片,西瓜霜,马勃,麝香,青黛,蒲黄
粳米,香子,鹿头肉,蔓荆子,高良姜
冬瓜,鲤鱼头
黄丹,蛇床人,乱发,蛇蜕皮,黄蜡,玄参
冰片,血竭,没药,乳香,熊胆,硼砂
银花,红藤,炙山甲,桃仁,皂角刺,川楝
金银花,蒲公英,红藤,连翘,夏枯草,贝母
银花,赤芍,连翘,花粉,黄柏,白芷
金银花,赤芍,连翘,花粉,黄柏,白芷
连翘,荠苨,桑白皮,桔梗,前胡,人参
鲜萝卜缨
粳米,绿豆
白糖,绿豆
葶苈,贝母,紫菀,桑白皮,人参,杏仁
蟾酥,乳香,硇砂,麝香,轻粉,蜈蚣
血竭,没药,蟾酥,轻粉,朱砂,龙脑
血竭,蟾酥,京墨,胆矾,麝香,朱砂
血竭,蟾酥,京墨,胆矾,麝香,朱砂
昆布,贝母,天葵子,海石,牡蛎
赤芍,炒桃仁,大黄,刘寄奴,生地,枳壳
没药,乳香,木鳖子,自然铜,草乌,黄丹
葱,赤芍,紫苏,玄胡,黄柏,大茴
冬瓜皮,车前子,蝼蛄虫,建泽泻,带皮苓,制茅术
蟾酥,西丹参,珠粉,飞朱砂,麝香,飞腰黄
冰片,蟾酥,雄黄,珍珠,丹参,丁香
芙蓉叶,草乌,天南星,野芋头,川乌
大麻子仁,大黄
大米,白茅根
葶苈,商陆根,海藻,栝楼,泽泻,蜀漆
冰片,血竭,没药,葶苈,蟾酥,熊胆
生姜皮,车前子,川萆解,木通,莪术,砂仁
粳米,蒲公英
紫草茸,白芷,何首乌,半夏,藿香,续断
银花,赤芍,连翘,牛蒡,薄荷,防风
金银花,北豆根,青果,桔梗,白芍,玄参
紫苏,猪苓,葫芦巴,地肤子,桃仁,泽泻
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,黄连,黄芩,甘草
连翘,白芷,射干,荆芥,桔梗,柴胡
冰片,血竭,没药,乳香,赤小豆,儿茶
闹羊花
芙蓉叶,花粉,滑石,生川柏,大黄,东丹
生清油,茶叶末
赤芍,连翘,花粉,黄柏,栀子,桔梗
赤芍,连翘,花粉,黄柏,栀子,桔梗
金银花,薏仁,地榆,麦冬,玄参,黄芩
金银花,蒲公英,野菊花,连翘,瓜蒌,黄芩
金银花,蒲公英,赤芍,车前子,连翘,地丁
金银花,连翘,黄连,山栀,芍药,川芎
连翘,牛蒡,薄荷,栀子,荆芥,桔梗
金银花,玄明粉,连翘,鼠粘子,薄荷,栀子
芙蓉叶,赤小豆,黄柏,白芷,雄黄,紫车前
冰片,血竭,没药,乳香,儿茶,麝香
金银花,麦冬,生地,甘菊花,熟地
姜黄,白芷,黄柏,花粉,天南星,大黄
白酒,如意草
赤芍,海藻,昆布,鸡血藤,青皮,柴胡
连翘,元参,花粉,桅子,鼠粘子,青皮
冰片,血竭,三七,樟脑,薄荷,麝香
冰片,血竭,没药,乳香,自然铜,黄柏
白酒,苏木
没药,栝楼,人参,当归,甘草
续随子,文蛤,红芽大戟,山慈菇,麝香
没药,金银花,乳香,花粉,白芷,贝母
清酒,甜石榴,苍耳子,酸石榴,党参,羌活
车前子,薏仁,车前草,生枳,蝉衣,荆芥
冰片,黄柏,虎杖
白芷,黄柏,郁金,轻粉,大黄,绿豆粉
紫苏,官桂,五灵脂,砂仁,莪术,人参
樟冰,如意金黄散
金银花,赤芍,牛蒡,射干,山豆根,挂金灯
大腹子,木瓜,草果仁,白术,木香,茯苓
芙蓉叶,黄柏,泽兰叶,大黄,黄连,黄芩
大黄末,黄柏末,雄黄,丹参
草乌,天南星,狼毒,半夏
粳米,商陆
大梅片,西丹参,硼砂,人指甲,血琥珀,马勃
马钱子,枳壳
连翘,白芷,黄柏,薄荷,栀子,大黄
白菊花,北防风,黄柏,石膏,骨碎补,白蒺藜
芙蓉叶,五倍子,赤小豆,草乌,川乌,白及
芙蓉叶,泽兰叶,薄荷,金桐叶,大黄,牛膝
没药,麝香,琥珀,桂心,细辛,芍药
葶苈,辣桂,猪苓,木通,滑石,泽泻
葶苈,贝母,紫菀,桑白皮,人参,杏仁
没药,乳香,透骨草,白芷,木瓜,红花
连翘,夏枯草,僵蛹,莱菔,大力子,薄荷
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,泽泻,茯神,茯苓
赤小豆,白樟柳根,陈皮,木香
没药,乳香,黄柏,肉桂,大黄,白及
猪蹄蜕,穿山甲,蚕蜕,川乌,荆芥,蝉蜕
白芷,天南星,红花,防风,当归
白芷,穿山甲,生地,当归,黄耆
赤芍,连翘,牛蒡,桔梗,青黛,水牛角浓缩粉
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
银花,蒲公英,野菊花,地丁,紫背天葵子
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,大黄,犀角,玄参,甘草
芙蓉叶,紫荆皮,白芷,天南星,肉桂,菖蒲
葶苈,生姜皮,车前子,猪苓,木通,泽泻
芙蓉叶,五倍子,草乌,天南星,陈小粉,半夏
乳香,上冰片,白及,丹皮
姜黄,透骨草,散血草,黄柏,大黄,陈皮
通脱木,黑牵牛,木通,滑石,瞿麦,半夏
没药,蒲公英,乳香,木瓜,栀子,大黄
冰片,熊胆,硼砂,寒水石,孩儿茶,赤石脂
芙蓉叶,蒲公英,金银花,牛蒡,花粉,当归
连翘,蓖麻仁,夏枯草
银花,白芷,贝母,花粉,青皮,柴胡
连翘,元参,花粉,大黄,栝楼,桔梗
蚯蚓,天南星,雄黄,川乌,荆芥,羌活
金银花,没药,乳香,瓜蒌,连翘,穿山甲
葶苈,大戟,甘遂,商陆,雄黄,芫花
乳香,硼砂,麝香,雄黄,15克,1
癞虾蟆草,枳壳
没药,乳香,木鳖子,草乌,五灵脂,麝香
冰片,没药,乳香,赤芍,花粉,贝母
粳米,青头雄鸭,葱白
没药,乳香,樟冰,甲片,麝香,轻粉
冰片,铜绿,樟冰,胆矾,姜黄,天南星
没药,乳香,赤芍,草乌,牛蒡,白芷
没药,金银花,乳香,赤芍,花粉,白芷
葶苈,海藻,松萝,郁李核仁,大黄,通草
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
制萸肉,石苇,黄芪,党参,山楂,山药
乳没,乌药,黄芪,莪术,肉桂,三棱
瓜蒌,黄蜡,零香,麻黄蓍,白芷,白芨
血竭,白芷,麻油,轻粉,白占,紫草
白芷,苍耳子,北芪,杭菊,辛荑花,木通
蟾酥,雄黄,朱砂,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,金线重楼,泽兰,蝉蜕,青皮
没药,乳香,硇砂,麝香,雄黄,朱砂1
五倍子,红大戟,千金子霜,麝香,雄黄,山慈姑
没药,乳香,五倍子,肥皂肉
贝母,猪苓,紫菀,桑白皮,大腹皮,麻黄
金银花,大黄,地丁,芍药,当归,黄耆
蒲公英,赤芍,黄柏,白芷,桃仁,丹皮
血竭,儿茶,红花,白芍,莲肉,丹皮
土鳖虫,樟脑,虎杖,薄荷,香加皮,过江龙
血竭,没药,乳香,儿茶,轻粉,琥珀
