丹参,川芎,甘草,莲子心,当归,薄荷
没药,乳香,白蜡,密陀僧,铅粉,黄蜡
冰片,乳香,白蜡,樟脑,轻粉,官粉
冰片,樟脑,轻粉,石膏,红粉
冰片,熊胆,炉甘石,硇砂,麝香,珍珠
可铁刺,李子树胶,白锡粉,阿飞勇
没药,乳香,雄黄,黄蜡,轻粉,孩儿茶
板蓝根,菠萝香精油,糖粉,淀粉
黄蘖,寒水石,石膏,甘草
没药,乳香,铜绿,白蜡,松香,麻油
血竭,香油,没药,乳香,儿茶,硼砂
金银花,血竭,没药,乳香,儿茶,木鳖子
黄丹,赤小豆,白芷,蒲黄,半夏
芙蓉叶,五倍子,赤芍,赤小豆,白芷,黄柏
冰片,没药,乳香,麝香,前胡,犀黄
寒水石,黄柏,石膏,甘草
木鳖子,无名异,黄柏,花粉,大黄,牡蛎
一点红,九里明,射干,甘草
乳香,黄丹,密陀僧,麝香,轻粉,白矾
大戟,甘遂,土狗,芫花,大黄
冰片,玄明粉,黄柏,麝香,煅硼砂,白矾
冰片,玄明粉,黄柏,麝香,黄连,炒硼砂
冰片,硼砂,胆矾,人中黄,雄黄,麝香
冰片,硼砂,玄明粉,朱砂
冰片,鸡蛋,黄油
冰片,熊胆,西丹参,珠粉,青鱼胆,麝香
硼砂,梅片,炉甘石,珠子,麝香,琥珀
冰片,乳香,文蛤,雄黄,全蝎,炙穿山甲
冬瓜皮,车前子,旱莲草,陈葫芦,鸡内金,白茅根
冰片,血竭,没药,乳香,樟脑,茶油清
冰片,血竭,香油,乳香,没药,三七
血竭,乳香,没药,三七,土鳖虫,自然铜
血竭,马钱子,没药,乳香,土鳖虫,自然铜
血竭,乳香,没药,三七,土鳖虫,赤芍
没药,乳香,山甲,花粉,皂刺,蜈蚣
银花,没药,乳香,连翘,血余,白芷
芥菜花1味
麻黄素,葡萄糖粉,辛夷花,鹅不食草
核桃仁
核桃仁
没药,乳香,白芷,蓖麻子仁,大黄,老葱
乳香,白胶香,白芷,定粉,白蔹
十,一十,木通,栀子,滑石,大黄
紫苏,大腹皮,木瓜,砂仁,槟榔,麦门冬
芙蓉叶,白芷,天南星,紫金皮,独活
山柰,官桂,麝香,红花,川芎,升麻
瓜子,牡丹,桃仁,大黄,皮硝
瓜子,牡丹,桃仁,大黄,皮硝
葶苈,木通,大黄,莽草
蒲公英,银花,乳香,赤芍,木鳖子,白芷
白酒,麻子仁,大豆,乌蛇
白酒,杉木节,牛蒡,大麻仁,地骨皮,丹参
蒲公英,银花,野菊花,连翘,地丁,草河车
冰片,熊胆,白菊花,木鳖子,黄柏,青葙子
冰片,银花,熊胆,硼砂,车前子,炉甘石
香油,核桃仁,蝈蝈,牛胆
月石,胖大海,海浮石,诃子
马钱子,胡连,穿山甲,蜂房,刺猬皮,荆芥
秦皮,犀角屑,朱砂,前胡,细辛,升麻
粳米,茯苓
黄苓,炒白芍,栀子,川芎,泽泻,麦门冬
芙蓉叶,榆面,大黄,皮硝
芙蓉叶,冰片,黄柏,泽兰叶,黄连,大黄
芙蓉叶,冰片,黄柏,黄连,大黄,番泻叶
绿豆,秦皮,连翘,白芷,夏枯草,蝉蜕
绿豆,秦皮,连翘,白芷,夏枯草,蝉蜕
赤芍,穿山甲,夏枯草,桃仁,红花,三棱
蒲公英,赤芍,大青叶,丹皮,黄芩,甘草
肿节风浸膏,薄荷,薄荷
银花,红藤,薏仁,桃仁,三颗针,大黄
两背针,50,高粱酒,苏木,食用乙醇,红花
金银花,赤小豆,赤芍,车前子,连翘,鸡血藤
车前子,太子参,猪苓,党参,泽泻,五加皮
连翘,甘草3寸半,青皮,陈皮
抱鸡蛋壳
葶苈,防己,甘草
白酒,瓜蒌,甘草
冬瓜皮,西瓜皮,赤小豆,玉米须,白茅根
硼砂,熊胆,炉甘石,梅片,麝香,琥珀
冰片,血竭,没药,乳香,白信,五灵脂
冰片,硼砂,西瓜霜,黄柏,贝母,山豆根
金银花,连翘,牛蒡,花粉,皂刺,栀子
没药,乳香,栝楼,甘草,当归
蒲公英,没药,柴胡,川朴,三仙,白芍
岗梅,金钱风,毛冬青,山芝麻,牛膝
赤芍,桃仁,三棱,莪术,丹参
冰片,雄黄,滑石,朱砂面,甘草
铜绿,胆矾,新针,甘石,归尾,乌梅
金银花,赤芍,木通,皂刺,龙胆草,吴萸
冰片,乳没,草乌,硇砂,麝香,天南星
五倍子,白矾,葱白,小麦,朴消
银花,赤芍,黄柏,牛蒡,栀子,升麻
赤小豆,青盐,黄柏,大黄,麒麟竭,黄连
金银花,赤芍,连翘,柴胡,桔梗,羌活
银花,赤芍,连翘,黄柏,薄荷,花粉
食盐,鲜黄花菜
冬瓜皮,生姜皮,茯苓皮,白糖,黄芪,枣仁
清油,零陵香,黄蜡,天麻,芎,地黄
大戟,甘遂,陈曲,麦蘖,陈皮,陈皮
五倍子,黄丹,白芷,枯矾,雄黄,陈米醋
冰片,儿茶,甘石,红粉,轻粉,元连
马钱子,穿山甲,黑附子
连翘,贝母,木通,茵陈,大黄,山栀仁
粳米,陈葫芦粉
冬瓜皮,西瓜皮,葫芦壳,枣仁
橘核,乳香,穿山甲,昆布,荔枝核,肉桂
金银花,薏仁,木通,木瓜,皂角,红花
白酒,红蓝花
酒精,75,红花
冰片,白芷,贝母,松香,轻粉,潮脑
赤芍,白及,红花,防风,当归
冰片,硼砂,鸡内金,枯矾,麝香,青黛
冰片,棉胭脂,枯矾面
冰片,西瓜霜,元明粉,月石,石膏,朱砂
血竭,海藻,五灵脂,京墨,麝香,琥珀
白芷,郁金,天南星,大黄
黄丹,油,木鳖子,白芷,木通,垂柳枝
儿茶,熊胆,梅片,血琥珀,珍珠,丹参
没药,乳香,黑丑,琥珀,白丑,槟榔
獾油,冰片面
獾油,地榆,石膏,大黄
没药,乳香,雄黄,黄米,蜈蚣,菖蒲
冰片,血竭,香油,没药,乳香,黄丹
冰片,乳香,三七,自然铜,土鳖虫,当归
乳香,三七,土鳖虫,自然铜,当归
冰片,血竭,没药,乳香,儿茶,自然铜
外盖纱布,活蚯蚓数条,胶布固定,贴敷患处,6次,用纱布蘸透此液
茯苓皮,车前子,金钱草,炮甲,黄芪,泽兰
金银花,没药,乳香,连翘,穿山甲,白芷
姜黄,白芷,花粉,芍药
赤芍,白芷,郁金,花粉
槐角,地榆,黄芩,当归,防风,枳壳
没药,乳香,苏木,栝楼,忍冬,甘草
五倍子
冰片,西瓜霜,熊胆,玄明粉,人指甲,雄黄
没药,乳香,赤芍,贝母,木通,花粉
葶苈,红芽大戟,甘遂,灵脂,豆豉,石榴
葶苈,大戟,甘遂,灵脂,芫花,江子霜
祛湿药膏,化毒散
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,雄黄,桃仁,蛇床子,川椒
鸡蛋
鲫鱼,冬瓜
野菊花,薄荷,白茅根,贝母
蒲公英,红藤,大黄,厚朴
淮地,薄荷,川乌
冰片,硼砂,雄黄,硇砂,火消,僵蚕
鲜金针菜根,猪蹄
干蟾皮不拘多少
川军,山甲,明雄,全蝎,朱砂,蜈蚣
山菊花,黄柏,栀子,黄连,黄芩
叶子雌黄,郁金,麝香,大黄,黄连,槟榔
三七,马钱子霜,金刚莲,接骨木,红花,五加皮
三七,马钱子霜,金刚莲,见血清,捆仙绳,18厘米
冰片,枪消,牙皂,蒲黄,僵蚕
元明粉,京红粉,轻粉
芙蓉叶,大青叶,人中黄,青黛
冰片,连翘,白芷,薄荷,松香,天南星
蟾酥,雄黄,朱砂,丁香
蒲公英,银花,赤芍,连翘,薄荷,花粉
银花,赤芍,连翘,白芷,薏仁,花粉
蒲公英,金银花,川军,赤芍,赤小豆,连翘
白菊花
花椒,生葱,陈酒糟,广胶,葱白,艾叶
香油,章丹
金银花,连翘,黄连,山栀,丹皮,黄芩
车前子,肉桂,茱萸,泽泻,山药,丹皮
橘核,川军,金铃子,胡芦巴,乌药,玄胡
血竭,没药,乳香,土鳖虫,自然铜,发灰
花椒,黄丹,槐枝,大蒜头,葱白,生姜
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,木鳖子,自然铜,骨碎补,虎骨随多少,羊胫骨灰
发灰,小黄米面,皂角末
冰片,没药,乳香,熊胆,青鱼胆,黄柏
鸡内金,薄荷,栀子,黄连,升麻
没药,乳香,葱,白胶香,清油,木鳖子
乌药,穿山甲,红花,川芎,泽泻,独活
蒲公英,赤芍,元参,马勃,瓜蒌,薄荷
车前子,官桂,泽泻,茱萸,山药,丹皮
西瓜霜,珠粉,西黄,琥珀
白果,白茅根,地肤子,桑白皮,肉桂,黄芪
昆布,海藻,木通,白僵蚕,黄连,半夏
没药,乳香,紫苏,黄柏,薄荷,红粉
薄荷,黄柏,青黛,苏叶,杏仁,苍术
没药,乳香,黄柏,薄荷,轻粉,红粉
冰片,月石,贝母,滑石,朱砂,龙骨
没药,乳香,马钱子粉,麻黄
没药,乳香,土鳖虫,自然铜,麻黄,马前子
醋2500毫升,半夏
大独活,西秦艽,广地龙,骨碎补,威灵仙,海桐皮
3克,或,9克,9克,萝卜子,枳壳
鸡蛋,细盐,龙衣
冰片,蝙蝠
冰片,西瓜霜,马勃,麝香,青黛,蒲黄
粳米,鹿头肉,香子,蔓荆子,高良姜
冬瓜,鲤鱼头
黄丹,蛇床人,蛇蜕皮,乱发,黄蜡,露蜂房
冰片,血竭,没药,乳香,熊胆,儿茶
银花,红藤,桃仁,炙山甲,川楝,皂角刺
金银花,蒲公英,连翘,红藤,夏枯草,贝母
银花,赤芍,连翘,白芷,黄柏,花粉
金银花,赤芍,连翘,白芷,黄柏,花粉
连翘,荠苨,桑白皮,桔梗,前胡,人参
鲜萝卜缨
粳米,绿豆
绿豆,白糖
葶苈,贝母,桑白皮,紫菀,人参,五味子
蟾酥,乳香,雄黄,硇砂,麝香,金顶砒
蟾酥,血竭,没药,轻粉,龙脑,金脚信
蟾酥,血竭,胆矾,麝香,京墨,朱砂
蟾酥,血竭,胆矾,麝香,京墨,朱砂
昆布,天葵子,海石,贝母,牡蛎
赤芍,炒桃仁,刘寄奴,大黄,生地,枳壳
没药,乳香,自然铜,黄丹,木鳖子,草乌
葱,赤芍,紫苏,黄柏,玄胡,大茴
黄柏,栀子,雄黄,大黄,黄连,甘草
冬瓜皮,车前子,建泽泻,蝼蛄虫,姜川朴,官桂
蟾酥,西丹参,珠粉,飞腰黄,飞朱砂,麝香
冰片,蟾酥,雄黄,珍珠,丹参,丁香
芙蓉叶,草乌,野芋头,天南星,川乌
大麻子仁,大黄
大米,白茅根
葶苈,商陆根,海藻,蜀漆,泽泻,栝楼
冰片,蟾酥,血竭,葶苈,没药,乳香
生姜皮,车前子,川萆解,木通,砂仁,莪术
粳米,蒲公英
紫草茸,白芷,川芎,藿香,半夏,何首乌
银花,赤芍,连翘,牛蒡,薄荷,川芎
金银花,北豆根,青果,桔梗,麦冬,白芍
紫苏,地肤子,葫芦巴,桃仁,猪苓,泽泻
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,黄连,黄芩,甘草
连翘,白芷,射干,桔梗,柴胡,荆芥
冰片,血竭,没药,乳香,儿茶,赤小豆
闹羊花
芙蓉叶,生川柏,花粉,滑石,大黄,东丹
生清油,茶叶末
赤芍,连翘,黄柏,花粉,栀子,桔梗
赤芍,连翘,黄柏,花粉,栀子,桔梗
金银花,薏仁,地榆,麦冬,玄参,黄芩
金银花,蒲公英,野菊花,连翘,瓜蒌,生地
蒲公英,金银花,赤芍,车前子,连翘,地丁
金银花,连翘,川芎,黄连,山栀,地黄
连翘,薄荷,牛蒡,栀子,桔梗,荆芥
金银花,玄明粉,连翘,薄荷,鼠粘子,栀子
芙蓉叶,赤小豆,白芷,黄柏,雄黄,白及
冰片,血竭,没药,乳香,儿茶,麝香
金银花,麦冬,生地,甘菊花,熟地
姜黄,白芷,黄柏,花粉,天南星,大黄
白酒,如意草
赤芍,海藻,昆布,鸡血藤,柴胡,香附
连翘,元参,桅子,鼠粘子,花粉,桔梗
冰片,血竭,三七,薄荷,樟脑,麝香
冰片,血竭,没药,乳香,儿茶,自然铜
乌药,贝母,人参,香附,远志,枣仁
白酒,苏木
没药,栝楼,人参,甘草,当归
续随子,红芽大戟,文蛤,山慈菇,麝香
金银花,没药,乳香,白芷,贝母,花粉
酸石榴,甜石榴,清酒,苍耳子,羌活,党参
车前子,车前草,生枳,薏仁,蝉衣,荆芥
冰片,黄柏,虎杖
白芷,黄柏,郁金,白及,轻粉,大黄
紫苏,官桂,五灵脂,砂仁,莪术,人参
樟冰,如意金黄散
金银花,赤芍,牛蒡,山豆根,射干,桔梗
大腹子,木瓜,草果仁,木香,甘草,茯苓
芙蓉叶,黄柏,泽兰叶,黄连,大黄,黄芩
黄柏末,大黄末,雄黄,丹参
草乌,狼毒,天南星,半夏
粳米,商陆
大梅片,硼砂,西丹参,马勃,血琥珀,青鱼胆
马钱子,枳壳
连翘,薄荷,白芷,黄柏,栀子,桔梗
白菊花,北防风,黄柏,骨碎补,石膏,白蒺藜
芙蓉叶,五倍子,赤小豆,草乌,白及,川乌
芙蓉叶,薄荷,耳草叶,泽兰叶,金桐叶,大黄
没药,琥珀,麝香,桂心,细辛,当归
葶苈,辣桂,猪苓,木通,滑石,泽泻
葶苈,贝母,桑白皮,紫菀,人参,五味子
没药,乳香,白芷,透骨草,木瓜,骨碎补
连翘,薄荷,大力子,夏枯草,莱菔,僵蛹
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,滑石,泽泻,茯神,茯苓
赤小豆,白樟柳根,木香,陈皮
没药,乳香,黄柏,骨碎补,白及,肉桂
穿山甲,猪蹄蜕,蚕蜕,蝉蜕,川乌,荆芥
穿山甲,白芷,生地,当归,黄耆
赤芍,连翘,牛蒡,水牛角浓缩粉,青黛,桔梗
生姜皮,茯苓皮,桑白皮,大腹皮,陈皮
蒲公英,银花,野菊花,地丁,紫背天葵子
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,犀角,大黄,玄参,甘草
芙蓉叶,紫荆皮,白芷,骨碎补,天南星,肉桂
葶苈,生姜皮,车前子,猪苓,木通,泽泻
芙蓉叶,五倍子,草乌,天南星,陈小粉,半夏
乳香,上冰片,白及,丹皮
姜黄,散血草,透骨草,黄柏,大黄,香附
通脱木,木通,黑牵牛,滑石,瞿麦,半夏
蒲公英,没药,乳香,木瓜,栀子,大黄
冰片,硼砂,熊胆,寒水石,黄连,孩儿茶
芙蓉叶,蒲公英,金银花,牛蒡,花粉,甘草
连翘,蓖麻仁,夏枯草
银花,白芷,贝母,花粉,柴胡,青皮
连翘,元参,花粉,桔梗,大黄,栝楼
蚯蚓,雄黄,天南星,川乌,荆芥,羌活
金银花,没药,乳香,连翘,瓜蒌,穿山甲
葶苈,大戟,甘遂,商陆,雄黄,桑白皮
乳香,硼砂,雄黄,麝香,1,5克
癞虾蟆草,枳壳
没药,乳香,草乌,木鳖子,五灵脂,麝香
冰片,没药,乳香,赤芍,贝母,雄黄
粳米,青头雄鸭,葱白
没药,乳香,樟冰,甲片,麝香,肉桂
冰片,铜绿,姜黄,胆矾,樟冰,甲片
没药,乳香,赤芍,草乌,牛蒡,白芷
金银花,没药,乳香,赤芍,白芷,贝母
葶苈,松萝,海藻,郁李核仁,通草,桂心
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
制萸肉,石苇,黄芪,山楂,党参,丹参
乌药,乳没,吴萸,肉桂,黄芪,三棱
瓜蒌,白芷,麻黄蓍,白芨,零香,麻油
血竭,白芷,麻油,轻粉,白占,紫草
白芷,杭菊,辛荑花,北芪,苍耳子,木通
蟾酥,雄黄,朱砂,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,泽兰,蝉蜕,羌活,金线重楼
没药,乳香,雄黄,硇砂,麝香,白矾
五倍子,雄黄,红大戟,千金子霜,麝香,山慈姑
没药,乳香,五倍子,肥皂肉
猪苓,大腹皮,桑白皮,贝母,紫菀,麻黄
金银花,地丁,大黄,甘草,当归,芍药
蒲公英,赤芍,白芷,黄柏,桃仁,丹皮
血竭,儿茶,红花,白芍,莲肉,丹皮
土鳖虫,薄荷,樟脑,虎杖,九龙川,横经席
血竭,没药,乳香,儿茶,琥珀,轻粉
