红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
桃仁,玄胡,丹皮,生石膏,银藤,赤芍
丹参,泽兰,鸡血藤,玄胡,没药,元参
蒲公英,川军,冬瓜子,犀黄丸,丹皮,赤小豆
香油,章丹
红花,丹参,赤芍,降香,川芎
自然铜,孩儿牙齿,鸡子,朱砂
桃仁,益母草,红花,黑豆,玄胡,苏木
自然铜,没药,土鳖虫,熟军,血竭,乳香
桃仁,红花,白术,党参,附子,干姜
红花,乌药,茯苓,泽泻,穿山甲,牛膝
桃仁,益母草,芥穗,炙草,炮姜,川芎
没药,荔核,橘核,乳香,瓜蒌,甘草
桃仁,归尾,炮山甲,红花,板蓝根,白术
桃仁,红花,白芍药,熟地黄,川芎,当归
茅根,丹皮,蒲黄,栀子,芍药,生地黄
丹参,茜草,元参,土贝母,白术,生地
酒黄芩,秦皮,丹皮,木通,生地,赤芍
茅根,茜草,鸡血藤,丹皮,仙鹤草,旱莲草
红花,黄耆,茯苓,赤芍,白术1,人参1
红花,丹参,鸡血藤,丹皮,熟地,女贞子
桃仁,红花,丹参,生地,田七,赤芍
自然铜,没药,土鳖虫,乳香,马前子,麻黄
醋,半夏
桃仁,红花,海藻,海金砂,昆布,白芍
泽兰,山栀,郁金,香附,川楝,枳实
丹参,沙参,赤芍,制半夏,五味子,茯苓
没药,凌霄花,赤芍,木香,当归,桂心
红花,五灵脂,生地,赤芍,生姜,赤茯苓
炉甘石,珍珠,麝香,冰片,硼砂,牛黄
丹参,茯苓,薏苡仁,败酱,麦门冬,牡丹
归尾,草决,荆芥,白芍,生地,蒺藜
玄胡,肉桂,槟榔,苍术,三棱,茯苓
丹参,茜草,王不留行,木瓜,茯苓,黄柏
地龙,玄胡,没药,赤小豆,血竭,乳香
红花,归尾,刘寄奴,益母草,酒生地,赤芍
桃仁,泽兰,郁金,瓦楞子,苏梗,新绛
桃仁,泽兰,蒲公英,红花,丹参,没药
地龙,仙灵脾,肉桂,盐黄柏,盐知母,黄芪
丹参,牡蛎,白花蛇舌草,黄芪,白芍,郁金
地龙,丹参,王不留行,皂角刺,川楝,橘叶
丹参,海藻,牡蛎,橘核,昆布,瓜蒌
红花,三七,樟脑,麝香,冰片,独活
桃仁,地龙,红花,没药,灵脂,秦艽
红花,蒲黄,黄芪,三棱,党参,川芎
桃仁,生地,人参,鳖甲,黄芩,甘草
玄胡,广郁金,乳香,白芍,枳实,香附
桃仁,泽兰,红花,酒丹参,牛膝,香附
桃仁,黑姜,炙草,川芎,当归
红花,干葛,香附,防风,细辛,升麻
没药,元胡,灵脂,香附
五灵脂,玄胡,没药,蒲黄,小茴香,赤芍
五灵脂,蒲黄
茅根,半枝莲,金钱草,海金砂,石苇,木通
桃仁,黄连,吴萸,半夏,陈皮
生甘草,干葛,山楂,升麻,僵蚕,蝉蜕
玄胡,蓬术,丹皮,北芍药,川芎,甘草
元胡,藏红花,灵脂,熟军,丹皮,熟地
桃仁,红花,元胡,苍术,威灵仙,制南星
红花,山楂,乌药,泽泻,青皮,香附
桃仁,归尾,红花,丹参,乳香,蕺莱
桃仁,干漆,芍药,桂心,甘草,芎藭
桃仁,蒲黄,大枣,消石,甘草,大黄
桃仁,三棱,白术,赤芍,陈橘皮,鳖甲
桃仁,红花,丹皮,郁金,赤曲,泽兰叶
莪茂,丹皮,人参,牛膝,芍药,川芎
红花,自然铜,没药,苏木,血竭,乳香
没药,肉桂,丹皮,骨碎补,五加皮,乳香
丹参,地龙,鸡血藤,蜈蚣,黄芪,忍冬藤
桃仁,红花,路路通,生地,石菖蒲,丝瓜络
丹参,没药,血竭,乳香,瓜蒌,金银花
桃仁,红花,生地,赤芍,柴胡,牛膝
玄胡,苦楝,地黄,芍药,川芎,当归
玄胡,当归
桃仁,木通,荆芥,白芍,桑白皮,枸杞子
九肋鳖甲,使君子,海藻,干蟾,麦蘖,山茱萸
蒲公英,没药,乳香,木瓜,地鳖虫,栀子
红花,蓬术,透骨草,川山甲,三棱,杏仁
炮山甲,麻仁,苦参,乌梅,五倍子,牡蛎
丹参,三七,山楂,黄芪,郁金,泽泻
茅根,山楂,过路黄,凤尾草
桃仁,自然铜,丹参,玄胡,没药,骨碎补
泽兰,山楂,佛手,牡蛎,茵陈,苍术
虎杖,仙灵脾,半枝莲,仙鹤草,露蜂房,土茯苓
桃仁,没药,金钱草,乳香,三棱,莪术
桃仁,红花,玄参,熟地,生地,木蝴蝶
虎杖,泽兰,蒲公英,酒大黄,土茯苓,板蓝根
虎杖,土鳖虫,樟脑,碎骨木,穿壁风,过江龙
桃仁,地龙,红花,丹参,伸筋草,土鳖虫
槐皮,苦楝皮,雄黄
