藁本,当归,川芎,防风,芍药,地黄,前胡
威灵仙,伸筋草,红花,桃仁,当归,寄生,川芎,续断
茜草,刘寄奴,伸筋草,透骨草,松节,紫草根,昆布,香油
桂枝,当归,防风,桔梗,黄芩,干姜,芎藭,矾石
桃仁,赤芍,当归,桔梗,柴胡,生地,元参,蝉蜕
木瓜,桔梗,槟榔,紫苏,生姜,茱萸,陈皮
元胡,香缘皮,金铃子,吴萸,煅瓦楞,白芍,黄连,柴胡
威灵仙,桃仁,白芍,牛膝,羌活,当归,天麻,双花
橘络,片姜黄,透骨草,丹参,当归,白芥子,鸡血藤膏,苏梗
天麻,羌活,官桂,防风,枣仁,羚羊角,黑附子,甘草
天麻,天南星,羌活,当归,川芎,防风,枣仁,肉桂
茜草,艾叶,丹参,当归,川芎,凌霄花,两头尖,延胡索
桂枝,丹参,阿胶,何首乌,干姜,丹皮,甘草,茯苓
白芍,当归,柴胡,桔梗,黄芩,白芷,白术,半夏
蜈蚣,杭白芍,黄连,全蝎,金银花,石膏,黄芩,葛根
桃仁,益母草,当归,川芎,炒芥穗,炙草,干姜
党参,牛膝,三棱,莪术,白术,甘草,茯苓
威灵仙,山楂,防风,薏仁,山药,海风藤,布渣叶,吊子风
鹿角霜,桃仁,赤芍,白芥子,熟地,玄胡,油桂,麻黄
鸡血藤,蜈蚣,钩藤,天麻,牛膝,寄生,全蝎,僵蚕
地龙,威灵仙,五灵脂,木瓜,赤小豆,乌药,苍术,五加皮
红花,白芍,丹参,牛膝,朱砂,生地,骨碎补,龟板
木瓜,锁阳,羌活,牛膝,当归,远志,续断,防风
木瓜,锁阳,白芍,当归,羌活,牛膝,续断,防风
瓜蒌根,防己,羌活,防风,柴胡,肉桂,川乌,泽泻
威灵仙,续断,当归,牛膝,海桐皮,杜仲,骨碎补,西秦艽
党参,赤芍,黄精,黄耆,丹参,郁金
地龙,乌梢蛇,全虫,蜂房,白花蛇
地龙,五灵脂,草乌,乳香,木鳖子,枫香脂
鹿角霜,木瓜,当归,羌活,牛膝,续断,川芎,黄耆
桃仁,当归,乌药,青皮,陈皮
红花,赤芍,丹参,黄连,生地,玫瑰花,栀子,香附
木瓜,白芍,续断,当归,牛膝,川芎,苍术,龟甲
茜草,木瓜,王不留行,丹参,牛膝,黄柏,薏米仁,清风藤
白芍,大力子,羌活,当归,荆芥,川芎,防风,生地
地龙,牛膝,川芎,玉米须,地骨皮,夏枯草,菊花
鹿角霜,甲珠,水蛭,牛膝,天丁,野南瓜,大伸筋,熟地
党参,白芍,丹参,当归,香附,何首乌,山药,麦芽
乌头,天南星,木香,黑附子
桂枝,蜈蚣,乌梢蛇,川芎,全蝎,草乌,僵蚕,川乌
威灵仙,桂枝,白芍,丹参,当归,葛根,秦艽,米仁
威灵仙,白芍,当归,川芎,葛根,秦艽,细辛,白芷
党参,枣仁,干姜,茱萸,陈皮,半夏,甘草
威灵仙,鸡血藤,桂枝,蜈蚣,橘络,赤芍,白芍,当归
威灵仙,木瓜,五灵脂,牛膝,当归,松节,天麻,续断
羌活,当归,川芎,乌药,防风,香附,麻黄,白芷
红花,桃仁,白芍,当归,川芎,黄连,柴胡,枳壳
桂枝,桃仁,赤芍,郁金,穿山甲,百部,路路通,槟榔
红花,赤芍,桃仁,白芍,当归,川芎,熟地,何首乌
红花,桃仁,牛膝,乌药,柴胡,穿山甲,杜仲,玄胡素
红花,赤芍,桃仁,牛子,白芍,白芥子,当归,天麻
木瓜,蜈蚣,赤芍,川芎,全蝎,黑木耳,乌蛇,葛根
柿霜饼,真辽人参,防风,僵蚕,石膏,麝香,半夏
野芋头等量,天南星,草乌,川乌,半夏
党参,牛膝,三棱,莪术,白术,甘草,茯苓
红花,赤芍,白酒,天南星,羌活,樟脑,路路通,草乌
红花,赤芍,蒲公英,薄荷,蝉蜕,酒军,银花,白蒺藜
蜈蚣,党参,白芍,当归,羌活,黄芪,川芎,防风
鸡血藤,木瓜,白酒,寄生,五加皮,海风藤,络石藤
黄芪,当归,牛膝,防风
大豆,赤芍,干地龙,防己,牛膝,黄柏,萆薢,桑枝
威灵仙,桂枝,红花,桃仁,元胡,防己,天南星,羌活
红花,赤芍,当归,牛膝,川芎,熟地,独活,香附
红花,桃仁,丹参,没药,延胡索,乳香,连翘,银花
五灵脂,九香虫,三七,丹参,延胡索,香附,木香
橘络,蒲公英,橘叶,全瓜蒌,通草,丝瓜络,郁金,青皮
木瓜,红花,透骨草,续断,当归,羌活,没药,防风
鸡血藤,白芍,丹参,当归,牛膝,没药,延胡索,乳香
蝎梢,藁本,黄耆,当归,天麻,川芎,防风,山药
天麻,羌活,当归,牛膝,独活,萆薢,杜仲,地黄
赤芍,金铃子,丹参,砂仁,延胡索,炙刺猬皮,炒九香虫,炒五灵脂
地龙,鸡血藤,蜈蚣,赤芍,丹参,当归,牛膝,干姜
鸡血藤,乌梢蛇,防己,银环蛇,钻地风,豨草,金环蛇,75度纯粮酒
乌梢蛇,酒
红花,赤芍,桃仁,丝瓜络,当归,牛膝,川芎,路路通
地龙,威灵仙,刘寄奴,丹参,川芎,紫草,草河车,浮萍
桃仁,生姜汁2滴,犀角汁20毫升,生地,淡竹沥60毫升,生赤芍,青连翘,丹皮
桂枝,三七,丹参,山楂,冰片,川芎,黄芪,郁金
蚯蚓,天南星,当归,荆芥,羌活,川芎,苍术,防风
木瓜,桂枝,甲珠,赤芍,没药,乳香,秦艽,天仙藤
二郎箭,九头狮子草,老君髯,白花草
赤小豆,晚蚕沙,防己,薏仁,山栀,连翘,杏仁,滑石
地龙,五灵脂,桂枝,赤芍,当归,川芎,官桂,荆芥
鸡血藤,党参,赤芍,当归,牛膝,黄芪,没药,薏仁
鹿角霜,甲珠,水蛭,锁阳,片子姜黄,熟地,香附,黄明胶
桃仁,党参,炮山甲粉,地鳖虫,玉米须,栀子,龙胆草,阿胶
桂枝,益母草,丹参,川芎,五味子,生地,北沙参,南沙参
当归,川芎,芍药,桔梗,枳壳,人参,甘草,茯苓
夜交藤,白糖,粳米,枣仁
木瓜,白芍,当归,防风,熟地,蜜黄耆,肉桂,阿胶
地龙,天南星,羌活,天麻,荆芥,川芎,没药,防风
赤芍,黄精,山楂,佛手,五味子,金樱子,何首乌,淮山
5条,当归,30克,30克,30克,30克,于术,人参
当归,没药,乳香,厚朴,白术,陈皮
红花,赤芍,桃仁,黄耆,山甲,皂刺
地龙,威灵仙,片姜黄,寄生,三七,赤芍,丹参,龟甲
地龙,威灵仙,鸡血藤,木瓜,蜈蚣,伸筋草,桃仁,红花
