藁本,当归,川芎,防风,芍药,地黄,前胡
瓜蒌根,防己,羌活,防风,柴胡,肉桂,川乌,苦参
威灵仙,续断,当归,牛膝,海桐皮,杜仲,骨碎补,大独活
赤芍,党参,黄耆,丹参,郁金,黄精
地龙,乌梢蛇,蜂房,全虫,白花蛇
地龙,五灵脂,草乌,乳香,木鳖子,枫香脂
鹿角霜,木瓜,当归,续断,川芎,乌药,牛膝,羌活
桃仁,乌药,当归,青皮,陈皮
赤芍,红花,丹参,黄连,生地,香附,栀子,玫瑰花
木瓜,白芍,续断,当归,川芎,苍术,牛膝,龟甲
王不留行,茜草,木瓜,丹参,牛膝,黄柏,薏米仁,地鳖
白芍,大力子,当归,川芎,荆芥,羌活,防风,生地
地龙,川芎,牛膝,玉米须,地骨皮,夏枯草,菊花
鹿角霜,水蛭,甲珠,野南瓜,大伸筋,天丁,牛膝,熟地
党参,白芍,丹参,当归,香附,山药,何首乌,麦芽
乌头,天南星,木香,黑附子
桂枝,乌梢蛇,蜈蚣,川芎,全蝎,草乌,炒地龙,僵蚕
威灵仙,桂枝,白芍,丹参,当归,秦艽,葛根,米仁
威灵仙,白芍,当归,川芎,秦艽,葛根,细辛,白芷
党参,干姜,枣仁,茱萸,甘草,半夏,陈皮
威灵仙,鸡血藤,橘络,桂枝,蜈蚣,赤芍,白芍,当归
威灵仙,木瓜,五灵脂,天麻,当归,牛膝,松节,乌药
乌药,当归,川芎,羌活,防风,香附,麻黄,白芷
桃仁,红花,白芍,当归,川芎,黄连,柴胡,青皮
桂枝,赤芍,桃仁,路路通,郁金,穿山甲,百部,皂角刺
赤芍,桃仁,红花,白芍,当归,川芎,熟地,何首乌
桃仁,红花,乌药,牛膝,柴胡,穿山甲,玄胡素,杜仲
赤芍,牛子,桃仁,红花,白芍,天麻,白芥子,当归
木瓜,蜈蚣,赤芍,川芎,全蝎,乌蛇,自然铜,黑木耳
真辽人参,柿霜饼,防风,僵蚕,麝香,石膏,半夏
野芋头等量,天南星,草乌,川乌,半夏
党参,牛膝,莪术,三棱,甘草,茯苓,白术
赤芍,白酒,红花,天南星,路路通,羌活,樟脑,草乌
赤芍,蒲公英,红花,薄荷,蝉蜕,酒军,银花,白蒺藜
党参,蜈蚣,白芍,黄芪,当归,川芎,羌活,防风
鸡血藤,木瓜,白酒,寄生,海风藤,五加皮,络石藤
黄芪,当归,牛膝,防风
赤芍,大豆,防己,干地龙,牛膝,黄柏,白茄根,秦艽
威灵仙,桂枝,桃仁,红花,天南星,元胡,防己,川芎
赤芍,红花,当归,川芎,牛膝,熟地,香附,独活
桃仁,红花,丹参,没药,延胡索,乳香,连翘,银花
五灵脂,三七,丹参,九香虫,延胡索,香附,木香
橘络,蒲公英,全瓜蒌,橘叶,通草,丝瓜络,郁金,白蒺藜
木瓜,透骨草,红花,续断,当归,没药,羌活,防风
鸡血藤,白芍,丹参,当归,没药,牛膝,延胡索,乌蛇
蝎梢,天麻,藁本,黄耆,当归,川芎,防风,山药
天麻,当归,羌活,牛膝,独活,萆薢,杜仲,地黄
赤芍,金铃子,丹参,砂仁,延胡索,炙刺猬皮,炒九香虫,蒲黄
地龙,鸡血藤,赤芍,蜈蚣,丹参,当归,牛膝,干姜
鸡血藤,乌梢蛇,防己,七叶莲,金环蛇,钻地风,眼镜蛇,银环蛇
乌梢蛇,酒
赤芍,桃仁,红花,路路通,丝瓜络,当归,川芎,牛膝
地龙,威灵仙,刘寄奴,丹参,川芎,琥珀,紫草,草河车
桃仁,生赤芍,生地,犀角汁20毫升,青连翘,生姜汁2滴,淡竹沥60毫升,丹皮
桂枝,三七,丹参,黄芪,川芎,冰片,山楂,郁金
蚯蚓,天南星,苍术,当归,川芎,荆芥,羌活,防风
木瓜,桂枝,赤芍,甲珠,没药,乳香,秦艽,丝瓜
二郎箭,九头狮子草,白花草,老君髯
赤小豆,晚蚕沙,防己,薏仁,山栀,连翘,杏仁,滑石
地龙,桂枝,五灵脂,赤芍,当归,川芎,续断,防风
鸡血藤,党参,赤芍,当归,黄芪,没药,牛膝,海风藤
鹿角霜,水蛭,甲珠,锁阳,片子姜黄,熟地,香附,骨碎补
党参,桃仁,地鳖虫,玉米须,炮山甲粉,阿胶,栀子,龙胆草
桂枝,丹参,益母草,川芎,五味子,生地,南沙参,北沙参
当归,川芎,芍药,桔梗,枳壳,人参,甘草,茯苓
白糖,夜交藤,粳米,枣仁
木瓜,白芍,当归,熟地,防风,蜜黄耆,肉桂,秦艽
地龙,天南星,天麻,川芎,没药,羌活,荆芥,全蝎
赤芍,山楂,五味子,佛手,黄精,何首乌,金樱子,淮山
5条,于术,当归,30克,30克,30克,30克,人参
当归,没药,乳香,厚朴,陈皮,白术
赤芍,桃仁,山甲,红花,黄耆,皂刺
地龙,威灵仙,寄生,三七,赤芍,片姜黄,丹参,天麻
地龙,威灵仙,鸡血藤,木瓜,蜈蚣,桃仁,伸筋草,红花
