丹参,莲子心,川芎,甘草,当归
没药,乳香,黄蜡,雄黄,轻粉
板蓝根,糖粉,菠萝香精油,淀粉
黄蘖,寒水石,石膏,甘草
没药,松香,铜绿,乳香,白蜡
香油,没药,血竭,木鳖子,儿茶
金银花,血竭,没药,木鳖子,儿茶
赤小豆,黄丹,白芷,半夏,蒲黄
芙蓉叶,赤芍,五倍子,白芷,赤小豆
冰片,没药,乳香,麝香,前胡
黄柏,寒水石,石膏,甘草
木鳖子,黄柏,花粉,无名异,大黄
九里明,一点红,射干,甘草
乳香,黄丹,麝香,密陀僧,白矾
大戟,甘遂,土狗,芫花,大黄
冰片,黄柏,玄明粉,麝香,白矾
冰片,黄柏,玄明粉,麝香,炒硼砂
冰片,胆矾,硼砂,麝香,人中黄
冰片,硼砂,玄明粉,朱砂
冰片,鸡蛋,黄油
冰片,西丹参,珠粉,熊胆,青鱼胆
梅片,炉甘石,硼砂,琥珀,珠子
冰片,乳香,文蛤,全蝎,雄黄
冬瓜皮,车前子,白茅根,鸡内金,旱莲草
冰片,没药,血竭,乳香,樟脑
冰片,香油,没药,血竭,三七
血竭,没药,三七,乳香,赤芍
马钱子,血竭,没药,乳香,麻黄
没药,血竭,三七,赤芍,乳香
没药,山甲,乳香,花粉,皂刺
银花,没药,乳香,白芷,连翘
芥菜花1味
葡萄糖粉,麻黄素,鹅不食草,辛夷花
核桃仁
核桃仁
没药,乳香,白芷,蓖麻子仁,独活
白胶香,乳香,白芷,定粉,白蔹
十,一十,木通,茯苓,栀子
紫苏,砂仁,茯苓,木瓜,麦门冬
芙蓉叶,白芷,天南星,独活,紫金皮
山柰,麝香,官桂,升麻,红花
瓜子,牡丹,皮硝,桃仁,大黄
瓜子,牡丹,皮硝,桃仁,大黄
葶苈,木通,莽草,大黄
蒲公英,银花,乳香,白芷,赤芍
白酒,麻子仁,大豆,乌蛇
白酒,牛蒡,杉木节,大麻仁,牛膝
蒲公英,银花,连翘,野菊花,地丁
冰片,白菊花,木鳖子,熊胆,黄柏
冰片,银花,茯苓,炉甘石,硼砂
香油,核桃仁,蝈蝈,牛胆
贝母,天南星
月石,海浮石,胖大海,诃子
马钱子,刺猬皮,胡连,穿山甲,蜂房
秦皮,犀角屑,前胡,芎,朱砂
粳米,茯苓
黄苓,炒白芍,茯苓,栀子,麦门冬
芙蓉叶,榆面,大黄,皮硝
冰片,芙蓉叶,黄柏,泽兰叶,大黄
冰片,芙蓉叶,黄柏,番泻叶,大黄
绿豆,秦皮,连翘,泽兰,白芷
绿豆,秦皮,连翘,泽兰,白芷
赤芍,穿山甲,夏枯草,莪术,桃仁
蒲公英,赤芍,大青叶,甘草,丹皮
肿节风浸膏,薄荷,薄荷
银花,薏仁,红藤,三颗针,桃仁
两背针,50,食用乙醇,高粱酒,苏木
金银花,赤小豆,赤芍,车前子,连翘
车前子,太子参,猪苓,茯苓,党参
连翘,甘草3寸半,青皮,陈皮
抱鸡蛋壳
葶苈,防己,甘草
白酒,瓜蒌,甘草
冬瓜皮,白茅根,赤小豆,西瓜皮,玉米须
梅片,炉甘石,硼砂,熊胆,琥珀
冰片,没药,血竭,乳香,白信
冰片,西瓜霜,硼砂,黄柏,贝母
金银花,连翘,牛蒡,花粉,栝楼
没药,乳香,栝楼,甘草,当归
蒲公英,没药,枳壳,柴胡,阿胶
毛冬青,山芝麻,金钱风,岗梅,牛膝
赤芍,莪术,桃仁,三棱,丹参
冰片,滑石,雄黄,朱砂面,甘草
铜绿,胆矾,新针,甘石,归尾
金银花,赤芍,龙胆草,木通,吴萸
冰片,半夏,草乌,乳没,硇砂
五倍子,小麦,白矾,葱白,朴消
银花,赤芍,黄柏,牛蒡,栀子
赤小豆,黄柏,青盐,马牙消,麒麟竭
金银花,赤芍,连翘,升麻,柴胡
银花,赤芍,连翘,黄柏,花粉
食盐,鲜黄花菜
冬瓜皮,白糖,生姜皮,茯苓皮,枣仁
清油,零陵香,芎,黄蜡,地黄
大戟,甘遂,陈曲,麦蘖,陈皮
黄柏,栀子,大黄,当归,黄芩
枯矾,五倍子,白芷,黄丹,蛇床子
冰片,儿茶,甘石,轻粉,龙骨
马钱子,穿山甲,黑附子
茵陈,连翘,贝母,木通,藿香
粳米,陈葫芦粉
冬瓜皮,枣仁,西瓜皮,葫芦壳
橘核,乳香,昆布,穿山甲,莪术
金银花,茯苓,薏仁,木瓜,木通
白酒,红蓝花
酒精,75,红花
冰片,松香,白芷,贝母,轻粉
赤芍,红花,白及,当归,防风
冰片,枯矾,硼砂,鸡内金,青黛
冰片,棉胭脂,枯矾面
冰片,西瓜霜,元明粉,月石,朱砂
血竭,海藻,京墨,琥珀,五灵脂
白芷,郁金,天南星,大黄
油,木鳖子,松脂,白芷,黄丹
梅片,儿茶,熊胆,血琥珀,丹参
没药,乳香,黑丑,琥珀,白丑
獾油,冰片面
獾油,地榆,石膏,大黄
没药,乳香,菖蒲,黄米,雄黄
冰片,香油,没药,血竭,乳香
冰片,乳香,三七,土鳖虫,自然铜
三七,乳香,土鳖虫,自然铜,当归
冰片,没药,血竭,儿茶,乳香
用纱布蘸透此液,胶布固定,活蚯蚓数条,贴敷患处,6次
茯苓皮,车前子,黄芪,泽兰,金钱草
金银花,没药,乳香,白芷,连翘
白芷,花粉,姜黄,芍药
赤芍,白芷,花粉,郁金
槐角,地榆,枳壳,防风,黄芩
没药,乳香,苏木,栝楼,忍冬
五倍子
冰片,西瓜霜,熊胆,玄明粉,人指甲
没药,乳香,赤芍,贝母,花粉
葶苈,甘遂,红芽大戟,灵脂,神曲
葶苈,大戟,甘遂,灵脂,芫花
化毒散,祛湿药膏
没药,乳香,草乌,浮石,巴豆
五倍子,枯矾,蛇床子,川椒,桃仁
鸡蛋
冬瓜,鲫鱼
贝母,野菊花,薄荷,白茅根
蒲公英,红藤,厚朴,大黄
淮地,薄荷,川乌
冰片,硼砂,硇砂,火消,雄黄
鲜金针菜根,猪蹄
干蟾皮不拘多少
川军,山甲,明雄,全蝎,朱砂
黄柏,山菊花,栀子,黄连,黄芩
叶子雌黄,麝香,郁金,黄连,槟榔
三七,马钱子霜,金刚莲,接骨木,红花
三七,金刚莲,马钱子霜,捆仙绳,见血清
冰片,牙皂,枪消,蒲黄,僵蚕
元明粉,京红粉,轻粉
芙蓉叶,青黛,大青叶,人中黄
冰片,松香,白芷,连翘,薄荷
蟾酥,丁香,雄黄,朱砂
蒲公英,银花,赤芍,连翘,花粉
银花,白芷,赤芍,连翘,花粉
蒲公英,金银花,川军,赤小豆,赤芍
白菊花
花椒,生葱,陈酒糟,广胶,葱白
香油,章丹
金银花,连翘,山栀,黄连,丹皮
车前子,茯苓,肉桂,茱萸,地黄
橘核,川军,乌药,胡芦巴,玄胡
血竭,没药,乳香,发灰,桃仁
花椒,黄丹,大蒜头,槐枝,生姜
马钱子,草乌,枳壳
没药,乳香,苏木,好麻
没药,木鳖子,茯苓,川乌,骨碎补
小黄米面,皂角末,发灰
冰片,没药,乳香,黄柏,熊胆
鸡内金,薄荷,栀子,升麻,黄连
没药,木鳖子,葱,乳香,白胶香
乌药,穿山甲,茯苓,红花,独活
蒲公英,赤芍,瓜蒌,马勃,元参
车前子,官桂,茯苓,茱萸,山药
西瓜霜,珠粉,西黄,琥珀
白果,地肤子,白茅根,黄芪,桑白皮
昆布,海藻,木通,茯苓,黄连
没药,乳香,紫苏,黄柏,薄荷
黄柏,薄荷,苏叶,青黛,杏仁
没药,乳香,黄柏,薄荷,苏叶
冰片,贝母,月石,滑石,朱砂
没药,乳香,麻黄,马钱子粉
没药,乳香,麻黄,马前子,土鳖虫
醋2500毫升,半夏
大独活,西秦艽,广地龙,狗脊,牛膝
或,3克,9克,9克,枳壳
鸡蛋,细盐,龙衣
冰片,蝙蝠
冰片,西瓜霜,马勃,青黛,麝香
粳米,蔓荆子,香子,鹿头肉,高良姜
冬瓜,鲤鱼头
蛇床人,黄丹,玄参,乱发,蛇蜕皮
冰片,没药,血竭,儿茶,硼砂
银花,红藤,炙山甲,桃仁,川楝
蒲公英,金银花,连翘,贝母,夏枯草
银花,白芷,赤芍,连翘,黄柏
金银花,白芷,赤芍,连翘,花粉
荠苨,连翘,桑白皮,人参,茯苓
鲜萝卜缨
粳米,绿豆
白糖,绿豆
葶苈,贝母,桑白皮,人参,茯苓
蟾酥,乳香,硇砂,麝香,丁香
蟾酥,没药,血竭,麝香1字,金脚信
血竭,蟾酥,胆矾,京墨,麝香
血竭,蟾酥,胆矾,京墨,麝香
贝母,昆布,海石,天葵子,牡蛎
赤芍,炒桃仁,刘寄奴,枳壳,生地
没药,木鳖子,乳香,白芷,蓖麻子
葱,赤芍,紫苏,半夏,黄柏
冬瓜皮,车前子,官桂,急性子,建泽泻
蟾酥,西丹参,珠粉,飞腰黄,飞朱砂
冰片,蟾酥,雄黄,珍珠,丁香
芙蓉叶,草乌,野芋头,川乌,天南星
大麻子仁,大黄
大米,白茅根
葶苈,海藻,商陆根,栝楼,蜀漆
冰片,葶苈,蟾酥,没药,血竭
生姜皮,车前子,砂仁,川萆解,莪术
蒲公英,粳米
紫草茸,白芷,茯苓,藿香,地黄
银花,赤芍,连翘,牛蒡,薄荷
金银花,北豆根,青果,桔梗,麦冬
紫苏,葫芦巴,地肤子,茯苓,猪苓
冰片,白糖,大蚯蚓
赤芍,连翘,黄柏,黄连,甘草
连翘,白芷,射干,荆芥,柴胡
冰片,没药,血竭,儿茶,赤小豆
闹羊花
芙蓉叶,滑石,花粉,生川柏,东丹
茶叶末,生清油
赤芍,连翘,花粉,黄柏,地黄
赤芍,连翘,花粉,黄柏,地黄
金银花,薏仁,地榆,麦冬,玄参
蒲公英,金银花,连翘,野菊花,瓜蒌
蒲公英,金银花,赤芍,车前子,连翘
金银花,连翘,地黄,山栀,黄连
连翘,牛蒡,薄荷,荆芥,前胡
金银花,连翘,玄明粉,薄荷,鼠粘子
芙蓉叶,白芷,赤小豆,黄柏,紫车前
冰片,没药,血竭,儿茶,乳香
金银花,麦冬,甘菊花,生地,熟地
白芷,黄柏,花粉,姜黄,天南星
白酒,如意草
赤芍,昆布,海藻,鸡血藤,柴胡
连翘,花粉,元参,白术,桅子
冰片,血竭,三七,薄荷,地黄
冰片,没药,血竭,儿茶,乳香
白酒,苏木
没药,人参,栝楼,甘草,当归
续随子,红芽大戟,山慈菇,麝香,文蛤
金银花,没药,乳香,白芷,贝母
甜石榴,酸石榴,清酒,苍耳子,羌活
车前子,车前草,生枳,白术,薏仁
冰片,黄柏,虎杖
白芷,黄柏,郁金,轻粉,白及
紫苏,砂仁,人参,官桂,莪术
如意金黄散,樟冰
金银花,赤芍,牛蒡,射干,桔梗
大腹子,木瓜,茯苓,草果仁,黑附子
芙蓉叶,黄柏,泽兰叶,大黄,黄连
黄柏末,大黄末,雄黄,丹参
草乌,狼毒,半夏,天南星
粳米,商陆
大梅片,硼砂,西丹参,贝母,血琥珀
马钱子,枳壳
连翘,白芷,黄柏,薄荷,栀子
白菊花,北防风,黄柏,地黄,骨碎补
芙蓉叶,五倍子,半夏,赤小豆,草乌
芙蓉叶,薄荷,耳草叶,金桐叶,牛膝
没药,琥珀,桂心,麝香,细辛
葶苈,茯苓,猪苓,辣桂,木通
葶苈,贝母,桑白皮,人参,茯苓
没药,乳香,透骨草,白芷,木瓜
连翘,薄荷,莱菔,僵蛹,夏枯草
粳米,桃花瓣
没药,乳香,硇砂,糯米,丁香
白酒,天天果
灯心草,猪苓,茯苓,滑石,茯神
赤小豆,白樟柳根,陈皮,木香
没药,乳香,黄柏,肉桂,生地
猪蹄蜕,蚕蜕,穿山甲,粉草,荆芥
白芷,穿山甲,生地,黄耆,当归
赤芍,连翘,牛蒡,地黄,青黛
生姜皮,茯苓皮,桑白皮,陈皮,大腹皮
蒲公英,银花,野菊花,紫背天葵子,地丁
没药,乳香,雄精,麝香
冰片,西瓜霜,薄荷,薄荷
升麻22,玄参,犀角,大黄,甘草
芙蓉叶,白芷,紫荆皮,橙橘叶,天南星
生姜皮,葶苈,车前子,猪苓,枳壳
芙蓉叶,五倍子,半夏,草乌,天南星
乳香,上冰片,白及,丹皮
黄柏,透骨草,散血草,姜黄,苍术
通脱木,瞿麦,茯苓,木通,黑牵牛
蒲公英,没药,乳香,木瓜,栀子
冰片,硼砂,寒水石,熊胆,赤石脂
蒲公英,芙蓉叶,金银花,花粉,牛蒡
蓖麻仁,连翘,夏枯草
银花,白芷,贝母,花粉,柴胡
连翘,花粉,元参,茯苓,栝楼
蚯蚓,麻黄,荆芥,天南星,羌活
金银花,没药,乳香,瓜蒌,连翘
葶苈,大戟,甘遂,茯苓,桑白皮
乳香,硼砂,麝香,雄黄,15克
癞虾蟆草,枳壳
没药,木鳖子,乳香,草乌,五灵脂
冰片,没药,乳香,赤芍,贝母
粳米,青头雄鸭,葱白
没药,乳香,樟冰,甲片,麝香
冰片,铜绿,胆矾,樟冰,甲片
没药,乳香,黑附子,白芷,赤芍
金银花,没药,乳香,白芷,赤芍
葶苈,海藻,松萝,桂心,通草
败酱,薏仁,黑附子
瓜蒌仁,薏仁,桃仁,白芍,丹皮
黑牵牛头末,茴香
石苇,制萸肉,茯苓,黄芪,山楂
乌药,乳没,莪术,黄芪,吴萸
瓜蒌,白芷,零香,麻黄蓍,白芨
血竭,白芷,麻油,轻粉,白占
杭菊,辛荑花,白芷,北芪,苍耳子
蟾酥,雄黄,朱砂,甘草
金银花,硼砂,山豆根,甘草
金银花,赤芍,泽兰,蝉蜕,金线重楼
没药,乳香,硇砂,麝香,朱砂1
五倍子,红大戟,千金子霜,山慈姑,麝香
没药,五倍子,乳香,肥皂肉
金银花,地丁,大黄,甘草,黄耆
蒲公英,茯苓,白芷,赤芍,黄柏
血竭,儿茶,茯苓,红花,白芍
薄荷,莪术,五味子,鹰不扑,朱砂根
没药,血竭,儿茶,乳香,琥珀
