红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
丹参,茜草,三七,降香,赤芍
丹参,三七,益母草,香附,党参,当归
桃仁,红花,五灵脂,没药,当归尾,元胡索
香油,茜草,刘寄奴,伸筋草,松节,透骨草
鸡血藤,双花,元参,乳香,土茯苓,甘草
桃仁,玄胡,丹皮,银藤,生石膏,水蛭
丹参,泽兰,玄胡,没药,鸡血藤,元参
蒲公英,败酱草,川军,犀黄丸,冬瓜子,丹皮
香油,章丹
丹参,红花,降香,赤芍,川芎
自然铜,孩儿牙齿,鸡子,朱砂
桃仁,红花,黑豆,玄胡,益母草,泽兰叶
没药,自然铜,熟军,土鳖虫,血竭,乳香
桃仁,红花,白术,甘草,党参,附子
红花,泽泻,乌药,穿山甲,牛膝,当归
桃仁,益母草,芥穗,炮姜,炙草,当归
没药,乳香,瓜蒌,荔核,橘核,当归
桃仁,红花,归尾,炮山甲,板蓝根,熟地
桃仁,红花,白芍药,熟地黄,当归,川芎
茅根,丹皮,蒲黄,栀子,芍药,甘草
丹参,茜草,元参,白术,土贝母,黄柏
秦皮,酒黄芩,丹皮,赤芍,木通,生地
茅根,茜草,鸡血藤,丹皮,仙鹤草,旱莲草
红花,黄耆,人参1,白术1,地锦草,赤芍
丹参,红花,鸡血藤,丹皮,熟地,桑椹
桃仁,丹参,红花,田七,赤芍,生地
没药,自然铜,土鳖虫,乳香,马前子,麻黄
醋,半夏
桃仁,红花,海藻,昆布,海金砂,冬葵
泽兰,山栀,郁金,川楝,香附,枳实
丹参,五味子,赤芍,沙参,麦冬,制半夏
没药,赤芍,凌霄花,当归,木香,桂心
红花,五灵脂,赤芍,生地,赤茯苓,甘草
炉甘石,珍珠,硼砂,麝香,牛黄,冰片
丹参,薏苡仁,牡丹,败酱,麦门冬,芍药
归尾,草决,黄连,蒺藜,生地,荆芥
玄胡,三棱,肉桂,莪术,青皮,丁皮
丹参,茜草,王不留行,黄柏,地鳖,清风藤
地龙,玄胡,没药,赤小豆,血竭,乳香
红花,归尾,刘寄奴,酒生地,益母草,赤芍
桃仁,泽兰,郁金,瓦楞子,参三七,新绛
桃仁,丹参,红花,泽兰,蒲公英,败酱草
地龙,仙灵脾,盐知母,盐黄柏,泽泻,熟地
丹参,牡蛎,三棱,郁金,白花蛇舌草,黄芪
丹参,地龙,王不留行,橘叶,皂角刺,川楝
丹参,海藻,牡蛎,昆布,三棱,橘叶
红花,三七,樟脑,龙血竭,薄荷脑,地黄
桃仁,红花,地龙,没药,灵脂,香附
红花,蒲黄,三棱,黄芪,党参,当归
桃仁,生地,甘草,鳖甲,当归,人参
玄胡,乳香,香附,广郁金,柴胡,枳实
桃仁,红花,泽兰,当归尾,酒丹参,香附
桃仁,黑姜,炙草,当归,川芎
红花,干葛,香附,甘草,苏叶,细辛
没药,元胡,灵脂,香附
玄胡,五灵脂,没药,蒲黄,小茴香,赤芍
五灵脂,蒲黄
茅根,半枝莲,金钱草,石苇,海金砂,三棱
桃仁,吴萸,黄连,陈皮,半夏
生甘草,干葛,山楂,僵蚕,当归,升麻
玄胡,蓬术,丹皮,北芍药,甘草,当归
元胡,熟军,藏红花,灵脂,丹皮,三棱
桃仁,红花,元胡,威灵仙,制南星,防己
红花,泽泻,山楂,当归尾,香附,乌药
桃仁,丹参,红花,归尾,乳香,蕺莱
桃仁,芍药,干漆,甘草,当归,芎藭
桃仁,蒲黄,大枣,消石,甘草,大黄
桃仁,三棱,赤芍,白术,鳖甲,当归
桃仁,红花,丹皮,山栀,郁金,泽兰叶
莪茂,丹皮,人参,芍药,牛膝,当归
红花,自然铜,没药,乳香,苏木,血竭
没药,丹皮,乳香,肉桂,黄柏,骨碎补
丹参,地龙,鸡血藤,蜈蚣,黄芪,络石藤
桃仁,红花,路路通,丝瓜络,赤芍,柴胡
丹参,没药,乳香,血竭,柴胡,公英
桃仁,红花,赤芍,生地,柴胡,甘草
玄胡,苦楝,芍药,地黄,当归,川芎
玄胡,当归
桃仁,枸杞子,辰砂,青龙齿,制香附,荆芥
使君子,麦蘖,海藻,干蟾,九肋鳖甲,黄连
没药,蒲公英,乳香,地鳖虫,木瓜,栀子
红花,蓬术,杏仁,透骨草,川山甲,三棱
炮山甲,麻仁,苦参,牡蛎,五倍子,乌梅
丹参,三七,泽泻,郁金,黄芪,山楂
茅根,过路黄,凤尾草,山楂
桃仁,丹参,自然铜,玄胡,没药,泽兰叶
泽兰,山楂,牡蛎,王不留行,白术,茵陈
虎杖,仙灵脾,半枝莲,露蜂房,仙鹤草,鹿衔草
桃仁,没药,金钱草,乳香,三棱,薏苡仁
桃仁,红花,熟地,杷叶,木蝴蝶,麦冬
虎杖,泽兰,蒲公英,板蓝根,酒大黄,茵陈
虎杖,土鳖虫,樟脑,鹰不扑,徐长卿,穿壁风
桃仁,丹参,红花,土鳖虫,地龙,伸筋草
槐皮,苦楝皮,雄黄
