藁本,当归,川芎,防风,芍药,地黄,前胡
鹿角霜,桃仁,赤芍,白芥子,熟地,麻黄,玄胡,油桂
鸡血藤,蜈蚣,天麻,钩藤,牛膝,寄生,全蝎,龙胆草
地龙,威灵仙,五灵脂,木瓜,赤小豆,木鳖子,乌药,苍术
红花,白芍,丹参,牛膝,朱砂,龟板,旋复花,生地
木瓜,羌活,锁阳,牛膝,当归,远志,秦艽,续断
木瓜,白芍,羌活,锁阳,牛膝,当归,秦艽,续断
瓜蒌根,羌活,防己,防风,柴胡,川乌,肉桂,苦参
威灵仙,续断,当归,牛膝,海桐皮,西秦艽,大独活,广地龙
黄精,赤芍,党参,黄耆,丹参,郁金
地龙,乌梢蛇,全虫,白花蛇,蜂房
地龙,五灵脂,草乌,乳香,木鳖子,枫香脂
鹿角霜,木瓜,羌活,牛膝,当归,续断,川芎,苍术
桃仁,当归,乌药,青皮,陈皮
红花,赤芍,丹参,玫瑰花,黄连,栀子,丹皮,生地
木瓜,白芍,续断,当归,牛膝,川芎,苍术,龟甲
茜草,王不留行,木瓜,丹参,牛膝,黄柏,地鳖,薏米仁
大力子,白芍,羌活,荆芥,当归,川芎,秦艽,防风
地龙,川芎,牛膝,玉米须,地骨皮,夏枯草,菊花
鹿角霜,甲珠,水蛭,天丁,野南瓜,牛膝,大伸筋,熟地
党参,白芍,丹参,当归,山药,香附,麦芽,何首乌
乌头,天南星,木香,黑附子
桂枝,蜈蚣,乌梢蛇,川芎,全蝎,草乌,川乌,僵蚕
威灵仙,桂枝,白芍,丹参,当归,秦艽,葛根,米仁
威灵仙,白芍,当归,川芎,秦艽,葛根,细辛,白芷
党参,枣仁,干姜,茱萸,半夏,陈皮,甘草
鸡血藤,威灵仙,橘络,桂枝,蜈蚣,赤芍,白芍,当归
威灵仙,五灵脂,木瓜,天麻,松节,牛膝,当归,续断
当归,羌活,川芎,乌药,防风,香附,麻黄,白芷
红花,桃仁,白芍,当归,川芎,黄连,柴胡,枳壳
桂枝,桃仁,赤芍,郁金,穿山甲,路路通,丹皮,百部
红花,桃仁,赤芍,白芍,当归,川芎,熟地,丹皮
红花,桃仁,牛膝,乌药,穿山甲,柴胡,杜仲,玄胡素
红花,牛子,桃仁,赤芍,白芍,白芥子,天麻,当归
木瓜,蜈蚣,赤芍,川芎,全蝎,乌蛇,黑木耳,葛根
真辽人参,柿霜饼,防风,麝香,僵蚕,石膏,半夏
野芋头等量,天南星,草乌,川乌,半夏
党参,牛膝,三棱,莪术,茯苓,甘草,白术
红花,赤芍,白酒,天南星,羌活,樟脑,草乌,路路通
红花,蒲公英,赤芍,薄荷,银花,酒军,蝉蜕,白蒺藜
蜈蚣,党参,白芍,羌活,当归,黄芪,川芎,秦艽
鸡血藤,木瓜,白酒,寄生,海风藤,五加皮,络石藤
黄芪,当归,牛膝,防风
大豆,赤芍,干地龙,防己,牛膝,秦艽,黄柏,归须
威灵仙,桂枝,桃仁,红花,天南星,防己,羌活,元胡
红花,赤芍,当归,牛膝,川芎,熟地,独活,丹皮
红花,桃仁,丹参,没药,银花,延胡索,乳香,丹皮
五灵脂,九香虫,丹参,三七,延胡索,香附,木香
橘络,丝瓜络,橘叶,全瓜蒌,蒲公英,通草,郁金,白蒺藜
红花,木瓜,透骨草,羌活,续断,当归,没药,防风
鸡血藤,白芍,丹参,当归,牛膝,没药,延胡索,乌蛇
蝎梢,天麻,藁本,当归,黄耆,川芎,防风,山药
天麻,当归,羌活,牛膝,独活,萆薢,地黄,杜仲
金铃子,赤芍,丹参,砂仁,延胡索,炙刺猬皮,炒九香虫,炒五灵脂
地龙,鸡血藤,蜈蚣,赤芍,丹参,当归,牛膝,干姜
鸡血藤,乌梢蛇,防己,金环蛇,石南藤,钻地风,豨草,闹羊花
乌梢蛇,酒
红花,桃仁,赤芍,丝瓜络,当归,牛膝,川芎,桔梗
地龙,威灵仙,刘寄奴,丹参,川芎,丹皮,紫草,琥珀
桃仁,生姜汁2滴,生地,淡竹沥60毫升,犀角汁20毫升,青连翘,生赤芍,丹皮
桂枝,山楂,三七,丹参,黄芪,川芎,冰片,郁金
蚯蚓,天南星,羌活,荆芥,当归,苍术,川芎,防风
桂枝,木瓜,甲珠,赤芍,没药,秦艽,乳香,丝瓜
白花草,老君髯,二郎箭,九头狮子草
晚蚕沙,赤小豆,防己,薏仁,山栀,杏仁,连翘,滑石
地龙,五灵脂,桂枝,赤芍,当归,川芎,荆芥,续断
鸡血藤,党参,赤芍,牛膝,当归,黄芪,没药,秦艽
鹿角霜,甲珠,水蛭,片子姜黄,锁阳,熟地,黄明胶,香附
桃仁,党参,玉米须,龙胆草,栀子,地鳖虫,大黄,炮山甲粉
桂枝,益母草,丹参,川芎,五味子,生地,南沙参,麦冬
当归,川芎,芍药,桔梗,枳壳,人参,甘草,茯苓
夜交藤,白糖,粳米,枣仁
木瓜,白芍,当归,秦艽,防风,熟地,肉桂,阿胶
地龙,天南星,羌活,天麻,没药,川芎,荆芥,全蝎
赤芍,黄精,山楂,佛手,五味子,金樱子,何首乌,淮山
5条,30克,30克,30克,30克,当归,于术,人参
没药,当归,乳香,厚朴,陈皮,白术
红花,桃仁,赤芍,黄耆,皂刺,山甲
地龙,威灵仙,片姜黄,寄生,三七,赤芍,丹参,羌活
地龙,威灵仙,鸡血藤,蜈蚣,木瓜,桃仁,伸筋草,红花
