红花,三七,山楂,葛根,川芎
红花,三七,山楂,葛根,川芎
刘寄奴,血竭,酒生地,苏木,川芎,赤芍
红花,蟾酥,珍珠,麝香,熊胆,灵芝
没药,肉桂,乳香,白术,黄芪,熟地
桃仁,红花,红花,黑豆,五灵脂,玄胡
红花,丹参,虫,秦艽,细辛,血通
桃仁,丹参,三棱,川芎,鳖甲,莪术
桃仁,丹参,三棱,川芎,鳖甲,莪术
丹参,三七,茜草,降香,赤芍
丹参,三七,益母草,香附,川芎,党参
桃仁,红花,五灵脂,没药,杏仁,麝香
香油,茜草,刘寄奴,松节,伸筋草,紫草根
双花,鸡血藤,元参,乳香,土茯苓,甘草
桃仁,玄胡,丹皮,黄芩,水蛭,虻虫
丹参,泽兰,玄胡,没药,鸡血藤,元参
蒲公英,冬瓜子,赤小豆,犀黄丸,川军,败酱草
香油,章丹
红花,丹参,降香,川芎,赤芍
自然铜,孩儿牙齿,鸡子,朱砂
桃仁,红花,益母草,黑豆,玄胡,香附
自然铜,熟军,没药,土鳖虫,血竭,乳香
桃仁,红花,白术,附子,党参,干姜
红花,茯苓,泽泻,川芎,穿山甲,乌药
桃仁,益母草,川芎,炮姜,芥穗,炙草
没药,乳香,橘核,瓜蒌,荔核,当归
桃仁,红花,归尾,炮山甲,白芍,板蓝根
桃仁,红花,白芍药,川芎,熟地黄,当归
茅根,蒲黄,丹皮,川芎,生地黄,栀子
丹参,茜草,元参,土贝母,黄柏,生地
酒黄芩,秦皮,丹皮,生地,木通,赤芍
茅根,茜草,鸡血藤,仙鹤草,丹皮,三七粉
红花,黄耆,茯苓,地锦草,川芎,白术1
红花,丹参,鸡血藤,丹皮,熟地,女贞子
桃仁,红花,丹参,生地,田七,川芎
自然铜,没药,土鳖虫,乳香,马前子,麻黄
醋,半夏
桃仁,红花,海藻,海金砂,白芍,鸡内金
泽兰,郁金,山栀,枳实,川楝,香附
丹参,沙参,茯苓,五味子,川芎,制半夏
没药,赤芍,凌霄花,当归,木香,桂心
红花,五灵脂,生地,川芎,黄芩,赤茯苓
炉甘石,珍珠,麝香,硼砂,牛黄,冰片
丹参,茯苓,薏苡仁,麦门冬,生姜,生地黄
归尾,草决,生地,黄连,白芍,蒺藜
玄胡,肉桂,三棱,茯苓,槟榔,莪术
丹参,茜草,茯苓,黄柏,王不留行,薏米仁
地龙,玄胡,没药,血竭,麝香,乳香
红花,归尾,刘寄奴,益母草,酒生地,川芎
桃仁,泽兰,郁金,苏梗,瓦楞子,新绛
桃仁,红花,泽兰,丹参,蒲公英,没药
地龙,仙灵脾,盐知母,盐黄柏,肉桂,泽泻
丹参,牡蛎,白花蛇舌草,白芍,郁金,三棱
丹参,地龙,王不留行,川楝,皂角刺,橘叶
丹参,海藻,牡蛎,三棱,昆布,天门冬
红花,三七,麝香,地黄,樟脑,独活
桃仁,红花,地龙,没药,秦艽,灵脂
红花,蒲黄,三棱,黄芪,川芎,党参
桃仁,生地,黄芩,鳖甲,人参,大黄
玄胡,广郁金,乳香,白芍,香附,枳实
桃仁,红花,泽兰,香附,酒丹参,当归尾
桃仁,川芎,黑姜,炙草,当归
红花,干葛,防风,川芎,升麻,香附
没药,元胡,灵脂,香附
玄胡,五灵脂,没药,蒲黄,小茴香,川芎
五灵脂,蒲黄
茅根,半枝莲,金钱草,石苇,海金砂,郁金
桃仁,黄连,吴萸,半夏,陈皮
生甘草,干葛,山楂,升麻,僵蚕,蝉蜕
玄胡,蓬术,北芍药,丹皮,川芎,当归
藏红花,熟军,元胡,灵脂,丹皮,三棱
桃仁,红花,元胡,黄柏,独活,苍术
红花,山楂,泽泻,乌药,香附,青皮
桃仁,红花,归尾,丹参,乳香,蕺莱
桃仁,干漆,芎藭,当归,芍药,桂心
桃仁,蒲黄,大枣,消石,大黄,甘草
桃仁,三棱,白术,赤芍,陈橘皮,鳖甲
桃仁,红花,丹皮,郁金,山栀,泽兰叶
莪茂,丹皮,人参,川芎,牛膝,当归
红花,自然铜,没药,血竭,乳香,丁香
没药,丹皮,肉桂,五加皮,乳香,生地
丹参,地龙,鸡血藤,蜈蚣,黄芪,乌梢蛇
桃仁,红花,路路通,生地,柴胡,石菖蒲
丹参,没药,血竭,乳香,金银花,柴胡
桃仁,红花,生地,川芎,柴胡,赤芍
玄胡,苦楝,地黄,川芎,当归,芍药
玄胡,当归
桃仁,白芍,枸杞子,辰砂,木通,琥珀
干蟾,麦蘖,九肋鳖甲,使君子,海藻,黄连
蒲公英,没药,乳香,木瓜,大黄,栀子
红花,蓬术,杏仁,川山甲,透骨草,三棱
麻仁,炮山甲,苦参,牡蛎,五倍子,乌梅
丹参,三七,山楂,泽泻,郁金,黄芪
茅根,山楂,过路黄,凤尾草
桃仁,丹参,自然铜,玄胡,没药,骨碎补
泽兰,山楂,牡蛎,白芍,王不留行,佛手
虎杖,仙灵脾,半枝莲,露蜂房,仙鹤草,土茯苓
桃仁,没药,金钱草,乳香,三棱,厚朴
桃仁,红花,玄参,生地,黄芩,熟地
虎杖,泽兰,蒲公英,土茯苓,酒大黄,板蓝根
虎杖,土鳖虫,徐长卿,过江龙,五味藤,千斤拔
桃仁,红花,地龙,丹参,土鳖虫,伸筋草
苦楝皮,槐皮,雄黄
