珍珠母,酒曲,磁石,赭石,半夏
辰砂,琥珀,木香,当归,麝香
使君子仁,铁粉,蛇黄,茯苓,天南星
茯神,远志,连翘,菖蒲,辰砂
远志,巴戟天,肉苁蓉,牛膝,泽泻
枣仁,干姜,山药,当归,白术
朱砂,琥珀,天南星
远志,朱砂,琥珀,黄耆,生地
檀香,朱砂,琥珀,木香,天麻
檀香,朱砂,琥珀,木香,郁金
茯神,黄耆,远志,枣仁,辰砂
檀香,石灰华,枣仁,木香,肉豆蔻
金箔,朱砂,琥珀,羌活,白附子
茯神,金箔,远志,铁粉,麝香
远志,巴戟,牛膝,菟丝子,车前子
檀香,白芷,桔梗,三,川芎
远志,枣仁,柏子仁,麦门冬,桔梗
茯神,远志,枣仁,菖蒲,桔梗
远志,朱砂,枣仁,菖蒲,柏子仁
枣仁,山萸,五味子,茯苓,川芎
远志,枣仁,桂心,麦门冬,萆薢
葱,酒,乌灵参,鸡,姜
朱砂,郁金,黄芩,栀子,丹参
枣仁,丹皮,柏子仁,丹参,玄参
茯神,犀角屑,麦门冬,黄芩,甘草
辰砂,琥珀,枸杞,白芍,荆芥
茯神,珍珠母,合欢皮,夏枯草,钩藤
红糖,小米,龙眼肉
鸡蛋,小米
枣仁,小米,蜂蜜
朱砂,胆南星,茯苓,人参,麝
天竺黄,菖蒲,贝母,麝香,黄连
远志,辰砂,干姜,牡蛎,肉苁蓉
茯神,远志,黄耆,枣仁,柏子仁
朱砂,白术,钩藤,茯苓,甘草
远志,枣仁,黄耆,麦门冬,胆南星
葱,白糖,花椒,玉竹,味精
枣仁,合欢皮,甘草,女贞子,浮小麦
枣仁,白糖,粳米,夜交藤
远志,桂心,黄耆,茯苓X克,五味子
枣仁,薏仁,木香,麦冬,当归
茯神,枣仁,丹皮,柏子仁,生地
茯神,远志,黄耆,枣仁,柏子仁
寒水石,黄金,丁子香,磁石,木香
朱砂,柏子仁,肉苁蓉,紫石英,螵蛸
茯神,远志,枣仁,当归,甘草
