糯米,胡椒末,山药,白糖
使君子肉,米仁,白砂糖,党参,扁豆
糯米,建莲,扁豆,山药,砂仁
糯米,米仁,莲子,粳米,扁豆
百合,扁豆,山药,莲肉,枣仁
甘草,黄连,人参,桔梗,藿香
菟丝子,破故纸,杜仲,胡桃仁,韭子
黄连,黄芩,连翘,半夏,香附
肉豆蔻,1两,1两,1两,川白姜
甘草,削术,白盐,椒子
红糖,生姜,肉豆蔻,面粉
甘草,人参,高良姜,白术,丁香
大腹皮,白术,木香,枳实,大豆
炙草,香附,木香,白术,白芍
蜂王浆
甘草,盐,橘子,生姜
人参,五味子,麦冬,山药,芡实
当归,川芎,芍药,白术,泽泻
当归,芎,芍药,白术,泽泻
当归,黄芩,芎藭,芍药,白术
桑白皮,白术,木香,陈皮,茯苓
甘草,苍术,陈皮,厚朴
甘草,桑白皮,苍术,陈皮,厚朴
甘草,苍术,陈皮,厚朴
良姜,草果,羊肉1脚子
甘草,人参,木通,川芎,白术
白术,甘草,当归,麦门冬,黄柏
当归,人参,白术,青皮,木香
甘草,黑附子,人参,干姜,麦糵
人参,桂,麦糵,胡椒,缩砂仁
黄连,人参,半夏,白术,青皮
黄连,人参,半夏,白术,木香
地骨皮,桑白皮,扁豆,大腹皮,丹皮
地骨皮,桑白皮,大腹皮,扁豆,丹皮
白术,甘草,地龙,川乌,天南星
粳米,冬麻子,薏仁
当归,生地,升麻,黄耆,党参
麦门冬,白术
党参,桂园肉,于潜术,绵黄耆
甘草,当归,薄荷,栀子,白术
麦冬,桑枝,何首乌,炒麦芽,枣仁
牛膝,金银花,白术,苍术,薏仁
茱萸,破故纸,广皮,白术,神曲
菟丝子,熟地,茯苓,凤尾草,匾蓄
甘草,黑附子,干姜,白术,党参
柿饼,枣仁,胡桃,栗子
防风,麻黄,白术,苍术
甘草,黄耆,白术,防己
白糖等份,米粉,茯苓细粉
车前子,粳米,白糖,茯苓粉
粳米,枣仁,茯苓粉
粳米,茯苓
鸡肝,茯苓
白术,茯苓
甘草,白术,桂枝,茯苓
白术,戎盐,茯苓
白糖,粳米,枣仁,茯苓粉
菊花,槟榔,薄荷,沉香,防风
苍术,藿香,白鲜皮,泽泻,陈皮
茱萸,天冬,麦芽,白术,山药
莲子,茯苓,苯甲酸钠,白糖,蛋白干
槟榔,大黄,神曲,乌梅肉,使君子肉
糯米,陈皮,茯苓,建莲肉,党参
黄连,槟榔,神曲,肉豆蔻,麦蘖
甘草,黄连,黄连,人参,白术
甘草,黄连,黄耆,麦冬,丹皮
黄连,槟榔,枳实,木香,白术
黄连,藿香,使君子肉,扁豆,山药
槟榔,白术,青皮,木香,石斛
黄连,槟榔,神曲,麦糵,木香
甘草,黄连,槟榔,连翘,龙胆草
甘草,人参,青皮,木香,白术
当归,人参,干姜,白术,熟地
甘草,黄连,白术,天南星,黄芩
菖蒲,郁金,苍术,竹茹,缩砂
半夏,草豆蔻,生姜,丁皮,晋州绛矾
甘草,黑附子,干姜,芍药,白术
何首乌,川椒,柏子仁,破故纸,桑叶
薄荷,地骨皮,香附,丹皮,白术
白术,甘草,当归,黄连,白矾
枯矾,七叶一枝花,高良姜,木香,蓍草
黄耆,麦芽,党参,陈皮,胎盘粉
黄芪,扶芳藤,红参
赤芍,猪苓,六一散,陈皮,泽泻
猪苓,六一散,赤苓,泽泻,萆薢
车前子,党参,猪苓,五加皮,泽泻
佛手柑
当归,枳壳,干姜,白术,青皮
鸡肫皮,神曲,锅焦,砂仁,莲肉
枳壳,人参,青皮,香附,神曲
人参,葛花,木香,猪苓,白术
人参,葛花,木香,猪苓,白术
甘草,菊花,生地,防风,山药
枳壳,苍术,大腹皮,藿香,木香
甘草,芜荑,旋覆花,青黛,陈皮
甘草,高良姜,肉桂,生姜,白术
当归,黑附子,车前子,丹参,白术
甘草,黑附子,人参,白术,肉桂
甘草,干姜,肉桂,白术,党参
甘草,苍术,桂心,香附,三棱
半夏,白术,红皮,拣桂,泽泻
甘草,人参,干姜,白术,高良姜
甘草,当归,生地,柴胡,白术
甘草,当归,丹参,白术,木香
甘草,人参,黄耆,白术,茯神
甘草,当归,人参,白术,远志
甘草,当归,远志,白术,木香
甘草,当归,人参,黄耆,五味子
甘草,黄连,槟榔,连翘,龙胆草
甘草,螵蛸,白芷,白术,何首乌
甘草,柴胡,白术,熟地,白芍
红糖,黑豆,大蒜
白蒺藜,马料豆
地黄,苍术,川姜冬,春,夏
甘草,炒白芥子,半夏,木香,陈皮
芫荽,黄豆
赤小豆,糯米,金橘饼,薏仁,黄芪
白糖,枣仁,生姜皮,茯苓皮,黄芪
黄耆,赤小豆,昆布
甘草,黄芩,黑附子,阿胶,白术
甘草,黄芩,黑附子,阿胶,白术
黑附子,马钱子,穿山甲
甘草,半夏,麦芽,藿香,木香
杏仁,厚朴,半夏,藿香,白蔻
冬瓜皮,枣仁,葫芦壳,西瓜皮
粳米,新鲜胡萝卜
玉米渣,胡萝卜
甘草,人参,芍药,桂枝,扁豆
白糖,粳米,新鲜红薯
甘草,滑石,花粉,人参,桔梗
黄芩,神曲,青黛,海粉
车前子,泽兰,大腹皮,丹参,山药
甘草,当归,人参,巴戟天,柴胡
槐角米,白于术
柴胡,五味子,猪胆粉,板蓝根,绿豆
白术,甘草,天南星,防风,羌活
甘草,郁金,神曲,全瓜蒌,片姜黄
甘草,乌梅,白术,芍药,砂糖
甘草,黄连,生地,穿山甲,芜荑
杏仁,神曲,白矾,天南星,紫苏
甘草,枳壳,乌药,青皮,蓬术
甘草,枳壳,连翘,桔梗,香附
粳米,食盐,鲜韭菜
甘草,槟榔,朱砂,雄黄,麝香
白术,神曲,麦芽,甘草,当归
砂仁,槟榔,川芎,乌药,青皮
槟榔,人参,半夏,麦糵,藿香
当归,薄荷,栀子,枳壳,人参
黄连,玄参,白术,金银花,茯苓
黄连,黄柏,猪苓,木香,白芍
白术,泽泻,茯苓
菊花,山楂
白术,甘草,当归,黄连,生地
甘草,槟榔,白术,黄芩,乌梅
甘草,半夏,青皮,香附,石斛
甘草,白术,当归,薄荷,麦门冬
肉桂,茵陈,白术,山药,茯苓
沉香,红花,寒水石,丁香,木香
沉香,红花,寒水石,丁香,木香
甘草,神曲,黑附子,赤石脂,干姜
厚朴,茴香,青盐,汉椒
滑石,防风,猪苓,扁豆,苍术
人参,干姜,茱萸,木香,白术
生姜,牛奶,韭菜
生姜,神曲,食糖
甘草,槟榔,沉香,人参,桑白皮
当归,牡蛎,人参,白术,黄耆
甘草,枳壳,人参,白术,五味子
甘草,当归,柴胡,白术,芍药
甘草,当归,薄荷,白术,柴胡
当归,远志,柏子仁,狗脊,丹参
当归,远志,柏子仁,狗脊,丹参
天南星,白术,人参,茯神,天竺黄
甘草,当归,升麻,黄芩,柴胡
甘草,升麻,黄芩,柴胡,白术
甘草,牡蛎,半夏,枳实,白术
生地,防风,黄芩,秦艽,白术
生地,防风,黄芩,秦艽,白术
甘草,当归,川芎,干姜,山药
当归,黑附子,干姜,麻黄,骨碎补
菖蒲,菟丝子,鸡冠花,益智仁,莲须
甘草,人参,干姜,白术,青皮
甘草,槟榔,枳壳,白术,紫苏
连翘,枳实,荷叶,白术,神曲
半夏,枳实,陈皮,白术,神曲
黄连,半夏,枳实,葛花,白术
大梨,枣仁,蜜半杯,枇杷叶50,建莲肉
甘草,黑附子,白术,木香,肉豆蔻
生地,升麻,川芎,白术
甘草,当归,人参,白术,远志
甘草,人参,白术,生姜,砂仁
甘草,续断,广皮,白术,党参
生料平胃散,麦芽,神曲
麦冬,石莲肉,白术,猪苓,人参减半
当归,黄芪,白僵蚕,桑白皮,阿胶
当归,川芎,地黄,扁豆,山药
甘草,牛膝,三棱,白术,党参
甘草,当归,黄柏,川芎,白术
甘草,白术,党参,金樱子,薏米
甘草,黄连,川芎,半夏,芍药
川芎,白术,苍术,山楂
甘草,黄耆,蔓荆子,白术,党参
甘草,滑石,枳壳,黄柏,白术
黑附子,干姜,白术,厚朴,茯苓
牡蛎,海金沙,龙骨,白术,竹叶
白术,甘草,当归,黄连,麦门冬
甘草,当归,黄连,升麻,黄芩
当归,羚羊角,川芎,白术,茯神
苍术,乳香,当归,没药,红花
苍术,乳香,当归,没药,红花
石斛,白芍,益元散,党参,扁豆
香附,丹皮,女贞子,鹿角胶,白芍
甘草,人参,苍术,陈皮,茯苓
当归,干姜,白芷,党参,苍术
甘草,当归,枳壳,白术,黄芩
甘草,茯神,木香,扁豆,白术
甘草,枳壳,人参,白术,神曲
甘草,当归,川芎,干姜,熟地
甘草,当归,人参,川芎,乌梅
甘草,当归,生地,白术,人参
桔梗,紫苏,木香,枇杷叶,党参
甘草,人参,诃子,半夏,香附
枳壳,黄柏,花粉,桂枝,扁豆
甘草,生地,枳壳,黄芩,白术
枳壳,黄柏,大豆,扁豆,山药
枳壳,黄柏,大豆,扁豆,山药
甘草,黄连,桔梗,藿香,党参
贝母,芍药,白术,陈皮,山楂
当归,五味子,续断,香附,白术
甘草,当归,黄连,半夏,黄耆
百合,雷丸,谷芽,陈皮,麦芽
甘草,黄连,人参,连翘,扁豆
苍术,防风,羌活,荆芥,乌药
郁金,延胡索,柴胡,川楝,丹参
大腹皮,防己,白术,桂枝,生黄耆
当归,丹参,白术,党参,赤白芍
甘草,黄连,半夏,茱萸,白术
贝母,白术,淮山,饭党,薏米
甘草,黑豆,神曲,麦芽,苍术
当归,人参,川芎,白术,陈皮
白术,甘草,当归,黄芩,人参
甘草,黄连,栀子,天南星,黄芩
甘草,黄芩,党参,白术,山药
五味子,车前子,葛根,麦冬,熟地
枳实,陈皮,白术,党参,麦芽
甘草,黄连,人参,木香,陈皮
人参,枳实,白术,麦芽,陈皮
当归,川芎,半夏,芍药,白术
甘草,黄连,人参,白术,神曲
茯苓,茯苓,建莲肉,麦芽,白术
甘草,黄连,枳实,木香,白芍
甘草,桔梗,黄耆,猪苓,白芍
甘草,黄连,人参,白术,神曲
莲肉,茯苓,柿霜,白糖,大麦芽
甘草,当归,黄连,枳壳,白术
蒸饼
甘草,当归,枳壳,黄芩,川芎
甘草,当归,槟榔,沉香,枳壳
甘草,枳壳,白术,人参,前胡
槟榔,枳壳,扁豆,砂仁,山药
枳实,白术,陈皮,厚朴
甘草,槟榔,人参,半夏,青皮
黄连,沉香,人参,半夏,苏子
龙眼肉,粳米,枣仁
牡蛎,半夏,龙骨,白术,生姜
甘草,牡蛎,龙骨,五味子,麦冬
蔓荆子,高良姜,粳米,鹿头肉,香子
粳米,落花生,冰糖
甘草,当归,杏仁,人参,黄耆
粳米,嫩莲实
黄连,黄连,槟榔,朱砂,麝香
木通,苍术,车前子,藿香,生姜
甘草,当归,或加肉桂,干姜,熟地
甘草,当归,半夏,桔梗,香附
当归,黄连,枳壳,半夏,炙草
甘草,人参,干姜,半夏,苏子
甘草,人参,干姜,白术
甘草,人参,干姜,半夏,白术
甘草,人参,干姜,白术
槟榔,大黄,干姜,五灵脂,神曲
槟榔,仙灵脾,葱白,豉,生姜
柿饼,栗子肉
白矾,赤石脂,柴胡,白术,木香
肉豆蔻,杏仁,乳香,槟榔,巴豆
肉豆蔻,杏仁,乳香,槟榔,巴豆
大黄,诃子,寒水石,木香,山柰
大黄,诃子,寒水石,木香,山柰
甘草,人参,半夏,白术,陈皮
半夏,乌梅,炙草,白术,党参
甘草,人参,半夏,白术,陈皮
厚朴,甘草,枳壳,羌活,柴胡
甘草,麦门冬,人参,半夏,白术
神曲60克米粉,陈皮,白糖,白术,麦芽
甘草,人参,远志,五味子,白术
人参,牡蛎,黄耆,白术,麻黄根
甘草,黑附子,干姜,桂,白术
甘草,白术,太子参,黄皮树叶,萆薢
甘草,当归,白术,天南星,防风
白术,甘草,当归,防风,人参
甘草,蝉蜕,当归,神曲,白蒺藜
槟榔,沉香,青皮,香附,枳实
丹参,何首乌,谷芽,白芍,扁豆
延胡索,青皮,神曲,三棱,莪术
粳米,鲜荠菜
甘草,白术,制附片,茯苓,黄芪
当归,郁金,丹参,白术,党参
甘草,黄芪,螵蛸,元胡,鹿角胶
白糖,糯米粉,山药,芡实
百合,枇杷叶,菟丝子,金樱子,党参
甘草,黄连,黄芩,石膏,白术
甘草,杏仁,黄芩,白术,桔梗
甘草,蝉蜕,菊花,生地,防风
甘草,人参,半夏,苏叶,扁豆
甘草,黑附子,人参,干姜,白术
甘草,人参,陈皮,莲子,麦芽
甘草,人参,白术,山药,山楂
丁香3O克,甘草,当归,没药,人参
当归,人参,远志,木香,砂仁
甘草,白术,当归,人参,乌药
槟榔,肉豆蔻,沉香,粉霜,人参
甘草,京三棱,白术,苍术,陈皮
芍药,枳实,白术,陈皮
砂仁,沉香,枳壳,川楝,木香
砂仁,大米
甘草,枳壳,扁豆,藿香,丹皮
牛膝,茱萸,熟地,石斛,白术
枳壳,半夏,柴胡,白术,肉桂
甘草,黑附子,人参,白术,木香
黄柏,鹿茸,紫河车,桑枝,扁豆
当归,人参,川芎,巴戟天,远志
芡实米,金樱子
神曲,赤小豆,小枳实,大麦须,生于术
人参,肉桂,肉豆蔻,白术,山药
人参,肉桂,肉豆蔻,白术,山药
白糖,白术,白面粉,鲜生姜,益智仁
紫荆皮,山药,枣仁
砂糖,粳米,山楂
干姜,白术,肉桂,陈皮
猪苓,白术,泽泻,茯苓
半夏,厚朴,肉豆蔻,山药
甘草,牛膝,三棱,白术,党参
甘草,白术,党参,茯苓
甘草,当归,黄柏,白术,川芎
熟地,苍术,苍耳子,元参,茯苓
甘草,乳香,当归,没药,生地
甘草,人参,黄耆,扁豆,白术
甘草,人参,半夏,香附,白术
乌头,苍术,茴香
木通,瞿麦,车前子,白术,猪苓
当归,川芎,天麻,独活,白术
白术,甘草,当归,生地,白僵蚕
鹿茸,赤芍,续断,钩藤,丹参
赤小豆,木香,陈皮,白樟柳根
甘草,肉豆蔻,黑牵牛,陈皮,30屯
甘草,人参,巴戟天,苏子,柴胡
鲜土豆
猪脊骨,茯苓
甘草,香附,丹参,白术,党参
黄连,白术,苏叶,猪苓,生姜
甘草,破故纸,肉苁蓉,熟地,覆盆子
当归,人参,白术,草豆蔻,黑姜L
甘草,防风,干姜,白术,神曲
甘草,人参,柴胡,车前子,苍术
麻黄,车前子,苍术,益母草,鱼腥草
天冬,白术,枸杞,糯米,细曲
桑白皮,生姜皮,大腹皮,陈皮,茯苓皮
葱,姜,盐,乌灵参,酒
木香,党参,小青皮,黑干姜,炒广皮
厚朴,扁豆,香薷
木香,砂仁,藕粉白糖
砂仁,白砂糖,香橼
枳实,木香,白术,砂仁
枳实,木香,白术,砂仁
甘草,半夏,白术,木香,党参
甘草,当归,柴胡,白术,芍药
甘草,当归,薄荷,白术,柴胡
甘草,当归,薄荷,白术,柴胡
白蒺藜,防风,黄芩,川芎,荆芥
五味子,菟丝子,茯苓,干莲肉
甘草,白术,胡椒,缩砂仁,红豆
干姜,枳实,白术,茯苓
甘草,黄连,栀子,枳壳,川芎
槟榔,谷芽,山楂,积壳等份
甘草,人参,川芎,半夏,青皮
干姜,神曲,麦芽,炒乌梅肉
甘草,大黄,黑附子,人参,白术
沉香,苏子,白术,葶苈,木香
甘草,白术,黑附子,人参,半夏
人参,半夏,蓬莪术,白术,神曲
生黄耆,乳香,没药,玄参,牡蛎
甘草,黄连,黄芩,人参,白术
甘草,菊花,黄连,栀子,枳壳
甘草,干姜,半夏,神曲,木香
甘草,半夏,神曲,丁香,白豆蔻
生地,人参,花粉,知母,白术
山药,小米白糖
茱萸,白胡椒,丁香,肉桂
滑石,花粉,桔梗,半夏,白芷
苍术,六一散,炒麦芽,泽泻,陈皮
甘草,人参,藿香,扁豆,白术
薏仁
粳米,细盐,生姜葱白,羊骨左右
杏仁,嫩肥羊肉,木香,糯米,曲
甘草,青皮,肉桂,苍术,山药
甘草,诃子,青皮,丁香,陈皮
甘草,当归,人参,白术,阿胶
甘草,青皮,丁香,诃子,山药
甘草,丹参,党参,黄芪,白术
栀子,大黄,桃仁,阿胶,党参
当归,牡蛎,泽兰,香附,藿香
甘草,半夏,竹茹,枳实,白术
甘草,升麻,人参,干姜,白术
地龙,防风,赤芍,白术,鬼箭羽
天门冬,地骨皮,苍术,地黄,何首乌
甘草,甘草,地榆,砂仁
甘草,当归,川芎,柴胡,白术
甘草,当归,郁金,白术,麦冬
甘草,人参,白术,陈皮,茯苓
党参,桂圆肉,猫肉
甘草,缩砂仁,藿香,丁香,木香
甘草,沉香,砂仁,藿香,丁香
甘草,当归,人参,川芎,地黄
当归,槟榔,白术,皂矾,白芍
甘草,人参,白术,神曲,苍术
当归,麦冬,桂圆肉,山药,丁香
川椒,山药,糯米,茯苓,莲子肉
仙灵脾,甘草,当归,郁金,柴胡
甘草,黄连,人参,桔梗,藿香
甘草,人参,茯神,丹参,扁豆
缩砂仁,杏仁,槟榔,沉香,乌梅
猪苓,白术,茯苓
椒,粳米,姜,葱,豆豉
甘草,半夏,白术,藿香,生姜
枳实,白术
枳实,白术
半夏,枳实,白术,茯苓,蓬莪茂
防风,半夏,芍药,白术,苍术
甘草,沉香,人参,白术,青皮
乳香,当归,没药,生黄耆,干姜
当归,人参,于术,30克,30克
乳香,当归,没药,白术,陈皮
甘草,干姜,神曲,草豆蔻,大麦芽
甘草,黄连,黄芩,人参,干姜
人参,扁豆,山药,莲肉,老米
甘草,干姜,乌梅肉,神曲,苍术
雄黄,槐皮,苦楝皮
