糯米,胡椒末,山药,白糖
甘草,荆芥,橘络,茯苓,白术
甘草,人参,茯苓,白术
牡蛎,川椒,芎藭,白术
甘草,人参,葛根,藿香,木香
大腹皮,生姜,茯苓,陈皮,白术
干姜,人参,厚朴,白术
粳米,扁豆
人参,粳米,扁豆
甘草,干姜,川芎,人参,半夏
甘草,半夏,广皮,茯苓,厚朴
干姜,黑附子,半夏,枣仁,木香
防风,远志,半夏,桂心,枳实
天麻,半夏,白术
滑石,白矾,天南星,人参,白附子
甘草,人参,莲肉,茯苓,薏仁
米仁,使君子肉,白砂糖,茯苓,炙鸡内金
糯米,建莲,茯苓,生米仁,白米
米仁,糯米,茯苓,莲子,南芡实
百合,枣仁,大米,莲肉,薏仁
甘草,黄连,桔梗,人参,藿香
破故纸,杜仲,胡桃仁,菟丝子,玫瑰花
黄连,黄芩,连翘,半夏,枳实
1两,1两,1两,川白姜,厚朴
甘草,削术,白盐,椒子
生姜,肉豆蔻,面粉,红糖
甘草,人参,高良姜,丁香,木香
大腹皮,枳实,大豆,白蔻仁,姜滓
炙草,香附,白芍,豆蔻,木香
蜂王浆
甘草,生姜,盐,橘子
人参,五味子,麦冬,芡实,山药
当归,川芎,芍药,泽泻,茯苓
当归,芎,芍药,泽泻,茯苓
当归,黄芩,芍药,芎藭,白术
桑白皮,木香,茯苓,陈皮,白术
甘草,陈皮,厚朴,苍术
甘草,桑白皮,陈皮,厚朴,苍术
甘草,陈皮,厚朴,苍术
草果,良姜,羊肉1脚子
甘草,木通,川芎,人参,黄耆
甘草,当归,天门冬,黄柏,麦门冬
当归,人参,青皮,枳实,姜连
甘草,干姜,黑附子,人参,麦糵
人参,桂,麦糵,胡椒,茯苓
黄连,人参,半夏,青皮,枳实
黄连,人参,半夏,枳实,白蔻仁
地骨皮,桑白皮,大腹皮,五加皮,丹皮
地骨皮,桑白皮,大腹皮,五加皮,丹皮
甘草,地龙,天南星,川乌,羌活
冬麻子,薏仁,粳米
当归,生地,升麻,黄耆,紫河车
麦门冬,白术
桂园肉,绵黄耆,于潜术,党参
甘草,当归,栀子,龙胆草,薄荷
麦冬,桑枝,何首乌,枣仁,炒麦芽
牛膝,金银花,茯苓皮,薏仁,苍术
茱萸,破故纸,广皮,厚朴,苍术
当归,麦门冬,人参,车前子,熟地
熟地,菟丝子,茯苓,匾蓄,凤尾草
甘草,干姜,黑附子,白术,党参
枣仁,胡桃,栗子,柿饼
防风,麻黄,苍术,白术
甘草,黄耆,防己,白术
茯苓细粉,白糖等份,米粉
车前子,茯苓粉,白糖,粳米
枣仁,茯苓粉,粳米
茯苓,粳米
茯苓,鸡肝
茯苓,白术
甘草,桂枝,茯苓,白术
戎盐,茯苓,白术
枣仁,茯苓粉,白糖,粳米
菊花,栀子,薄荷,槟榔,黄芩
藿香,白鲜皮,泽泻,茯苓,陈皮
茱萸,天冬,枣仁,风栗,福橘
茯苓,莲子,苯甲酸钠,蛋白干,白糖
大黄,槟榔,乌梅肉,鹤虱,雷丸
糯米,茯苓,陈皮,建莲肉,薏仁
黄连,槟榔,麦蘖,肉豆蔻,使君子
甘草,黄连,黄连,人参,芦荟
甘草,黄连,黄耆,麦冬,丹皮
黄连,槟榔,枳实,使君子仁,木香
黄连,藿香,使君子肉,泽泻,茯苓
槟榔,青皮,石斛,百部,生草
黄连,槟榔,麦糵,使君子仁,木香
甘草,黄连,槟榔,龙胆草,连翘
甘草,人参,青皮,木香,莲肉
当归,干姜,人参,肉桂,熟地
甘草,黄连,天南星,黄芩,半夏
菖蒲,郁金,竹茹,缩砂,陈皮
半夏,生姜,丁皮,晋州绛矾,草豆蔻
甘草,干姜,黑附子,芍药,官桂
川椒,柏子仁,破故纸,桑叶,何首乌
薄荷,地骨皮,丹皮,香附,鹿角胶
牡蛎,甘草,当归,白矾,黄连
枯矾,高良姜,肉桂,木香,蓍草
黄耆,胎盘粉,陈皮,麦芽,党参
红参,扶芳藤,黄芪
赤芍,猪苓,六一散,泽泻,萆
猪苓,六一散,赤苓,萆薢,泽泻
车前子,五加皮,猪苓,泽泻,太子参
佛手柑
当归,干姜,枳壳,青皮,橘饼
锅焦,鸡肫皮,莲肉,山楂,砂仁
枳壳,人参,青皮,香附,缩砂
人参,葛花,猪苓,泽泻,莲花青皮
人参,葛花,猪苓,泽泻,莲花青皮
甘草,菊花,生地,防风,细辛
枳壳,大腹皮,藿香,木香,茵陈
甘草,旋覆花,青黛,百草霜,陈皮
甘草,高良姜,肉桂,枣仁,生姜
当归,黑附子,丹参,车前子,猪苓
甘草,黑附子,人参,肉桂,炒干姜
甘草,干姜,肉桂,附片,白术
甘草,桂心,香附,三棱,陈皮
半夏,红皮,泽泻,拣桂,茯苓
甘草,干姜,人参,高良姜,桂枝
甘草,当归,生地,柴胡,熟地
甘草,当归,丹参,龙眼肉,木香
甘草,人参,黄耆,茯神,龙眼肉
甘草,当归,远志,人参,黄耆
甘草,当归,远志,龙眼肉,枣仁
甘草,当归,人参,五味子,黄耆
甘草,黄连,龙胆草,槟榔,连翘
甘草,螵蛸,白芷,何首乌,岗稔根
甘草,柴胡,熟地,归身,白芍
黑豆,大蒜,红糖
白蒺藜,马料豆
地黄,夏,春,川姜冬,苍术
甘草,半夏,木香,茯苓,黑丑
黄豆,芫荽
糯米,金橘饼,薏仁,赤小豆,黄芪
枣仁,茯苓皮,白糖,生姜皮,冬瓜皮
黄耆,昆布,赤小豆
甘草,黄芩,阿胶,黑附子,地黄
甘草,黄芩,阿胶,黑附子,地黄
黑附子,穿山甲,马钱子
甘草,半夏,藿香,木香,陈皮
杏仁,半夏,藿香,白蔻,茯苓
枣仁,葫芦壳,西瓜皮,冬瓜皮
新鲜胡萝卜,粳米
胡萝卜,玉米渣
甘草,人参,芍药,桂枝,茯苓
新鲜红薯,白糖,粳米
甘草,滑石,花粉,远志,桔梗
黄芩,青黛,海粉,神曲
丹参,大腹皮,车前子,泽兰,泽泻
甘草,当归,人参,巴戟天,柴胡
槐角米,白于术
五味子,柴胡,茵陈,板蓝根,绿豆
甘草,天南星,黄芩,羌活,防风
甘草,郁金,全瓜蒌,片姜黄,神曲
甘草,乌梅,芍药,陈仓米,粟壳
甘草,黄连,生地,穿山甲,茯苓
杏仁,白矾,天南星,半夏,紫苏
甘草,枳壳,乌药,青皮,蓬术
甘草,枳壳,桔梗,连翘,京三棱
食盐,鲜韭菜,粳米
甘草,朱砂,雄黄,麝香,琥珀
甘草,杏仁,黄丹,当归,天南星
槟榔,川芎,乌药,青皮,枳实
槟榔,人参,半夏,麦糵,藿香
当归,栀子,薄荷,枳壳,人参
玄参,黄连,金银花,茯苓,柞木枝
黄连,黄柏,猪苓,白芍,木香
泽泻,茯苓,白术
菊花,山楂
甘草,当归,黄连,栀子,生地
甘草,槟榔,黄芩,乌梅,半夏
甘草,半夏,青皮,枳实,石斛
甘草,当归,薄荷,麦门冬,地骨皮
肉桂,茵陈,茯苓,薏仁,芡实
沉香,红花,寒水石,丁香,木瓜
沉香,红花,寒水石,丁香,木瓜
甘草,干姜,川椒,黑附子,半夏
茴香,青盐,厚朴,汉椒
滑石,防风,猪苓,泽泻,姜连
干姜,人参,茱萸,小麦蘖,木香
生姜,韭菜,牛奶
生姜,食糖,神曲
甘草,槟榔,桑白皮,人参,五味子
牡蛎,当归,人参,黄耆,芍药
甘草,枳壳,人参,五味子,柴胡
甘草,当归,柴胡,芍药,丹皮
甘草,当归,薄荷,柴胡,丹皮
当归,远志,柏子仁,狗脊,丹参
当归,远志,柏子仁,狗脊,丹参
天南星,人参,天竺黄,茯神,钩藤
甘草,当归,黄芩,升麻,柴胡
甘草,黄芩,升麻,柴胡,川归
牡蛎,甘草,半夏,枳实,桂枝
生地,黄芩,防风,秦艽,紫草
生地,黄芩,防风,秦艽,紫草
甘草,当归,干姜,川芎,山药
当归,干姜,黑附子,骨碎补,麻黄
菖蒲,鸡冠花,菟丝子,益智仁,萆
甘草,干姜,人参,青皮,陈皮
甘草,槟榔,枳壳,半夏,五灵脂
连翘,枳实,荷叶,泽泻,茵陈
半夏,枳实,陈皮,山楂,麦芽
黄连,半夏,葛花,枳实,泽泻
枣仁,建莲肉,蜜半杯,大梨,枇杷叶50
甘草,黑附子,木香,肉豆蔻,白术
生地,升麻,川芎,白术
甘草,当归,远志,人参,柴胡
甘草,人参,枣仁,生姜,茯苓
甘草,续断,广皮,蕲艾,乌鲗骨
生料平胃散,麦芽,神曲
麦冬,猪苓,石莲肉,泽泻,人参减半
白僵蚕,当归,阿胶,桑白皮,白茅根
当归,川芎,地黄,白芍,葳蕤
甘草,牛膝,三棱,莪术,茯苓
甘草,当归,黄柏,川芎,熟地
甘草,薏米,益智仁,金樱子,茯苓
甘草,黄连,川芎,半夏,芍药
川芎,山楂,苍术,白术
甘草,蔓荆子,黄耆,陈皮,白术
甘草,滑石,枳壳,黄柏,猪苓
干姜,黑附子,茯苓,厚朴,白术
牡蛎,海金沙,龙骨,竹叶,罂粟壳
甘草,当归,黄连,黄芩,麦门冬
甘草,当归,黄连,黄芩,升麻
当归,羚羊角,川芎,茯神,葛根
乳香,没药,当归,地黄,红花
乳香,没药,当归,地黄,红花
石斛,白芍,益元散,茯苓,灶心土
丹皮,香附,女贞子,鹿角胶,归身
甘草,人参,茯苓,陈皮,厚朴
当归,干姜,白芷,莲肉,艾碳
甘草,当归,黄芩,枳壳,川芎
甘草,茯神,木香,淮药,泡参
甘草,枳壳,人参,茯苓,陈皮
甘草,当归,干姜,川芎,桂枝
甘草,当归,乌梅,川芎,人参
甘草,当归,生地,川芎,人参
桔梗,紫苏,枇杷叶,木香,茯苓
甘草,人参,半夏,香附,益智仁
枳壳,花粉,黄柏,桂枝,草蔻
甘草,生地,黄芩,枳壳,竹叶
枳壳,黄柏,大豆,萆薢,茯苓
枳壳,黄柏,大豆,茯苓,萆藓
甘草,黄连,桔梗,藿香,炒麦芽
芍药,贝母,陈皮,山楂,白术
当归,五味子,续断,香附,白芍
甘草,当归,黄连,半夏,黄耆
百合,雷丸,茯苓,谷芽,冬瓜仁
甘草,黄连,连翘,人参,泽泻
羌活,防风,荆芥,乌药,枣仁
郁金,延胡索,柴胡,丹参,川楝
大腹皮,桂枝,防己,淡附片,陈广皮
当归,丹参,赤白芍,鸡血藤,茯苓
甘草,黄连,半夏,茱萸,白芍
贝母,淮山,饭党,南豆,薏米
甘草,黑豆,陈皮,厚朴,山楂
当归,川芎,人参,黑姜,陈皮
甘草,当归,黄芩,知母,人参
甘草,黄连,栀子,天南星,黄芩
甘草,黄芩,元参,茯苓,白芨
五味子,麦冬,葛根,车前子,通草
枳实,陈皮,山楂,麦芽,白术
甘草,黄连,人参,木香,茯苓
人参,枳实,陈皮,山楂,麦芽
当归,川芎,半夏,芍药,茯苓
甘草,黄连,人参,云苓,鸡肫皮
茯苓,茯苓,建莲肉,山楂,麦芽
甘草,黄连,枳实,白芍,木香
甘草,桔梗,黄耆,猪苓,白芍
甘草,黄连,人参,楂肉,茯苓
茯苓,柿霜,莲肉,白糖,大麦芽
甘草,当归,黄连,枳壳,木香
蒸饼
甘草,当归,黄芩,枳壳,川芎
甘草,当归,槟榔,枳壳,川芎
甘草,枳壳,人参,半夏,前胡
槟榔,枳壳,六曲,鸡内金,山楂
枳实,陈皮,厚朴,白术
甘草,槟榔,人参,半夏,青皮
黄连,沉香,人参,半夏,黄耆
龙眼肉,枣仁,粳米
牡蛎,半夏,龙骨,生姜,附片
牡蛎,甘草,五味子,龙骨,麦冬
蔓荆子,高良姜,鹿头肉,香子,粳米
冰糖,落花生,粳米
甘草,杏仁,当归,干姜,桑白皮
嫩莲实,粳米
朱砂,黄连,黄连,麝香,槟榔
木通,车前子,藿香,生姜,红曲
甘草,当归,干姜,熟地,或加肉桂
甘草,当归,桔梗,半夏,枳实
当归,黄连,枳壳,半夏,炙草
甘草,干姜,人参,半夏,苏子
甘草,干姜,人参,白术
甘草,干姜,人参,半夏,茯苓
甘草,干姜,人参,白术
大黄,槟榔,干姜,五灵脂,枳实
槟榔,葱白,豉,肉桂,生姜
栗子肉,柿饼
白矾,柴胡,赤石脂,乌贼骨,三七
乳香,杏仁,巴豆,槟榔,干姜
乳香,杏仁,巴豆,槟榔,干姜
大黄,寒水石,木香,碱花,山柰
大黄,寒水石,木香,碱花,山柰
甘草,人参,半夏,茯苓,陈皮
乌梅,半夏,炙草,茯苓,陈皮
甘草,人参,半夏,茯苓,陈皮
甘草,羌活,枳壳,柴胡,藿香
甘草,麦门冬,人参,半夏,小麦
神曲60克米粉,陈皮,白糖,麦芽,白术
甘草,远志,人参,五味子,枣仁
牡蛎,人参,黄耆,麻黄根,茯苓
甘草,干姜,黑附子,桂,高良姜
甘草,萆薢,太子参,黄皮树叶,茯苓
甘草,当归,天南星,防风,干姜
甘草,当归,防风,木通,桔梗
甘草,蝉蜕,当归,白蒺藜,郁金
槟榔,沉香,青皮,枳实,香附
丹参,何首乌,白芍,谷芽,莲肉
延胡索,青皮,三棱,莪术,陈皮
鲜荠菜,粳米
甘草,制附片,茯苓,薏仁,黄芪
当归,郁金,丹参,白芍,旱莲草
甘草,螵蛸,鹿角胶,白芍,甘松
糯米粉,白糖,芡实,山药
百合,枇杷叶,菟丝子,黄精,茯苓
甘草,黄连,黄芩,石膏,茯苓
甘草,杏仁,黄芩,桑白皮,桔梗
甘草,蝉蜕,菊花,生地,羌活
甘草,人参,半夏,木瓜,苏叶
甘草,干姜,黑附子,人参,青皮
甘草,人参,泽泻,茯苓,莲子
甘草,人参,泽泻,莲肉,茯苓
甘草,没药,当归,骨碎补,人参
当归,远志,人参,枣仁,木香
甘草,当归,远志,人参,黄耆
粉霜,槟榔,人参,沉香,丁香
甘草,京三棱,缩砂,草果,陈皮
芍药,枳实,陈皮,白术
枳壳,沉香,川楝,木香,生白芍
大米,砂仁
甘草,枳壳,藿香,丹皮,石斛
牛膝,茱萸,石斛,熟地,白酒
枳壳,半夏,柴胡,肉桂,白芍
甘草,黑附子,人参,木香,茯苓
鹿茸,黄柏,紫河车,桑枝,稻芽
当归,川芎,远志,人参,巴戟天
金樱子,芡实米
小枳实,大麦须,车前草,生于术,茯苓
人参,肉桂,茯苓,肉豆蔻,芡实
人参,肉桂,茯苓,肉豆蔻,芡实
白面粉,鲜生姜,益智仁,白糖,白术
枣仁,紫荆皮,山药
砂糖,山楂,粳米
干姜,肉桂,陈皮,白术
猪苓,泽泻,茯苓,白术
半夏,肉豆蔻,厚朴,山药
甘草,牛膝,三棱,莪术,茯苓
甘草,茯苓,白术,党参
甘草,当归,黄柏,川芎,地黄
熟地,苍耳子,元参,茯苓,薏仁
牡蛎,乳香,甘草,没药,当归
甘草,人参,黄耆,木瓜,香薷叶
甘草,人参,半夏,藿香,香附
乌头,茴香,苍术
瞿麦,木通,车前子,猪苓,泽泻
当归,川芎,天麻,独活,白术
甘草,白僵蚕,当归,生地,川芎
鹿茸,赤芍,续断,丹参,钩藤
木香,陈皮,白樟柳根,赤小豆
甘草,黑牵牛,陈皮,肉豆蔻,30屯
甘草,人参,巴戟天,柴胡,苏子
鲜土豆
茯苓,猪脊骨
甘草,丹参,香附,青黛,茯苓
黄连,猪苓,苏叶,生姜,附片
甘草,破故纸,肉苁蓉,覆盆子,淫羊藿
当归,人参,黑姜L,茯苓,厚朴
甘草,防风,干姜,白芍,茯苓
甘草,人参,柴胡,车前子,白芍
麻黄,车前子,益母草,鱼腥草,白花蛇舌草
天冬,枸杞,糯米,松叶,细曲
桑白皮,大腹皮,陈皮,茯苓皮,生姜皮
姜,盐,鸡,乌灵参,酒
木香,炒广皮,黑干姜,小青皮,生冬术
香薷,厚朴,扁豆
木香,藕粉白糖,砂仁
白砂糖,香橼,砂仁
枳实,木香,砂仁,白术
枳实,木香,砂仁,白术
甘草,半夏,木香,西砂仁,茯苓
甘草,当归,柴胡,芍药,茯苓
甘草,当归,薄荷,柴胡,白芍
甘草,当归,薄荷,柴胡,白芍
黄芩,防风,白蒺藜,荆芥,川芎
五味子,菟丝子,茯苓,干莲肉
甘草,胡椒,红豆,缩砂仁,良姜
干姜,枳实,茯苓,白术
甘草,黄连,栀子,枳壳,川芎
槟榔,积壳等份,谷芽,山楂
甘草,川芎,人参,半夏,青皮
干姜,炒乌梅肉,麦芽,神曲
甘草,大黄,黑附子,人参,雷丸
沉香,苏子,葶苈,萝卜子,椒目
甘草,黑附子,人参,鳖甲,半夏
人参,半夏,蓬莪术,京三棱,白云苓
乳香,牡蛎,没药,玄参,龙胆草
甘草,黄连,黄芩,人参,半夏
甘草,菊花,黄连,栀子,黄芩
甘草,干姜,半夏,木香,茯苓
甘草,半夏,丁香,白豆蔻,陈皮
生地,花粉,知母,人参,青蒿
小米白糖,山药
茱萸,肉桂,丁香,白胡椒
滑石,花粉,桔梗,半夏,白芷
六一散,泽泻,炒麦芽,茯苓,陈皮
甘草,人参,藿香,茯苓,白术
薏仁
羊骨左右,生姜葱白,细盐,粳米
杏仁,糯米,木香,曲,嫩肥羊肉
甘草,青皮,肉桂,缩砂,茴香
甘草,青皮,丁香,陈皮,诃子
甘草,当归,阿胶,人参,肉桂
甘草,青皮,丁香,陈皮,诃子
甘草,丹参,茯苓,石苇,制萸肉
栀子,大黄,龙胆草,阿胶,桃仁
牡蛎,当归,泽兰,藿香,香附
甘草,半夏,竹茹,枳实,五爪龙
甘草,升麻,干姜,人参,白芍
地龙,防风,赤芍,桂枝,鬼箭羽
天门冬,地骨皮,地黄,何首乌,茯苓
甘草,甘草,地榆,砂仁
甘草,当归,川芎,柴胡,钩藤钩
甘草,当归,郁金,麦冬,丹皮
甘草,人参,茯苓,陈皮,白术
桂圆肉,猫肉,党参
甘草,藿香,丁香,木香,白豆蔻
甘草,沉香,藿香,丁香,生姜
甘草,当归,川芎,人参,地黄
当归,槟榔,枣仁,皂矾,白芍
甘草,人参,大麦蘖,茯苓,陈皮
当归,麦冬,丁香,枣仁,甘杞子
川椒,糯米,茯苓,莲子肉,薏仁
甘草,当归,郁金,柴胡,露蜂房
甘草,黄连,桔梗,人参,藿香
甘草,人参,茯神,丹参,白芍
杏仁,槟榔,乌梅,沉香,半夏
猪苓,茯苓,白术
椒,姜,豆豉,雄猪肚,葱
甘草,半夏,藿香,生姜,陈皮
枳实,白术
枳实,白术
半夏,枳实,茯苓,蓬莪茂,白术
防风,半夏,芍药,益智仁,茯苓
甘草,沉香,人参,藿香,青皮
乳香,没药,当归,干姜,知母
当归,人参,30克,30克,30克
乳香,没药,当归,陈皮,厚朴
甘草,干姜,陈皮,大麦芽,草豆蔻
甘草,黄连,黄芩,干姜,人参
人参,莲肉,老米,燕窝,山药
甘草,干姜,乌梅肉,茴香,小麦芽
雄黄,苦楝皮,槐皮
