糯米,胡椒末,山药,白糖
黄连,黄芩,连翘,半夏,香附
肉豆蔻,厚朴,1两,1两,1两
甘草,白盐,削术,椒子
生姜,肉豆蔻,红糖,面粉
甘草,人参,白术,高良姜,丁香
大腹皮,白术,枳实,大豆,白蔻仁
炙草,香附,白芍,白术,神曲
蜂王浆
甘草,橘子,生姜,盐
人参,麦冬,五味子,山药,芡实
当归,川芎,芍药,白术,泽泻
当归,芎,芍药,白术,泽泻
当归,黄芩,芍药,芎藭,白术
桑白皮,白术,木香,茯苓,陈皮
甘草,苍术,陈皮,厚朴
甘草,桑白皮,苍术,陈皮,厚朴
甘草,苍术,陈皮,厚朴
羊肉1脚子,良姜,草果
甘草,川芎,木通,人参,白术
白术,甘草,当归,天门冬,黄柏
当归,人参,白术,青皮,枳实
甘草,黑附子,干姜,人参,麦糵
人参,桂,麦糵,胡椒,山药
黄连,人参,半夏,白术,青皮
黄连,人参,半夏,白术,枳实
地骨皮,桑白皮,大腹皮,五加皮,扁豆
地骨皮,桑白皮,大腹皮,五加皮,丹皮
白术,甘草,防风,羌活,黑附子
粳米,冬麻子,薏仁
当归,生地,升麻,黄耆,党参
麦门冬,白术
党参,桂园肉,于潜术,绵黄耆
甘草,当归,栀子,薄荷,白术
麦冬,何首乌,桑枝,炒麦芽,枣仁
牛膝,金银花,白术,苍术,茯苓皮
茱萸,破故纸,广皮,白术,神曲
当归,旱莲草,麦门冬,人参,车前子
菟丝子,熟地,茯苓,匾蓄,飞廉草
甘草,黑附子,干姜,白术,党参
柿饼,枣仁,胡桃,栗子
防风,麻黄,白术,苍术
甘草,黄耆,白术,防己
茯苓细粉,米粉,白糖等份
车前子,粳米,白糖,茯苓粉
枣仁,粳米,茯苓粉
粳米,茯苓
茯苓,鸡肝
白术,茯苓
甘草,桂枝,白术,茯苓
白术,戎盐,茯苓
枣仁,粳米,白糖,茯苓粉
白术,防风,栀子,菊花,羌活
苍术,藿香,白鲜皮,泽泻,佩兰
茱萸,天冬,莲肉,枣仁,山药
莲子,茯苓,蛋白干,苯甲酸钠,山药
大黄,槟榔,神曲,乌梅肉,鹤虱
糯米,茯苓,山药,陈皮,白术
黄连,槟榔,神曲,麦蘖,使君子
甘草,黄连,黄连,人参,神曲
甘草,黄连,黄耆,麦冬,丹皮
黄连,槟榔,枳实,神曲,白术
黄连,藿香,泽泻,使君子肉,山药
槟榔,青皮,白术,石斛,百部
黄连,槟榔,神曲,麦糵,使君子仁
甘草,黄连,连翘,槟榔,龙胆草
甘草,人参,青皮,莲肉,山药
当归,干姜,人参,白术,熟地
甘草,黄连,黄芩,天南星,白术
菖蒲,郁金,苍术,竹茹,缩砂
半夏,草豆蔻,生姜,丁皮,晋州绛矾
甘草,黑附子,干姜,芍药,白术
巴戟,川椒,柏子仁,破故纸,何首乌
薄荷,地骨皮,丹皮,香附,白术
白术,甘草,当归,黄连,羌活
木香,枯矾,高良姜,肉桂,七叶一枝花
黄耆,党参,胎盘粉,麦芽,陈皮
黄芪,红参,扶芳藤
赤芍,猪苓,六一散,泽泻,山药
猪苓,六一散,泽泻,赤苓,萆薢
车前子,五加皮,党参,猪苓,泽泻
佛手柑
当归,枳壳,干姜,白术,青皮
莲肉,神曲,鸡肫皮,锅焦,砂仁
枳壳,人参,神曲,青皮,香附
人参,葛花,猪苓,泽泻,白术
人参,葛花,猪苓,泽泻,白术
甘草,菊花,生地,防风,山药
枳壳,苍术,大腹皮,藿香,木香
甘草,厚朴,旋覆花,青黛,百草霜
甘草,高良姜,白术,生姜,枣仁
当归,黑附子,丹参,车前子,白术
甘草,黑附子,人参,白术,肉桂
甘草,干姜,白术,肉桂,党参
甘草,桂心,苍术,香附,三棱
半夏,白术,泽泻,红皮,拣桂
甘草,干姜,人参,白术,桂枝
甘草,当归,生地,柴胡,白术
甘草,当归,丹参,白术,龙眼肉
甘草,人参,黄耆,茯神,白术
甘草,当归,人参,远志,白术
甘草,当归,远志,白术,龙眼肉
甘草,当归,人参,黄耆,茯神
甘草,黄连,连翘,槟榔,龙胆草
甘草,白芷,螵蛸,白术,何首乌
甘草,柴胡,白术,熟地,白芍
黑豆,红糖,大蒜
白蒺藜,马料豆
地黄,苍术,夏,春,川姜冬
芫荽,黄豆
赤小豆,糯米,黄芪,金橘饼,薏仁
枣仁,白糖,黄芪,冬瓜皮,生姜皮
黄耆,赤小豆,昆布
甘草,黄芩,黑附子,阿胶,地黄
甘草,黄芩,黑附子,阿胶,地黄
黑附子,穿山甲,马钱子
甘草,半夏,麦芽,厚朴,藿香
杏仁,半夏,厚朴,藿香,白蔻
冬瓜皮,枣仁,西瓜皮,葫芦壳
粳米,新鲜胡萝卜
胡萝卜,玉米渣
甘草,人参,芍药,桂枝,山药
新鲜红薯,粳米,白糖
甘草,滑石,花粉,桔梗,人参
黄芩,神曲,青黛,海粉
丹参,车前子,大腹皮,泽兰,山药
甘草,当归,人参,巴戟天,柴胡
槐角米,白于术
柴胡,五味子,猪胆粉,板蓝根,茵陈
白术,甘草,防风,羌活,黄芩
甘草,郁金,神曲,全瓜蒌,片姜黄
甘草,乌梅,芍药,白术,草果仁
甘草,黄连,生地,穿山甲,神曲
杏仁,天南星,白矾,神曲,半夏
甘草,枳壳,乌药,神曲,青皮
甘草,枳壳,桔梗,连翘,白术
食盐,粳米,鲜韭菜
甘草,雄黄,麝香,朱砂,槟榔
白术,神曲,甘草,杏仁,当归
砂仁,槟榔,川芎,乌药,青皮
人参,槟榔,半夏,麦糵,藿香
当归,栀子,薄荷,枳壳,人参
黄连,玄参,金银花,白术,茯苓
黄连,黄柏,猪苓,白芍,山药
泽泻,白术,茯苓
菊花,山楂
白术,甘草,当归,栀子,黄连
甘草,黄芩,白术,槟榔,乌梅
甘草,半夏,青皮,石斛,香附
甘草,当归,薄荷,白术,麦门冬
肉桂,茵陈,山药,白术,茯苓
沉香,红花,肉豆蔻,寒水石,丁香
沉香,红花,肉豆蔻,寒水石,丁香
巴戟,黑附子,川椒,白蒺藜,硇砂
甘草,黑附子,神曲,干姜,川椒
厚朴,茴香,汉椒,青盐
防风,滑石,扁豆,猪苓,泽泻
干姜,人参,茱萸,白术,神曲
生姜,牛奶,韭菜
生姜,神曲,食糖
甘草,人参,槟榔,沉香,桑白皮
当归,牡蛎,人参,芍药,黄耆
甘草,枳壳,人参,白术,柴胡
甘草,当归,芍药,白术,柴胡
甘草,当归,薄荷,白术,柴胡
当归,远志,丹参,柏子仁,狗脊
当归,远志,丹参,柏子仁,狗脊
天南星,人参,茯神,白术,天竺黄
甘草,当归,黄芩,升麻,白术
甘草,黄芩,升麻,白术,柴胡
甘草,牡蛎,半夏,桂枝,白术
防风,生地,黄芩,秦艽,白术
防风,生地,黄芩,秦艽,白术
甘草,当归,干姜,川芎,山药
当归,黑附子,干姜,麻黄,茱萸
菖蒲,菟丝子,鸡冠花,益智仁,萆
甘草,干姜,人参,白术,青皮
甘草,枳壳,槟榔,白术,五灵脂
连翘,枳实,荷叶,泽泻,神曲
半夏,枳实,神曲,白术,陈皮
黄连,半夏,葛花,枳实,泽泻
枣仁,枇杷叶50,大梨,蜜半杯,建莲肉
甘草,黑附子,白术,木香,肉豆蔻
生地,升麻,川芎,白术
甘草,当归,人参,远志,白术
甘草,人参,白术,生姜,枣仁
甘草,续断,广皮,白术,党参
生料平胃散,神曲,麦芽
麦冬,白术,猪苓,泽泻,石莲肉
当归,白僵蚕,黄芪,阿胶,桑白皮
当归,川芎,地黄,山药,白芍
甘草,牛膝,白术,莪术,三棱
甘草,当归,黄柏,川芎,白术
甘草,白术,金樱子,薏米,党参
甘草,黄连,川芎,芍药,半夏
川芎,白术,苍术,山楂
甘草,黄耆,蔓荆子,白术,党参
甘草,滑石,枳壳,黄柏,白术
黑附子,干姜,白术,茯苓,厚朴
龙骨,牡蛎,海金沙,白术,金樱子
甘草,白术,当归,黄连,黄芩
甘草,当归,黄连,黄芩,白术
当归,川芎,羚羊角,白术,茯神
乳香,当归,苍术,没药,地黄
乳香,当归,苍术,没药,地黄
石斛,白芍,扁豆,益元散,党参
丹皮,香附,女贞子,白芍,鹿角胶
甘草,人参,苍术,茯苓,厚朴
当归,干姜,白芷,莲肉,山药
甘草,白术,当归,黄芩,枳壳
甘草,茯神,白术,扁豆,木香
甘草,枳壳,人参,神曲,白术
甘草,当归,干姜,川芎,白术
甘草,当归,川芎,人参,乌梅
甘草,当归,生地,白术,川芎
桔梗,紫苏,党参,苍术,枇杷叶
甘草,人参,半夏,肉豆蔻,香附
枳壳,黄柏,花粉,桂枝,山药
甘草,生地,黄芩,枳壳,白术
枳壳,黄柏,大豆,山药,白术
枳壳,黄柏,大豆,山药,白术
甘草,黄连,桔梗,藿香,炒麦芽
芍药,贝母,白术,陈皮,山楂
当归,续断,五味子,香附,白术
甘草,当归,黄连,黄耆,半夏
百合,雷丸,山药,神曲,谷芽
甘草,黄连,连翘,人参,泽泻
防风,羌活,苍术,荆芥,乌药
延胡索,郁金,丹参,柴胡,川楝
桂枝,大腹皮,防己,白术,陈广皮
当归,丹参,白术,党参,鸡血藤
甘草,黄连,茱萸,半夏,白术
贝母,白术,淮山,饭党,南豆
甘草,神曲,黑豆,苍术,陈皮
当归,川芎,人参,白术,黑姜
甘草,当归,白术,黄芩,知母
甘草,栀子,黄连,黄芩,天南星
甘草,黄芩,元参,山药,白术
五味子,葛根,麦冬,车前子,熟地
枳实,白术,党参,陈皮,麦芽
甘草,黄连,人参,山药,神曲
人参,枳实,白术,陈皮,麦芽
当归,川芎,芍药,半夏,白术
甘草,黄连,人参,白术,神曲
茯苓,茯苓,山药,神曲,白术
甘草,黄连,枳实,山药,白芍
甘草,桔梗,黄耆,猪苓,泽泻
甘草,黄连,人参,白术,神曲
莲肉,茯苓,山药,白糖,柿霜
甘草,当归,黄连,枳壳,白术
蒸饼
甘草,神曲,当归,黄芩,枳壳
甘草,当归,枳壳,川芎,槟榔
甘草,枳壳,前胡,人参,白术
枳壳,槟榔,山药,扁豆,砂仁
枳实,白术,陈皮,厚朴
甘草,人参,槟榔,半夏,青皮
黄连,人参,白术,黄耆,沉香
枣仁,龙眼肉,粳米
龙骨,牡蛎,半夏,白术,生姜
甘草,龙骨,牡蛎,麦冬,五味子
蔓荆子,高良姜,粳米,香子,鹿头肉
粳米,冰糖,落花生
甘草,杏仁,当归,桔梗,干姜
粳米,嫩莲实
黄连,黄连,麝香,朱砂,槟榔
木通,苍术,车前子,藿香,生姜
甘草,当归,或加肉桂,干姜,熟地
甘草,当归,桔梗,半夏,香附
当归,黄连,枳壳,半夏,炙草
甘草,干姜,人参,半夏,苏子
甘草,干姜,人参,白术
甘草,干姜,人参,半夏,白术
甘草,干姜,人参,白术
大黄,干姜,槟榔,五灵脂,神曲
槟榔,陈皮,葱白,豉,生姜
柿饼,栗子肉
白矾,柴胡,赤石脂,白术,乌贼骨
肉豆蔻,杏仁,乳香,巴豆,干姜
肉豆蔻,杏仁,乳香,巴豆,干姜
大黄,碱花,寒水石,木香,诃子
大黄,碱花,寒水石,木香,诃子
甘草,人参,半夏,白术,茯苓
乌梅,半夏,炙草,白术,党参
甘草,人参,半夏,白术,茯苓
甘草,厚朴,羌活,枳壳,柴胡
甘草,麦门冬,人参,半夏,白术
神曲60克米粉,白术,白糖,陈皮,麦芽
甘草,人参,远志,五味子,山药
人参,牡蛎,黄耆,白术,麻黄根
甘草,黑附子,干姜,桂,白术
甘草,白术,萆薢,太子参,黄皮树叶
甘草,当归,防风,白术,天南星
白术,甘草,当归,防风,桔梗
甘草,当归,蝉蜕,神曲,川芎
槟榔,沉香,青皮,香附,神曲
丹参,何首乌,白芍,扁豆,莲肉
延胡索,青皮,神曲,莪术,三棱
粳米,鲜荠菜
甘草,白术,制附片,茯苓,黄芪
当归,郁金,丹参,白术,白芍
甘草,黄芪,螵蛸,白芍,鹿角胶
糯米粉,白糖,山药,芡实
百合,枇杷叶,金樱子,菟丝子,山药
甘草,黄连,黄芩,石膏,白术
甘草,杏仁,黄芩,桔梗,白术
甘草,蝉蜕,菊花,防风,羌活
甘草,人参,半夏,白术,苏叶
甘草,黑附子,干姜,人参,白术
甘草,人参,泽泻,山药,神曲
甘草,人参,泽泻,山药,白术
茯苓,甘草,当归,没药,人参
当归,人参,远志,山药,枣仁
甘草,当归,白术,人参,远志
粉霜,人参,槟榔,沉香,肉豆蔻
甘草,京三棱,白术,缩砂,苍术
芍药,枳实,白术,陈皮
枳壳,沉香,砂仁,川楝,厚朴
砂仁,大米
甘草,枳壳,藿香,丹皮,扁豆
茱萸,牛膝,熟地,石斛,山药
枳壳,半夏,柴胡,白术,白芍
甘草,黑附子,人参,白术,木香
黄柏,鹿茸,紫河车,桑枝,山药
当归,川芎,人参,远志,地黄
芡实米,金樱子
神曲,小枳实,车前草,生于术,大麦须
人参,肉桂,山药,白术,肉豆蔻
人参,肉桂,山药,白术,肉豆蔻
白术,鲜生姜,白面粉,白糖,益智仁
紫荆皮,枣仁,山药
砂糖,粳米,山楂
干姜,白术,肉桂,陈皮
猪苓,泽泻,白术,茯苓
半夏,山药,肉豆蔻,厚朴
甘草,牛膝,白术,莪术,三棱
甘草,白术,党参,茯苓
甘草,当归,黄柏,川芎,白术
熟地,苍术,苍耳子,元参,茯苓
甘草,当归,生地,乳香,黑附子
甘草,人参,黄耆,白术,扁豆
甘草,人参,半夏,白术,藿香
乌头,苍术,茴香
木通,瞿麦,白术,车前子,猪苓
当归,川芎,独活,天麻,白术
甘草,当归,白术,生地,白僵蚕
赤芍,鹿茸,丹参,续断,山药
赤小豆,木香,陈皮,白樟柳根
甘草,肉豆蔻,黑牵牛,陈皮,30屯
甘草,人参,柴胡,巴戟天,苏子
鲜土豆
茯苓,猪脊骨
甘草,丹参,香附,白术,青黛
黄连,白术,生姜,泽泻,猪苓
甘草,破故纸,覆盆子,淫羊藿,肉苁蓉
当归,人参,白术,黑姜L,茯苓
甘草,防风,干姜,白术,神曲
甘草,人参,柴胡,车前子,山药
麻黄,车前子,苍术,益母草,鱼腥草
天冬,白术,糯米,细曲,松叶
桑白皮,陈皮,大腹皮,生姜皮,茯苓皮
葱,姜,盐,乌灵参,酒
党参,木香,炒广皮,生冬术,黑干姜
扁豆,香薷,厚朴
砂仁,木香,藕粉白糖
砂仁,白砂糖,香橼
枳实,白术,木香,砂仁
枳实,白术,木香,砂仁
甘草,半夏,白术,党参,西砂仁
甘草,当归,芍药,柴胡,白术
甘草,当归,薄荷,白术,柴胡
甘草,当归,薄荷,白术,柴胡
防风,黄芩,荆芥,川芎,白蒺藜
五味子,菟丝子,茯苓,干莲肉
甘草,白术,胡椒,红豆,缩砂仁
干姜,白术,枳实,茯苓
甘草,栀子,黄连,枳壳,川芎
槟榔,谷芽,积壳等份,山楂
甘草,川芎,人参,半夏,青皮
干姜,神曲,炒乌梅肉,麦芽
甘草,大黄,黑附子,人参,白术
沉香,苏子,白术,葶苈,萝卜子
甘草,黑附子,人参,白术,鳖甲
人参,半夏,蓬莪术,京三棱,白术
生黄耆,乳香,没药,玄参,牡蛎
甘草,黄连,黄芩,人参,白术
甘草,神曲,菊花,栀子,黄连
甘草,干姜,半夏,神曲,木香
甘草,半夏,神曲,丁香,草果仁
生地,花粉,知母,人参,白术
山药,小米白糖
茱萸,白胡椒,丁香,肉桂
滑石,桔梗,花粉,白芷,半夏
苍术,泽泻,六一散,炒麦芽,茯苓
甘草,人参,藿香,白术,扁豆
薏仁
粳米,细盐,生姜葱白,羊骨左右
杏仁,曲,木香,糯米,嫩肥羊肉
甘草,青皮,山药,苍术,肉桂
甘草,陈皮,青皮,丁香,诃子
甘草,当归,阿胶,人参,白术
甘草,青皮,山药,丁香,陈皮
甘草,丹参,山药,白术,党参
大黄,栀子,阿胶,桃仁,党参
当归,牡蛎,泽兰,藿香,白术
甘草,半夏,白术,竹茹,枳实
甘草,升麻,干姜,人参,白术
防风,地龙,赤芍,白术,桂枝
天门冬,地骨皮,地黄,苍术,何首乌
甘草,甘草,地榆,砂仁
甘草,当归,川芎,白术,柴胡
甘草,当归,郁金,白术,麦冬
甘草,人参,白术,茯苓,陈皮
党参,桂圆肉,猫肉
甘草,缩砂仁,藿香,丁香,木香
甘草,沉香,砂仁,藿香,生姜
甘草,当归,川芎,人参,地黄
当归,槟榔,白术,皂矾,枣仁
甘草,人参,白术,神曲,大麦蘖
当归,麦冬,山药,甘杞子,枣仁
川椒,山药,糯米,莲子肉,茯苓
甘草,茯苓,当归,郁金,柴胡
甘草,黄连,桔梗,人参,藿香
甘草,人参,茯神,丹参,山药
缩砂仁,杏仁,槟榔,乌梅,沉香
猪苓,白术,茯苓
椒,粳米,姜,豆豉,雄猪肚
甘草,半夏,白术,藿香,生姜
枳实,白术
枳实,白术
半夏,枳实,白术,茯苓,蓬莪茂
防风,芍药,半夏,白术,苍术
甘草,人参,沉香,白术,青皮
当归,乳香,没药,生黄耆,干姜
当归,人参,于术,5条,30克
当归,乳香,没药,白术,厚朴
甘草,干姜,神曲,陈皮,大麦芽
甘草,黄连,黄芩,白术,干姜
人参,莲肉,山药,扁豆,燕窝
甘草,干姜,神曲,乌梅肉,茴香
雄黄,槐皮,苦楝皮
