防风,川芎,藁本,前胡,当归
杜仲,白芍,锁阳,牛膝,羌活
瓜蒌根,防己,羌活,肉桂,柴胡
威灵仙,杜仲,牛膝,骨碎补,当归
党参,赤芍,黄精,丹参,黄耆
地龙,乌梢蛇,全虫,蜂房,白花蛇
地龙,五灵脂,木鳖子,枫香脂,草乌
鹿角霜,杜仲,木瓜,羌活,牛膝
桃仁,青皮,乌药,当归,陈皮
红花,赤芍,生地,丹皮,丹参
白芍,黑木耳,杜仲,木瓜,川芎
王不留行,木瓜,丹参,牛膝,茜草
白芍,大力子,防风,羌活,川芎
地龙,牛膝,玉米须,川芎,菊花
鹿角霜,甲珠,牛膝,熟地,水蛭
党参,白芍,丹参,女贞子,山药
乌头,天南星,黑附子,木香
桂枝,乌梢蛇,蜈蚣,草乌,川芎
桂枝,威灵仙,白芍,当归,米仁
威灵仙,白芍,川芎,当归,秦艽
党参,枣仁,干姜,甘草,茱萸
桂枝,威灵仙,鸡血藤,橘络,蜈蚣
威灵仙,五灵脂,牛膝,木瓜,松节
羌活,乌药,防风,川芎,当归
桃仁,白芍,红花,川芎,青皮
桂枝,桃仁,路路通,赤芍,麦冬
桃仁,白芍,丹皮,红花,赤芍
桃仁,红花,牛膝,柴胡,玄胡素
桃仁,红花,白芥子,白芍,赤芍
黑木耳,蜈蚣,木瓜,赤芍,穿山龙
麝香,真辽人参,防风,柿霜饼,石膏
草乌,野芋头等量,川乌,天南星,半夏
党参,牛膝,茯苓,三棱,莪术
红花,路路通,草乌,蒲黄,赤芍
蒲公英,红花,赤芍,银花,酒军
党参,防风,白芍,蜈蚣,羌活
鸡血藤,五加皮,白酒,络石藤,海风藤
黄芪,牛膝,防风,当归
赤芍,牛膝,大豆,防己,干地龙
桂枝,威灵仙,羌活,红花,元胡
红花,赤芍,牛膝,川芎,熟地
红花,银花,桃仁,没药,丹皮
五灵脂,三七,丹参,九香虫,延胡索
蒲公英,丝瓜络,青皮,橘络,白蒺藜
透骨草,红花,羌活,木瓜,没药
鸡血藤,牛膝,白芍,没药,丹参
天麻,防风,蝎梢,藁本,川芎
天麻,羌活,独活,牛膝,萆薢
赤芍,丹参,蒲黄,金铃子,茯苓
地龙,鸡血藤,牛膝,蜈蚣,赤芍
鸡血藤,乌梢蛇,银环蛇,闹羊花,石南藤
乌梢蛇,酒
桃仁,丝瓜络,红花,赤芍,路路通
地龙,威灵仙,川芎,丹皮,土鳖虫
桃仁,丹皮,生地,淡竹沥60毫升,生赤芍
桂枝,三七,黄芪,槐花,川芎
羌活,天南星,蚯蚓,荆芥,川乌
桂枝,木瓜,甲珠,赤芍,没药
九头狮子草,白花草,老君髯,二郎箭
赤小豆,防己,晚蚕沙,薏仁,滑石
地龙,桂枝,五灵脂,肉桂,麝香
鸡血藤,党参,牛膝,海风藤,没药
鹿角霜,锁阳,骨碎补,熟地,甲珠
桃仁,党参,龙胆草,玉米须,茯苓
桂枝,北沙参,益母草,川芎,麦冬
川芎,当归,桔梗,甘草,芍药
枣仁,夜交藤,白糖,粳米
白芍,木瓜,防风,蜜黄耆,熟地
地龙,草乌,没药,天麻,羌活
赤芍,淮山,黄精,五味子,金樱子
5条,于术,当归,人参,30克
没药,当归,厚朴,乳香,陈皮
桃仁,赤芍,红花,黄耆,皂刺
威灵仙,地龙,三七,没药,黄连
地龙,威灵仙,鸡血藤,伸筋草,桃仁
