芍药,前胡,当归,地黄,藁本
熟地,鹿角霜,黄明胶,骨碎补,香附
桃仁,党参,炮山甲粉,龙胆草,茯苓
桂枝,丹参,北沙参,南沙参,五味子
当归,桔梗,枳壳,人参,甘草
粳米,夜交藤,枣仁,白糖
秦艽,木瓜,白芍,蜜黄耆,肉桂
地龙,羌活,天麻,草乌,雄黄
赤芍,肉苁蓉,淮山,金樱子,五味子
5条,当归,于术,30克,30克
当归,没药,乳香,厚朴,陈皮
黄耆,桃仁,赤芍,山甲,红花
羌活,片姜黄,威灵仙,地龙,乌药
茺蔚子,鸡血藤,威灵仙,蜈蚣,丹参
